,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
401,E111-e003Coalescence-mBHI-p3_S108,True,E11-e003Coalescence-mBHI-p3,True,E11,False,3,mBHI,mGAM,AA-AF,E11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM
402,F8-e003Coalescence-mGAM-p3_S165,True,F8-e003Coalescence-mGAM-p3,True,F8,False,3,mGAM,mGAM,AC/PP-AA,F8-AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM
403,G3-e003Coalescence-mBHI-p5_S26,True,G3-e003Coalescence-mBHI-p5,True,G3,False,5,mBHI,mBHI,AE-AC/PP,G3-AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI
404,G5-e003Coalescence-mBHI-p5_S28,True,G5-e003Coalescence-mBHI-p5,True,G5,False,5,mBHI,mBHI,AE-AF,G5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI
405,H111-e003Coalescence-mGAM-p5_S92,True,H11-e003Coalescence-mGAM-p5,True,H11,False,5,mGAM,mGAM,AF-AF,H11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM
406,G4-e003Coalescence-mBHI-p3_S35,True,G4-e003Coalescence-mBHI-p3,True,G4,False,3,mBHI,mBHI,AE-AE,G4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI
407,H9-e003Coalescence-mGAM-p5_S90,True,H9-e003Coalescence-mGAM-p5,True,H9,False,5,mGAM,mGAM,AF-AC/PP,H9-AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM
408,H2-e003Coalescence-mBHI-p3_S45,True,H2-e003Coalescence-mBHI-p3,True,H2,False,3,mBHI,mBHI,AF-AA,H2-AF-AA-mBHI-mBHI,AF-AA-mBHI-mBHI,AF-AA-mBHI
409,E8-e003Coalescence-mBHI-p7_S101,True,E8-e003Coalescence-mBHI-p7,True,E8,False,7,mBHI,mGAM,AA-AA,E8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM
410,E4-e003Coalescence-mBHI-p5_S3,True,E4-e003Coalescence-mBHI-p5,True,E4,False,5,mBHI,mBHI,AA-AE,E4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI
411,H2-e003Coalescence-mGAM-p3_S93,True,H2-e003Coalescence-mGAM-p3,True,H2,False,3,mGAM,mBHI,AF-AA,H2-AF-AA-mBHI-mGAM,AF-AA-mBHI-mGAM,AF-AA-mBHI
412,E4-e003Coalescence-mGAM-p5_S51,True,E4-e003Coalescence-mGAM-p5,True,E4,False,5,mGAM,mBHI,AA-AE,E4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI
413,G9-e003Coalescence-mGAM-p7_S174,True,G9-e003Coalescence-mGAM-p7,True,G9,False,7,mGAM,mGAM,AE-AC/PP,G9-AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM
414,F9-e003Coalescence-mBHI-p7_S114,True,F9-e003Coalescence-mBHI-p7,True,F9,False,7,mBHI,mGAM,AC/PP-AC/PP,F9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM
415,F2-e003Coalescence-mBHI-p3_S21,True,F2-e003Coalescence-mBHI-p3,True,F2,False,3,mBHI,mBHI,AC/PP-AA,F2-AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI
416,E8-e003Coalescence-mGAM-p3_S153,True,E8-e003Coalescence-mGAM-p3,True,E8,False,3,mGAM,mGAM,AA-AA,E8-AA-AA-mGAM-mGAM,AA-AA-mGAM-mGAM,AA-AA-mGAM
417,G111-e003Coalescence-mGAM-p3_S180,True,G11-e003Coalescence-mGAM-p3,True,G11,False,3,mGAM,mGAM,AE-AF,G11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM
418,G5-e003Coalescence-mGAM-p3_S84,True,G5-e003Coalescence-mGAM-p3,True,G5,False,3,mGAM,mBHI,AE-AF,G5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI
419,H8-e003Coalescence-mBHI-p5_S41,True,H8-e003Coalescence-mBHI-p5,True,H8,False,5,mBHI,mGAM,AF-AA,H8-AF-AA-mGAM-mBHI,AF-AA-mGAM-mBHI,AF-AA-mGAM
420,E100-e003Coalescence-mBHI-p5_S7,True,E10-e003Coalescence-mBHI-p5,True,E10,False,5,mBHI,mGAM,AA-AE,E10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM
421,G100-e003Coalescence-mGAM-p7_S175,True,G10-e003Coalescence-mGAM-p7,True,G10,False,7,mGAM,mGAM,AE-AE,G10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM
422,F9-e003Coalescence-mGAM-p7_S162,True,F9-e003Coalescence-mGAM-p7,True,F9,False,7,mGAM,mGAM,AC/PP-AC/PP,F9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM
423,E2-e003Coalescence-mBHI-p7_S97,True,E2-e003Coalescence-mBHI-p7,True,E2,False,7,mBHI,mBHI,AA-AA,E2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI
424,F8-e003Coalescence-mGAM-p7_S161,True,F8-e003Coalescence-mGAM-p7,True,F8,False,7,mGAM,mGAM,AC/PP-AA,F8-AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM-mGAM,AC/PP-AA-mGAM
425,F3-e003Coalescence-mBHI-p3_S22,True,F3-e003Coalescence-mBHI-p3,True,F3,False,3,mBHI,mBHI,AC/PP-AC/PP,F3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI
426,G3-e003Coalescence-mBHI-p7_S122,True,G3-e003Coalescence-mBHI-p7,True,G3,False,7,mBHI,mBHI,AE-AC/PP,G3-AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI-mBHI,AE-AC/PP-mBHI
427,G5-e003Coalescence-mGAM-p5_S76,True,G5-e003Coalescence-mGAM-p5,True,G5,False,5,mGAM,mBHI,AE-AF,G5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI
428,G5-e003Coalescence-mGAM-p7_S172,True,G5-e003Coalescence-mGAM-p7,True,G5,False,7,mGAM,mBHI,AE-AF,G5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI
429,H100-e003Coalescence-mBHI-p3_S143,True,H10-e003Coalescence-mBHI-p3,True,H10,False,3,mBHI,mGAM,AF-AE,H10-AF-AE-mGAM-mBHI,AF-AE-mGAM-mBHI,AF-AE-mGAM
430,G4-e003Coalescence-mGAM-p5_S75,True,G4-e003Coalescence-mGAM-p5,True,G4,False,5,mGAM,mBHI,AE-AE,G4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI
431,G8-e003Coalescence-mBHI-p3_S129,True,G8-e003Coalescence-mBHI-p3,True,G8,False,3,mBHI,mGAM,AE-AA,G8-AE-AA-mGAM-mBHI,AE-AA-mGAM-mBHI,AE-AA-mGAM
432,E5-e003Coalescence-mGAM-p3_S60,True,E5-e003Coalescence-mGAM-p3,True,E5,False,3,mGAM,mBHI,AA-AF,E5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI
433,G2-e003Coalescence-mGAM-p5_S73,True,G2-e003Coalescence-mGAM-p5,True,G2,False,5,mGAM,mBHI,AE-AA,G2-AE-AA-mBHI-mGAM,AE-AA-mBHI-mGAM,AE-AA-mBHI
434,E5-e003Coalescence-mGAM-p7_S148,True,E5-e003Coalescence-mGAM-p7,True,E5,False,7,mGAM,mBHI,AA-AF,E5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI
435,H9-e003Coalescence-mGAM-p7_S186,True,H9-e003Coalescence-mGAM-p7,True,H9,False,7,mGAM,mGAM,AF-AC/PP,H9-AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM
436,E100-e003Coalescence-mGAM-p5_S55,True,E10-e003Coalescence-mGAM-p5,True,E10,False,5,mGAM,mGAM,AA-AE,E10-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM
437,E8-e003Coalescence-mGAM-p5_S53,True,E8-e003Coalescence-mGAM-p5,True,E8,False,5,mGAM,mGAM,AA-AA,E8-AA-AA-mGAM-mGAM,AA-AA-mGAM-mGAM,AA-AA-mGAM
438,H5-e003Coalescence-mGAM-p3_S96,True,H5-e003Coalescence-mGAM-p3,True,H5,False,3,mGAM,mBHI,AF-AF,H5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI
439,G4-e003Coalescence-mGAM-p3_S83,True,G4-e003Coalescence-mGAM-p3,True,G4,False,3,mGAM,mBHI,AE-AE,G4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI
440,F4-e003Coalescence-mBHI-p7_S111,True,F4-e003Coalescence-mBHI-p7,True,F4,False,7,mBHI,mBHI,AC/PP-AE,F4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI
441,H3-e003Coalescence-mGAM-p7_S182,True,H3-e003Coalescence-mGAM-p7,True,H3,False,7,mGAM,mBHI,AF-AC/PP,H3-AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI
442,H5-e003Coalescence-mGAM-p5_S88,True,H5-e003Coalescence-mGAM-p5,True,H5,False,5,mGAM,mBHI,AF-AF,H5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI
443,F4-e003Coalescence-mGAM-p5_S63,True,F4-e003Coalescence-mGAM-p5,True,F4,False,5,mGAM,mBHI,AC/PP-AE,F4-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI
444,G4-e003Coalescence-mGAM-p7_S171,True,G4-e003Coalescence-mGAM-p7,True,G4,False,7,mGAM,mBHI,AE-AE,G4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI
445,H8-e003Coalescence-mGAM-p5_S89,True,H8-e003Coalescence-mGAM-p5,True,H8,False,5,mGAM,mGAM,AF-AA,H8-AF-AA-mGAM-mGAM,AF-AA-mGAM-mGAM,AF-AA-mGAM
446,F3-e003Coalescence-mBHI-p5_S14,True,F3-e003Coalescence-mBHI-p5,True,F3,False,5,mBHI,mBHI,AC/PP-AC/PP,F3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI
447,F100-e003Coalescence-mBHI-p7_S115,True,F10-e003Coalescence-mBHI-p7,True,F10,False,7,mBHI,mGAM,AC/PP-AE,F10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM
448,E3-e003Coalescence-mGAM-p7_S146,True,E3-e003Coalescence-mGAM-p7,True,E3,False,7,mGAM,mBHI,AA-AC/PP,E3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI
449,F100-e003Coalescence-mGAM-p3_S167,True,F10-e003Coalescence-mGAM-p3,True,F10,False,3,mGAM,mGAM,AC/PP-AE,F10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM
450,G100-e003Coalescence-mBHI-p3_S131,True,G10-e003Coalescence-mBHI-p3,True,G10,False,3,mBHI,mGAM,AE-AE,G10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM
451,G4-e003Coalescence-mBHI-p7_S123,True,G4-e003Coalescence-mBHI-p7,True,G4,False,7,mBHI,mBHI,AE-AE,G4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI
452,E9-e003Coalescence-mGAM-p3_S154,True,E9-e003Coalescence-mGAM-p3,True,E9,False,3,mGAM,mGAM,AA-AC/PP,E9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM
453,F3-e003Coalescence-mGAM-p5_S62,True,F3-e003Coalescence-mGAM-p5,True,F3,False,5,mGAM,mBHI,AC/PP-AC/PP,F3-AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI
454,H4-e003Coalescence-mBHI-p7_S135,True,H4-e003Coalescence-mBHI-p7,True,H4,False,7,mBHI,mBHI,AF-AE,H4-AF-AE-mBHI-mBHI,AF-AE-mBHI-mBHI,AF-AE-mBHI
455,E3-e003Coalescence-mBHI-p5_S2,True,E3-e003Coalescence-mBHI-p5,True,E3,False,5,mBHI,mBHI,AA-AC/PP,E3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI
456,H100-e003Coalescence-mGAM-p3_S191,True,H10-e003Coalescence-mGAM-p3,True,H10,False,3,mGAM,mGAM,AF-AE,H10-AF-AE-mGAM-mGAM,AF-AE-mGAM-mGAM,AF-AE-mGAM
457,G111-e003Coalescence-mBHI-p7_S128,True,G11-e003Coalescence-mBHI-p7,True,G11,False,7,mBHI,mGAM,AE-AF,G11-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AE-AF-mGAM
458,H3-e003Coalescence-mBHI-p5_S38,True,H3-e003Coalescence-mBHI-p5,True,H3,False,5,mBHI,mBHI,AF-AC/PP,H3-AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI-mBHI,AF-AC/PP-mBHI
459,G3-e003Coalescence-mGAM-p3_S82,True,G3-e003Coalescence-mGAM-p3,True,G3,False,3,mGAM,mBHI,AE-AC/PP,G3-AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI
460,F111-e003Coalescence-mGAM-p3_S168,True,F11-e003Coalescence-mGAM-p3,True,F11,False,3,mGAM,mGAM,AC/PP-AF,F11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM
461,F3-e003Coalescence-mGAM-p7_S158,True,F3-e003Coalescence-mGAM-p7,True,F3,False,7,mGAM,mBHI,AC/PP-AC/PP,F3-AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI
462,E9-e003Coalescence-mBHI-p3_S106,True,E9-e003Coalescence-mBHI-p3,True,E9,False,3,mBHI,mGAM,AA-AC/PP,E9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM
463,F8-e003Coalescence-mBHI-p7_S113,True,F8-e003Coalescence-mBHI-p7,True,F8,False,7,mBHI,mGAM,AC/PP-AA,F8-AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM-mBHI,AC/PP-AA-mGAM
464,G2-e003Coalescence-mBHI-p7_S121,True,G2-e003Coalescence-mBHI-p7,True,G2,False,7,mBHI,mBHI,AE-AA,G2-AE-AA-mBHI-mBHI,AE-AA-mBHI-mBHI,AE-AA-mBHI
465,H4-e003Coalescence-mBHI-p3_S47,True,H4-e003Coalescence-mBHI-p3,True,H4,False,3,mBHI,mBHI,AF-AE,H4-AF-AE-mBHI-mBHI,AF-AE-mBHI-mBHI,AF-AE-mBHI
466,F3-e003Coalescence-mBHI-p7_S110,True,F3-e003Coalescence-mBHI-p7,True,F3,False,7,mBHI,mBHI,AC/PP-AC/PP,F3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI
467,F100-e003Coalescence-mGAM-p5_S67,True,F10-e003Coalescence-mGAM-p5,True,F10,False,5,mGAM,mGAM,AC/PP-AE,F10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM
468,G8-e003Coalescence-mBHI-p7_S125,True,G8-e003Coalescence-mBHI-p7,True,G8,False,7,mBHI,mGAM,AE-AA,G8-AE-AA-mGAM-mBHI,AE-AA-mGAM-mBHI,AE-AA-mGAM
469,F4-e003Coalescence-mBHI-p5_S15,True,F4-e003Coalescence-mBHI-p5,True,F4,False,5,mBHI,mBHI,AC/PP-AE,F4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI
470,H111-e003Coalescence-mBHI-p5_S44,True,H11-e003Coalescence-mBHI-p5,True,H11,False,5,mBHI,mGAM,AF-AF,H11-AF-AF-mGAM-mBHI,AF-AF-mGAM-mBHI,AF-AF-mGAM
471,H2-e003Coalescence-mBHI-p5_S37,True,H2-e003Coalescence-mBHI-p5,True,H2,False,5,mBHI,mBHI,AF-AA,H2-AF-AA-mBHI-mBHI,AF-AA-mBHI-mBHI,AF-AA-mBHI
472,E111-e003Coalescence-mBHI-p7_S104,True,E11-e003Coalescence-mBHI-p7,True,E11,False,7,mBHI,mGAM,AA-AF,E11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM
473,E2-e003Coalescence-mGAM-p3_S57,True,E2-e003Coalescence-mGAM-p3,True,E2,False,3,mGAM,mBHI,AA-AA,E2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI
474,F2-e003Coalescence-mBHI-p5_S13,True,F2-e003Coalescence-mBHI-p5,True,F2,False,5,mBHI,mBHI,AC/PP-AA,F2-AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI-mBHI,AC/PP-AA-mBHI
475,F4-e003Coalescence-mBHI-p3_S23,True,F4-e003Coalescence-mBHI-p3,True,F4,False,3,mBHI,mBHI,AC/PP-AE,F4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI
476,F2-e003Coalescence-mGAM-p3_S69,True,F2-e003Coalescence-mGAM-p3,True,F2,False,3,mGAM,mBHI,AC/PP-AA,F2-AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI-mGAM,AC/PP-AA-mBHI
477,E9-e003Coalescence-mGAM-p5_S54,True,E9-e003Coalescence-mGAM-p5,True,E9,False,5,mGAM,mGAM,AA-AC/PP,E9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM
478,G3-e003Coalescence-mGAM-p5_S74,True,G3-e003Coalescence-mGAM-p5,True,G3,False,5,mGAM,mBHI,AE-AC/PP,G3-AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI-mGAM,AE-AC/PP-mBHI
479,E111-e003Coalescence-mGAM-p5_S56,True,E11-e003Coalescence-mGAM-p5,True,E11,False,5,mGAM,mGAM,AA-AF,E11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM
480,G100-e003Coalescence-mGAM-p5_S79,True,G10-e003Coalescence-mGAM-p5,True,G10,False,5,mGAM,mGAM,AE-AE,G10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM
481,H100-e003Coalescence-mGAM-p5_S91,True,H10-e003Coalescence-mGAM-p5,True,H10,False,5,mGAM,mGAM,AF-AE,H10-AF-AE-mGAM-mGAM,AF-AE-mGAM-mGAM,AF-AE-mGAM
482,G9-e003Coalescence-mBHI-p3_S130,True,G9-e003Coalescence-mBHI-p3,True,G9,False,3,mBHI,mGAM,AE-AC/PP,G9-AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM
483,E4-e003Coalescence-mGAM-p7_S147,True,E4-e003Coalescence-mGAM-p7,True,E4,False,7,mGAM,mBHI,AA-AE,E4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI
484,G9-e003Coalescence-mBHI-p7_S126,True,G9-e003Coalescence-mBHI-p7,True,G9,False,7,mBHI,mGAM,AE-AC/PP,G9-AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM
485,E4-e003Coalescence-mGAM-p3_S59,True,E4-e003Coalescence-mGAM-p3,True,E4,False,3,mGAM,mBHI,AA-AE,E4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI
486,F9-e003Coalescence-mGAM-p3_S166,True,F9-e003Coalescence-mGAM-p3,True,F9,False,3,mGAM,mGAM,AC/PP-AC/PP,F9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM
487,H4-e003Coalescence-mBHI-p5_S39,True,H4-e003Coalescence-mBHI-p5,True,H4,False,5,mBHI,mBHI,AF-AE,H4-AF-AE-mBHI-mBHI,AF-AE-mBHI-mBHI,AF-AE-mBHI
488,H9-e003Coalescence-mBHI-p3_S142,True,H9-e003Coalescence-mBHI-p3,True,H9,False,3,mBHI,mGAM,AF-AC/PP,H9-AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM
489,F4-e003Coalescence-mGAM-p3_S71,True,F4-e003Coalescence-mGAM-p3,True,F4,False,3,mGAM,mBHI,AC/PP-AE,F4-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI
490,H100-e003Coalescence-mBHI-p7_S139,True,H10-e003Coalescence-mBHI-p7,True,H10,False,7,mBHI,mGAM,AF-AE,H10-AF-AE-mGAM-mBHI,AF-AE-mGAM-mBHI,AF-AE-mGAM
491,G8-e003Coalescence-mBHI-p5_S29,True,G8-e003Coalescence-mBHI-p5,True,G8,False,5,mBHI,mGAM,AE-AA,G8-AE-AA-mGAM-mBHI,AE-AA-mGAM-mBHI,AE-AA-mGAM
492,G2-e003Coalescence-mBHI-p5_S25,True,G2-e003Coalescence-mBHI-p5,True,G2,False,5,mBHI,mBHI,AE-AA,G2-AE-AA-mBHI-mBHI,AE-AA-mBHI-mBHI,AE-AA-mBHI
493,G8-e003Coalescence-mGAM-p7_S173,True,G8-e003Coalescence-mGAM-p7,True,G8,False,7,mGAM,mGAM,AE-AA,G8-AE-AA-mGAM-mGAM,AE-AA-mGAM-mGAM,AE-AA-mGAM
494,E4-e003Coalescence-mBHI-p3_S11,True,E4-e003Coalescence-mBHI-p3,True,E4,False,3,mBHI,mBHI,AA-AE,E4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI
495,E2-e003Coalescence-mGAM-p5_S49,True,E2-e003Coalescence-mGAM-p5,True,E2,False,5,mGAM,mBHI,AA-AA,E2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI
496,H9-e003Coalescence-mBHI-p5_S42,True,H9-e003Coalescence-mBHI-p5,True,H9,False,5,mBHI,mGAM,AF-AC/PP,H9-AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM-mBHI,AF-AC/PP-mGAM
497,H111-e003Coalescence-mGAM-p3_S192,True,H11-e003Coalescence-mGAM-p3,True,H11,False,3,mGAM,mGAM,AF-AF,H11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM
498,F5-e003Coalescence-mBHI-p3_S24,True,F5-e003Coalescence-mBHI-p3,True,F5,False,3,mBHI,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI
499,E8-e003Coalescence-mBHI-p3_S105,True,E8-e003Coalescence-mBHI-p3,True,E8,False,3,mBHI,mGAM,AA-AA,E8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM
500,E8-e003Coalescence-mGAM-p7_S149,True,E8-e003Coalescence-mGAM-p7,True,E8,False,7,mGAM,mGAM,AA-AA,E8-AA-AA-mGAM-mGAM,AA-AA-mGAM-mGAM,AA-AA-mGAM
501,E9-e003Coalescence-mGAM-p7_S150,True,E9-e003Coalescence-mGAM-p7,True,E9,False,7,mGAM,mGAM,AA-AC/PP,E9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM
502,H5-e003Coalescence-mBHI-p7_S136,True,H5-e003Coalescence-mBHI-p7,True,H5,False,7,mBHI,mBHI,AF-AF,H5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI
503,G9-e003Coalescence-mBHI-p5_S30,True,G9-e003Coalescence-mBHI-p5,True,G9,False,5,mBHI,mGAM,AE-AC/PP,G9-AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM-mBHI,AE-AC/PP-mGAM
504,F111-e003Coalescence-mBHI-p7_S116,True,F11-e003Coalescence-mBHI-p7,True,F11,False,7,mBHI,mGAM,AC/PP-AF,F11-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM
505,F5-e003Coalescence-mBHI-p7_S112,True,F5-e003Coalescence-mBHI-p7,True,F5,False,7,mBHI,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI
506,F4-e003Coalescence-mGAM-p7_S159,True,F4-e003Coalescence-mGAM-p7,True,F4,False,7,mGAM,mBHI,AC/PP-AE,F4-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI
507,E100-e003Coalescence-mBHI-p3_S107,True,E10-e003Coalescence-mBHI-p3,True,E10,False,3,mBHI,mGAM,AA-AE,E10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM
508,F111-e003Coalescence-mBHI-p3_S120,True,F11-e003Coalescence-mBHI-p3,True,F11,False,3,mBHI,mGAM,AC/PP-AF,F11-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM
509,H3-e003Coalescence-mGAM-p5_S86,True,H3-e003Coalescence-mGAM-p5,True,H3,False,5,mGAM,mBHI,AF-AC/PP,H3-AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI-mGAM,AF-AC/PP-mBHI
510,E4-e003Coalescence-mBHI-p7_S99,True,E4-e003Coalescence-mBHI-p7,True,E4,False,7,mBHI,mBHI,AA-AE,E4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI
511,H4-e003Coalescence-mGAM-p5_S87,True,H4-e003Coalescence-mGAM-p5,True,H4,False,5,mGAM,mBHI,AF-AE,H4-AF-AE-mBHI-mGAM,AF-AE-mBHI-mGAM,AF-AE-mBHI
512,F100-e003Coalescence-mBHI-p5_S19,True,F10-e003Coalescence-mBHI-p5,True,F10,False,5,mBHI,mGAM,AC/PP-AE,F10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM
513,E100-e003Coalescence-mGAM-p7_S151,True,E10-e003Coalescence-mGAM-p7,True,E10,False,7,mGAM,mGAM,AA-AE,E10-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM
514,G9-e003Coalescence-mGAM-p3_S178,True,G9-e003Coalescence-mGAM-p3,True,G9,False,3,mGAM,mGAM,AE-AC/PP,G9-AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM-mGAM,AE-AC/PP-mGAM
