,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
71,D8-e003Coalescence-mGAM-p5,False,D8-e003Coalescence-mGAM-p5,True,D8,False,5,mGAM,mGAM,AF-AA,D8-AF-AA-mGAM-mGAM,AF-AA-mGAM-mGAM,AF-AA-mGAM
74,C2-e003Coalescence-mBHI-p3,False,C2-e003Coalescence-mBHI-p3,True,C2,False,3,mBHI,mBHI,AE-AA,C2-AE-AA-mBHI-mBHI,AE-AA-mBHI-mBHI,AE-AA-mBHI
76,D9-e003Coalescence-mGAM-p7,False,D9-e003Coalescence-mGAM-p7,True,D9,False,7,mGAM,mGAM,AF-AC/PP,D9-AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM-mGAM,AF-AC/PP-mGAM
77,D4-e003Coalescence-mBHI-p7,False,D4-e003Coalescence-mBHI-p7,True,D4,False,7,mBHI,mBHI,AF-AE,D4-AF-AE-mBHI-mBHI,AF-AE-mBHI-mBHI,AF-AE-mBHI
82,B10-e003Coalescence-mGAM-p3,False,B10-e003Coalescence-mGAM-p3,True,B10,False,3,mGAM,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM
83,A9-e003Coalescence-mGAM-p7,False,A9-e003Coalescence-mGAM-p7,True,A9,False,7,mGAM,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM
86,D10-e003Coalescence-mBHI-p5,False,D10-e003Coalescence-mBHI-p5,True,D10,False,5,mBHI,mGAM,AF-AE,D10-AF-AE-mGAM-mBHI,AF-AE-mGAM-mBHI,AF-AE-mGAM
87,D5-e003Coalescence-mBHI-p3,False,D5-e003Coalescence-mBHI-p3,True,D5,False,3,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI
88,A5-e003Coalescence-mBHI-p5,False,A5-e003Coalescence-mBHI-p5,True,A5,False,5,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI
89,C5-e003Coalescence-mBHI-p3,False,C5-e003Coalescence-mBHI-p3,True,C5,False,3,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI
