	sample_name	midas_outdir
281	B4-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
282	D2-e004Assembly-mGAM-p3	workflow/out/midas2_output
283	D10-e003Coalescence-mGAM-p5	workflow/out/midas2_output
284	B8-e003Coalescence-mGAM-p7	workflow/out/midas2_output
285	BC-Fecal	workflow/out/midas2_output
286	A4-e003Coalescence-mBHI-p5	workflow/out/midas2_output
287	e004-inoculumn-fecal-AR	workflow/out/midas2_output
288	B2-e003Coalescence-mBHI-p5	workflow/out/midas2_output
289	D5-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
290	D4-e003Coalescence-mBHI-p5	workflow/out/midas2_output
291	D2-e003Assembly-mBHI-p5	workflow/out/midas2_output
292	B2-e004Assembly-mBHI-p7	workflow/out/midas2_output
293	D11-e003Coalescence-mGAM-p3	workflow/out/midas2_output
294	B9-e003Coalescence-mBHI-p7	workflow/out/midas2_output
295	A10-e003Coalescence-mGAM-p3	workflow/out/midas2_output
296	C5-e003Coalescence-mGAM-p5	workflow/out/midas2_output
297	B9-e003Coalescence-mGAM-p7	workflow/out/midas2_output
298	A3-e003Coalescence-mBHI-p3	workflow/out/midas2_output
299	C2-e003Coalescence-mGAM-p7	workflow/out/midas2_output
300	A5-e003Coalescence-mGAM-p3	workflow/out/midas2_output
301	B5-e003Coalescence-mGAM-p7	workflow/out/midas2_output
302	G3-e004Assembly-epsilon-p3	workflow/out/midas2_output
303	D4-e004Assembly-mGAM-p3	workflow/out/midas2_output
304	A10-e003Coalescence-mGAM-p7	workflow/out/midas2_output
305	A3-e003Coalescence-mBHI-p5	workflow/out/midas2_output
306	D3-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
307	C11-e003Coalescence-mGAM-p7	workflow/out/midas2_output
308	F2-e004Assembly-epsilon-p7	workflow/out/midas2_output
309	D2-e004Assembly-mGAM-p7	workflow/out/midas2_output
310	A2-e003Coalescence-mGAM-p5	workflow/out/midas2_output
311	C5-e003GlycerolRevival-mBHI-p2	workflow/out/midas2_output
312	A9-e003Coalescence-mBHI-p5	workflow/out/midas2_output
313	C3-e004Assembly-mBHI-p7	workflow/out/midas2_output
314	B4-e003Coalescence-mBHI-p5	workflow/out/midas2_output
315	A5-e003Coalescence-mBHI-p3	workflow/out/midas2_output
316	A8-e003Coalescence-mGAM-p7	workflow/out/midas2_output
317	B5-e003Coalescence-mGAM-p5	workflow/out/midas2_output
318	C2-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output
319	D9-e003Coalescence-mBHI-p5	workflow/out/midas2_output
320	C3-e003Coalescence-mGAM-p7	workflow/out/midas2_output
321	B4-e004Assembly-mBHI-p3	workflow/out/midas2_output
322	B2-e003Assembly-mBHI-p5	workflow/out/midas2_output
323	D8-e003Assembly-mGAM-p5	workflow/out/midas2_output
324	E4-e004Assembly-mGAM-p3	workflow/out/midas2_output
325	D10-e003Coalescence-mGAM-p7	workflow/out/midas2_output
326	G4-e004Assembly-epsilon-p3	workflow/out/midas2_output
327	A2-e003Coalescence-mBHI-p5	workflow/out/midas2_output
328	D10-e003Coalescence-mBHI-p7	workflow/out/midas2_output
329	D5-e003Coalescence-mBHI-p5	workflow/out/midas2_output
330	A2-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output
