,read1,read2,trim1,trim2,filter1,filter2,SampleLane,Sample
10,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G10-e003Coalescence-mBHI-p1_S830_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G10-e003Coalescence-mBHI-p1_S830_R2_001.fastq.gz,workflow/out/trimmed/G10-e003Coalescence-mBHI-p1_S830-trimmed-pair1.fastq.gz,workflow/out/trimmed/G10-e003Coalescence-mBHI-p1_S830-trimmed-pair2.fastq.gz,workflow/out/filter/G10-e003Coalescence-mBHI-p1_S830-filtered.1.fastq.gz,workflow/out/filter/G10-e003Coalescence-mBHI-p1_S830-filtered.2.fastq.gz,G10-e003Coalescence-mBHI-p1_S830,G10-e003Coalescence-mBHI-p1
11,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-A1-A4-AA-AE-mBHI-mBHI-7_S620_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-A1-A4-AA-AE-mBHI-mBHI-7_S620_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-A1-A4-AA-AE-mBHI-mBHI-7_S620-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-A1-A4-AA-AE-mBHI-mBHI-7_S620-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-A1-A4-AA-AE-mBHI-mBHI-7_S620-filtered.1.fastq.gz,workflow/out/filter/Coalescence-A1-A4-AA-AE-mBHI-mBHI-7_S620-filtered.2.fastq.gz,Coalescence-A1-A4-AA-AE-mBHI-mBHI-7_S620,Coalescence-A1-A4-AA-AE-mBHI-mBHI-7
12,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/D10-e003Coalescence-mGAM-p1_S771_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/D10-e003Coalescence-mGAM-p1_S771_R2_001.fastq.gz,workflow/out/trimmed/D10-e003Coalescence-mGAM-p1_S771-trimmed-pair1.fastq.gz,workflow/out/trimmed/D10-e003Coalescence-mGAM-p1_S771-trimmed-pair2.fastq.gz,workflow/out/filter/D10-e003Coalescence-mGAM-p1_S771-filtered.1.fastq.gz,workflow/out/filter/D10-e003Coalescence-mGAM-p1_S771-filtered.2.fastq.gz,D10-e003Coalescence-mGAM-p1_S771,D10-e003Coalescence-mGAM-p1
13,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G11-e003Coalescence-mBHI-p1_S838_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G11-e003Coalescence-mBHI-p1_S838_R2_001.fastq.gz,workflow/out/trimmed/G11-e003Coalescence-mBHI-p1_S838-trimmed-pair1.fastq.gz,workflow/out/trimmed/G11-e003Coalescence-mBHI-p1_S838-trimmed-pair2.fastq.gz,workflow/out/filter/G11-e003Coalescence-mBHI-p1_S838-filtered.1.fastq.gz,workflow/out/filter/G11-e003Coalescence-mBHI-p1_S838-filtered.2.fastq.gz,G11-e003Coalescence-mBHI-p1_S838,G11-e003Coalescence-mBHI-p1
14,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G8-e003Coalescence-mBHI-p1_S814_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G8-e003Coalescence-mBHI-p1_S814_R2_001.fastq.gz,workflow/out/trimmed/G8-e003Coalescence-mBHI-p1_S814-trimmed-pair1.fastq.gz,workflow/out/trimmed/G8-e003Coalescence-mBHI-p1_S814-trimmed-pair2.fastq.gz,workflow/out/filter/G8-e003Coalescence-mBHI-p1_S814-filtered.1.fastq.gz,workflow/out/filter/G8-e003Coalescence-mBHI-p1_S814-filtered.2.fastq.gz,G8-e003Coalescence-mBHI-p1_S814,G8-e003Coalescence-mBHI-p1
15,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B8-e003Coalescence-mBHI-p1_S749_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B8-e003Coalescence-mBHI-p1_S749_R2_001.fastq.gz,workflow/out/trimmed/B8-e003Coalescence-mBHI-p1_S749-trimmed-pair1.fastq.gz,workflow/out/trimmed/B8-e003Coalescence-mBHI-p1_S749-trimmed-pair2.fastq.gz,workflow/out/filter/B8-e003Coalescence-mBHI-p1_S749-filtered.1.fastq.gz,workflow/out/filter/B8-e003Coalescence-mBHI-p1_S749-filtered.2.fastq.gz,B8-e003Coalescence-mBHI-p1_S749,B8-e003Coalescence-mBHI-p1
16,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B2-e003Coalescence-mGAM-p1_S721_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B2-e003Coalescence-mGAM-p1_S721_R2_001.fastq.gz,workflow/out/trimmed/B2-e003Coalescence-mGAM-p1_S721-trimmed-pair1.fastq.gz,workflow/out/trimmed/B2-e003Coalescence-mGAM-p1_S721-trimmed-pair2.fastq.gz,workflow/out/filter/B2-e003Coalescence-mGAM-p1_S721-filtered.1.fastq.gz,workflow/out/filter/B2-e003Coalescence-mGAM-p1_S721-filtered.2.fastq.gz,B2-e003Coalescence-mGAM-p1_S721,B2-e003Coalescence-mGAM-p1
17,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E4-e003Coalescence-mBHI-p1_S796_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E4-e003Coalescence-mBHI-p1_S796_R2_001.fastq.gz,workflow/out/trimmed/E4-e003Coalescence-mBHI-p1_S796-trimmed-pair1.fastq.gz,workflow/out/trimmed/E4-e003Coalescence-mBHI-p1_S796-trimmed-pair2.fastq.gz,workflow/out/filter/E4-e003Coalescence-mBHI-p1_S796-filtered.1.fastq.gz,workflow/out/filter/E4-e003Coalescence-mBHI-p1_S796-filtered.2.fastq.gz,E4-e003Coalescence-mBHI-p1_S796,E4-e003Coalescence-mBHI-p1
18,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E11-e003Coalescence-mGAM-p1_S840_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E11-e003Coalescence-mGAM-p1_S840_R2_001.fastq.gz,workflow/out/trimmed/E11-e003Coalescence-mGAM-p1_S840-trimmed-pair1.fastq.gz,workflow/out/trimmed/E11-e003Coalescence-mGAM-p1_S840-trimmed-pair2.fastq.gz,workflow/out/filter/E11-e003Coalescence-mGAM-p1_S840-filtered.1.fastq.gz,workflow/out/filter/E11-e003Coalescence-mGAM-p1_S840-filtered.2.fastq.gz,E11-e003Coalescence-mGAM-p1_S840,E11-e003Coalescence-mGAM-p1
19,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672-filtered.1.fastq.gz,workflow/out/filter/Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672-filtered.2.fastq.gz,Coalescence-E5-C4-AE-AE-mBHI-mBHI-3_S672,Coalescence-E5-C4-AE-AE-mBHI-mBHI-3
20,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G5-e003Coalescence-mGAM-p1_S810_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G5-e003Coalescence-mGAM-p1_S810_R2_001.fastq.gz,workflow/out/trimmed/G5-e003Coalescence-mGAM-p1_S810-trimmed-pair1.fastq.gz,workflow/out/trimmed/G5-e003Coalescence-mGAM-p1_S810-trimmed-pair2.fastq.gz,workflow/out/filter/G5-e003Coalescence-mGAM-p1_S810-filtered.1.fastq.gz,workflow/out/filter/G5-e003Coalescence-mGAM-p1_S810-filtered.2.fastq.gz,G5-e003Coalescence-mGAM-p1_S810,G5-e003Coalescence-mGAM-p1
21,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Assembly-G7-C3-ACPP-mBHI-3_S698_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Assembly-G7-C3-ACPP-mBHI-3_S698_R2_001.fastq.gz,workflow/out/trimmed/Assembly-G7-C3-ACPP-mBHI-3_S698-trimmed-pair1.fastq.gz,workflow/out/trimmed/Assembly-G7-C3-ACPP-mBHI-3_S698-trimmed-pair2.fastq.gz,workflow/out/filter/Assembly-G7-C3-ACPP-mBHI-3_S698-filtered.1.fastq.gz,workflow/out/filter/Assembly-G7-C3-ACPP-mBHI-3_S698-filtered.2.fastq.gz,Assembly-G7-C3-ACPP-mBHI-3_S698,Assembly-G7-C3-ACPP-mBHI-3
22,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691-filtered.1.fastq.gz,workflow/out/filter/Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691-filtered.2.fastq.gz,Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3_S691,Coalescence-F12-F9-ACPP-ACPP-mGAM-mGAM-3
23,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B5-e003Coalescence-mBHI-p1_S741_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B5-e003Coalescence-mBHI-p1_S741_R2_001.fastq.gz,workflow/out/trimmed/B5-e003Coalescence-mBHI-p1_S741-trimmed-pair1.fastq.gz,workflow/out/trimmed/B5-e003Coalescence-mBHI-p1_S741-trimmed-pair2.fastq.gz,workflow/out/filter/B5-e003Coalescence-mBHI-p1_S741-filtered.1.fastq.gz,workflow/out/filter/B5-e003Coalescence-mBHI-p1_S741-filtered.2.fastq.gz,B5-e003Coalescence-mBHI-p1_S741,B5-e003Coalescence-mBHI-p1
24,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E3-e003Coalescence-mBHI-p1_S788_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E3-e003Coalescence-mBHI-p1_S788_R2_001.fastq.gz,workflow/out/trimmed/E3-e003Coalescence-mBHI-p1_S788-trimmed-pair1.fastq.gz,workflow/out/trimmed/E3-e003Coalescence-mBHI-p1_S788-trimmed-pair2.fastq.gz,workflow/out/filter/E3-e003Coalescence-mBHI-p1_S788-filtered.1.fastq.gz,workflow/out/filter/E3-e003Coalescence-mBHI-p1_S788-filtered.2.fastq.gz,E3-e003Coalescence-mBHI-p1_S788,E3-e003Coalescence-mBHI-p1
25,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5_S659_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5_S659_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5_S659-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5_S659-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5_S659-filtered.1.fastq.gz,workflow/out/filter/Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5_S659-filtered.2.fastq.gz,Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5_S659,Coalescence-D4-F10-ACPP-AE-mGAM-mBHI-5
26,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/D2-e003Coalescence-mBHI-p1_S719_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/D2-e003Coalescence-mBHI-p1_S719_R2_001.fastq.gz,workflow/out/trimmed/D2-e003Coalescence-mBHI-p1_S719-trimmed-pair1.fastq.gz,workflow/out/trimmed/D2-e003Coalescence-mBHI-p1_S719-trimmed-pair2.fastq.gz,workflow/out/filter/D2-e003Coalescence-mBHI-p1_S719-filtered.1.fastq.gz,workflow/out/filter/D2-e003Coalescence-mBHI-p1_S719-filtered.2.fastq.gz,D2-e003Coalescence-mBHI-p1_S719,D2-e003Coalescence-mBHI-p1
27,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657-filtered.1.fastq.gz,workflow/out/filter/Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657-filtered.2.fastq.gz,Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,Coalescence-D2-C5-AE-AF-mBHI-mGAM-5
28,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G4-e003Coalescence-mGAM-p1_S802_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/G4-e003Coalescence-mGAM-p1_S802_R2_001.fastq.gz,workflow/out/trimmed/G4-e003Coalescence-mGAM-p1_S802-trimmed-pair1.fastq.gz,workflow/out/trimmed/G4-e003Coalescence-mGAM-p1_S802-trimmed-pair2.fastq.gz,workflow/out/filter/G4-e003Coalescence-mGAM-p1_S802-filtered.1.fastq.gz,workflow/out/filter/G4-e003Coalescence-mGAM-p1_S802-filtered.2.fastq.gz,G4-e003Coalescence-mGAM-p1_S802,G4-e003Coalescence-mGAM-p1
29,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B9-e003Coalescence-mGAM-p1_S761_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/B9-e003Coalescence-mGAM-p1_S761_R2_001.fastq.gz,workflow/out/trimmed/B9-e003Coalescence-mGAM-p1_S761-trimmed-pair1.fastq.gz,workflow/out/trimmed/B9-e003Coalescence-mGAM-p1_S761-trimmed-pair2.fastq.gz,workflow/out/filter/B9-e003Coalescence-mGAM-p1_S761-filtered.1.fastq.gz,workflow/out/filter/B9-e003Coalescence-mGAM-p1_S761-filtered.2.fastq.gz,B9-e003Coalescence-mGAM-p1_S761,B9-e003Coalescence-mGAM-p1
30,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660-filtered.1.fastq.gz,workflow/out/filter/Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660-filtered.2.fastq.gz,Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,Coalescence-D5-H2-AA-AF-mBHI-mBHI-5
31,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/H10-e003Coalescence-mGAM-p1_S835_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/H10-e003Coalescence-mGAM-p1_S835_R2_001.fastq.gz,workflow/out/trimmed/H10-e003Coalescence-mGAM-p1_S835-trimmed-pair1.fastq.gz,workflow/out/trimmed/H10-e003Coalescence-mGAM-p1_S835-trimmed-pair2.fastq.gz,workflow/out/filter/H10-e003Coalescence-mGAM-p1_S835-filtered.1.fastq.gz,workflow/out/filter/H10-e003Coalescence-mGAM-p1_S835-filtered.2.fastq.gz,H10-e003Coalescence-mGAM-p1_S835,H10-e003Coalescence-mGAM-p1
32,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3_S683_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3_S683_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3_S683-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3_S683-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3_S683-filtered.1.fastq.gz,workflow/out/filter/Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3_S683-filtered.2.fastq.gz,Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3_S683,Coalescence-F4-E9-AA-ACPP-mGAM-mBHI-3
33,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668_R2_001.fastq.gz,workflow/out/trimmed/Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668-trimmed-pair1.fastq.gz,workflow/out/trimmed/Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668-trimmed-pair2.fastq.gz,workflow/out/filter/Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668-filtered.1.fastq.gz,workflow/out/filter/Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668-filtered.2.fastq.gz,Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668,Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3
34,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E9-e003Coalescence-mBHI-p1_S820_R1_001.fastq.gz,/oak/stanford/groups/dpetrov/swalton/Feb2025_Seq/E9-e003Coalescence-mBHI-p1_S820_R2_001.fastq.gz,workflow/out/trimmed/E9-e003Coalescence-mBHI-p1_S820-trimmed-pair1.fastq.gz,workflow/out/trimmed/E9-e003Coalescence-mBHI-p1_S820-trimmed-pair2.fastq.gz,workflow/out/filter/E9-e003Coalescence-mBHI-p1_S820-filtered.1.fastq.gz,workflow/out/filter/E9-e003Coalescence-mBHI-p1_S820-filtered.2.fastq.gz,E9-e003Coalescence-mBHI-p1_S820,E9-e003Coalescence-mBHI-p1
