,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
A5-e003Coalescence-Inoculumn-mGAM,0.563,0.44700000000000006
A3-e003Coalescence-mBHI-p3,0.25,0.0
AG-Fecal,0.75,0.0
D4-e003Coalescence-Inoculumn-mGAM,0.25,0.0
A2-e003Coalescence-mBHI-p5,0.625,0.38499999999999995
B5-e004Assembly-mBHI-p5,0.0,0.0
C10-e003Coalescence-mBHI-p5,0.25,0.0
B9-e003Coalescence-mBHI-p3,0.25,0.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.25,0.0
B5-e003Coalescence-mGAM-p3,0.25,0.0
BK-Fecal,0.25,0.0
C3-e003Assembly-mBHI-p5,0.25,0.0
C4-e004Assembly-mBHI-p7,0.33325,0.0
C9-e003GlycerolRevival-mGAM-p2,0.25,0.0
C9-e003Coalescence-mGAM-p5,0.2465,0.0
A2-e003Coalescence-mBHI-inoculumn-redo,0.8522500000000001,0.245
C2-e003Coalescence-mGAM-p5,0.25,0.0
B8-e003GlycerolRevival-mGAM-p2,0.7955000000000001,0.909
C8-e003Coalescence-mBHI-p5,0.25,0.0
B8-e003Coalescence-mGAM-p7,0.24575,0.0
B4-e003Coalescence-Inoculumn-mBHI,0.25,0.0
D2-e003Coalescence-Inoculumn-mGAM,0.41075,0.41475
B8-e003Coalescence-mBHI-p7,0.25,0.0
D3-e003Coalescence-Inoculumn-mGAM,0.245,0.0
B11-e003Coalescence-mBHI-p3,0.25,0.0
C5-e003Coalescence-Inoculumn-mGAM,0.25,0.0
C4-e003Coalescence-mBHI-p5,0.25,0.0
BC-Fecal,0.0,0.0
e004-inoculumn-fecal-BE,0.25,0.0
A11-e003Coalescence-mBHI-p3,0.26075000000000004,0.0485
B4-e004Assembly-mBHI-p7,0.0,0.0
A4-e003Coalescence-Inoculumn-mGAM,0.47050000000000003,0.33775
B4-e003Coalescence-mBHI-p3,0.25,0.0
A5-e003Coalescence-Inoculumn-mBHI,0.14575,0.0
A9-e003Coalescence-mGAM-p5,0.25,0.0
