,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
D9-e003Coalescence-mBHI-p5,0.006812608171662013,0.006484998980704227
C4-e003Coalescence-Inoculumn-mGAM,0.02212939018859853,0.013718267074566633
D4-e003Coalescence-mGAM-p3,0.007343806706964618,0.0055730459990426945
B9-e003Coalescence-mBHI-p7,0.00814550977046545,0.0077538031291028795
A2-e003Coalescence-mGAM-p5,0.9921666061792377,0.9982439914057029
D11-e003Assembly-mGAM-p5,0.02882257303395467,0.027436534149133267
C3-e003Coalescence-mGAM-p7,0.002469374012461639,0.0015307937508100104
B11-e003GlycerolRevival-mGAM-p2,0.031224454120117557,0.03589857634103785
C5-e004Assembly-mBHI-p7,0.2855,0.020548719460841493
B3-e003Coalescence-mGAM-p5,0.006392934943372909,0.0039630549326525825
D9-e003Coalescence-mBHI-p7,0.010126849984902991,0.00963986334969547
G5-e004Assembly-epsilon-p5,0.0305,0.012670085767425125
B10-e003Assembly-mGAM-p3,0.08219487784336597,0.11407252803111023
D3-e004Assembly-mGAM-p5,0.18200000000000002,0.3085
C5-e003Coalescence-mBHI-p7,0.0039030567650146946,0.003715363999361796
D12-e003Coalescence-mBHI-p3,0.013381908908621811,0.01273839085495473
D4-e004Assembly-mGAM-p7,0.027398292614455325,0.024325029703142414
C11-e003Coalescence-mGAM-p7,0.186,0.0030991576697298865
C11-e003Assembly-mGAM-p3,0.02341834059008817,0.022292183996170778
D10-e003Coalescence-mBHI-p7,0.026,0.0031216153340032915
C9-e003Coalescence-mBHI-p7,0.008326521098698015,0.007926109865305165
A2-e003Coalescence-mBHI-p3,0.9916944254088702,0.7835000000000001
B8-e003Coalescence-mGAM-p5,0.010126849984902991,0.00963986334969547
C3-e004Assembly-mBHI-p3,0.0027139818155828385,0.0075
C11-e003Assembly-mGAM-p5,0.034063040858310065,0.03242499490352113
B10-e003GlycerolRevival-mGAM-p2,0.10333482164805849,0.06385320297074884
B3-e003Coalescence-mBHI-p5,0.0033258043058009353,0.002061704878258569
