,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
E3-e003Coalescence-mGAM-p3_S58,817,373
G4-e003Coalescence-mBHI-p5_S27,890,395
E8-e003Coalescence-mBHI-p5_S5,878,388
G2-e003Coalescence-mBHI-p3_S33,357,135
E9-e003Coalescence-mBHI-p5_S6,865,381
H111-e003Coalescence-mBHI-p3_S144,822,352
G111-e003Coalescence-mGAM-p5_S80,839,360
G100-e003Coalescence-mGAM-p3_S179,746,321
F111-e003Coalescence-mGAM-p5_S68,852,376
G111-e003Coalescence-mBHI-p5_S32,890,396
G5-e003Coalescence-mBHI-p3_S36,843,367
H2-e003Coalescence-mGAM-p7_S181,874,384
H9-e003Coalescence-mGAM-p3_S190,846,370
E3-e003Coalescence-mBHI-p3_S10,763,347
H2-e003Coalescence-mGAM-p5_S85,803,353
G8-e003Coalescence-mGAM-p3_S177,885,392
F2-e003Coalescence-mGAM-p7_S157,848,385
H3-e003Coalescence-mGAM-p3_S94,873,381
H4-e003Coalescence-mGAM-p3_S95,826,356
E5-e003Coalescence-mBHI-p7_S100,857,372
F3-e003Coalescence-mGAM-p3_S70,856,382
E100-e003Coalescence-mBHI-p7_S103,869,385
F9-e003Coalescence-mGAM-p5_S66,853,386
G111-e003Coalescence-mGAM-p7_S176,623,267
H100-e003Coalescence-mGAM-p7_S187,861,381
E100-e003Coalescence-mGAM-p3_S155,886,391
E3-e003Coalescence-mGAM-p5_S50,858,386
F5-e003Coalescence-mGAM-p3_S72,874,380
E9-e003Coalescence-mBHI-p7_S102,863,388
E5-e003Coalescence-mBHI-p5_S4,843,367
F111-e003Coalescence-mGAM-p7_S164,839,361
E111-e003Coalescence-mBHI-p5_S8,870,387
H100-e003Coalescence-mBHI-p5_S43,891,396
F2-e003Coalescence-mGAM-p5_S61,856,385
F5-e003Coalescence-mBHI-p5_S16,877,393
F8-e003Coalescence-mGAM-p5_S65,884,392
H8-e003Coalescence-mBHI-p7_S137,882,393
G9-e003Coalescence-mGAM-p5_S78,880,395
E2-e003Coalescence-mBHI-p5_S1,474,202
E2-e003Coalescence-mBHI-p3_S9,473,200
G8-e003Coalescence-mGAM-p5_S77,870,383
G3-e003Coalescence-mBHI-p3_S34,884,395
G100-e003Coalescence-mBHI-p5_S31,864,385
F9-e003Coalescence-mBHI-p3_S118,620,268
E111-e003Coalescence-mBHI-p3_S108,862,375
F8-e003Coalescence-mGAM-p3_S165,499,221
G3-e003Coalescence-mBHI-p5_S26,883,390
G5-e003Coalescence-mBHI-p5_S28,879,384
H111-e003Coalescence-mGAM-p5_S92,819,350
G4-e003Coalescence-mBHI-p3_S35,884,393
H9-e003Coalescence-mGAM-p5_S90,861,377
H2-e003Coalescence-mBHI-p3_S45,840,382
E8-e003Coalescence-mBHI-p7_S101,888,389
E4-e003Coalescence-mBHI-p5_S3,859,383
H2-e003Coalescence-mGAM-p3_S93,863,376
E4-e003Coalescence-mGAM-p5_S51,882,394
G9-e003Coalescence-mGAM-p7_S174,887,386
F2-e003Coalescence-mBHI-p3_S21,489,195
E8-e003Coalescence-mGAM-p3_S153,887,393
G111-e003Coalescence-mGAM-p3_S180,853,372
G5-e003Coalescence-mGAM-p3_S84,834,357
H8-e003Coalescence-mBHI-p5_S41,884,389
E100-e003Coalescence-mBHI-p5_S7,868,379
G100-e003Coalescence-mGAM-p7_S175,853,388
F9-e003Coalescence-mGAM-p7_S162,839,385
F8-e003Coalescence-mGAM-p7_S161,858,387
F3-e003Coalescence-mBHI-p3_S22,859,383
G3-e003Coalescence-mBHI-p7_S122,872,388
G5-e003Coalescence-mGAM-p5_S76,826,356
G5-e003Coalescence-mGAM-p7_S172,824,353
G4-e003Coalescence-mGAM-p5_S75,889,395
G8-e003Coalescence-mBHI-p3_S129,868,393
E5-e003Coalescence-mGAM-p3_S60,861,372
G2-e003Coalescence-mGAM-p5_S73,887,394
E5-e003Coalescence-mGAM-p7_S148,874,383
H9-e003Coalescence-mGAM-p7_S186,865,378
E100-e003Coalescence-mGAM-p5_S55,871,386
E8-e003Coalescence-mGAM-p5_S53,871,383
H5-e003Coalescence-mGAM-p3_S96,861,378
G4-e003Coalescence-mGAM-p3_S83,890,396
F4-e003Coalescence-mBHI-p7_S111,887,386
H3-e003Coalescence-mGAM-p7_S182,877,385
H5-e003Coalescence-mGAM-p5_S88,869,385
F4-e003Coalescence-mGAM-p5_S63,880,392
G4-e003Coalescence-mGAM-p7_S171,881,390
H8-e003Coalescence-mGAM-p5_S89,837,362
F3-e003Coalescence-mBHI-p5_S14,858,384
F100-e003Coalescence-mBHI-p7_S115,887,396
E3-e003Coalescence-mGAM-p7_S146,848,383
F100-e003Coalescence-mGAM-p3_S167,847,383
G100-e003Coalescence-mBHI-p3_S131,862,381
G4-e003Coalescence-mBHI-p7_S123,890,395
E9-e003Coalescence-mGAM-p3_S154,863,394
F3-e003Coalescence-mGAM-p5_S62,851,383
H4-e003Coalescence-mBHI-p7_S135,869,383
G111-e003Coalescence-mBHI-p7_S128,752,340
H3-e003Coalescence-mBHI-p5_S38,881,394
G3-e003Coalescence-mGAM-p3_S82,890,395
F111-e003Coalescence-mGAM-p3_S168,860,379
F3-e003Coalescence-mGAM-p7_S158,849,384
F8-e003Coalescence-mBHI-p7_S113,845,385
H4-e003Coalescence-mBHI-p3_S47,887,392
F3-e003Coalescence-mBHI-p7_S110,815,370
F100-e003Coalescence-mGAM-p5_S67,867,380
G8-e003Coalescence-mBHI-p7_S125,846,372
F4-e003Coalescence-mBHI-p5_S15,881,392
H111-e003Coalescence-mBHI-p5_S44,813,350
E111-e003Coalescence-mBHI-p7_S104,887,394
E2-e003Coalescence-mGAM-p3_S57,872,389
F2-e003Coalescence-mBHI-p5_S13,346,158
F4-e003Coalescence-mBHI-p3_S23,879,395
F2-e003Coalescence-mGAM-p3_S69,856,385
E9-e003Coalescence-mGAM-p5_S54,875,391
G3-e003Coalescence-mGAM-p5_S74,885,394
E111-e003Coalescence-mGAM-p5_S56,834,357
G100-e003Coalescence-mGAM-p5_S79,886,391
H100-e003Coalescence-mGAM-p5_S91,869,386
G9-e003Coalescence-mBHI-p3_S130,870,383
E4-e003Coalescence-mGAM-p7_S147,891,393
E4-e003Coalescence-mGAM-p3_S59,881,394
H4-e003Coalescence-mBHI-p5_S39,857,375
F4-e003Coalescence-mGAM-p3_S71,889,395
H100-e003Coalescence-mBHI-p7_S139,890,394
G8-e003Coalescence-mBHI-p5_S29,873,389
G2-e003Coalescence-mBHI-p5_S25,546,209
G8-e003Coalescence-mGAM-p7_S173,879,387
E4-e003Coalescence-mBHI-p3_S11,299,113
E2-e003Coalescence-mGAM-p5_S49,871,386
H9-e003Coalescence-mBHI-p5_S42,850,384
H111-e003Coalescence-mGAM-p3_S192,826,353
F5-e003Coalescence-mBHI-p3_S24,890,393
E8-e003Coalescence-mBHI-p3_S105,853,381
E8-e003Coalescence-mGAM-p7_S149,874,384
H5-e003Coalescence-mBHI-p7_S136,824,359
G9-e003Coalescence-mBHI-p5_S30,885,387
F111-e003Coalescence-mBHI-p7_S116,872,391
F5-e003Coalescence-mBHI-p7_S112,860,389
F4-e003Coalescence-mGAM-p7_S159,891,396
F111-e003Coalescence-mBHI-p3_S120,844,376
H3-e003Coalescence-mGAM-p5_S86,876,381
E4-e003Coalescence-mBHI-p7_S99,879,391
H4-e003Coalescence-mGAM-p5_S87,818,351
E100-e003Coalescence-mGAM-p7_S151,857,386
G9-e003Coalescence-mGAM-p3_S178,885,394
H9-e003Coalescence-mBHI-p7_S138,850,382
H8-e003Coalescence-mGAM-p7_S185,839,361
G2-e003Coalescence-mGAM-p3_S81,890,391
F111-e003Coalescence-mBHI-p5_S20,820,378
F8-e003Coalescence-mBHI-p5_S17,867,386
G100-e003Coalescence-mBHI-p7_S127,817,364
E5-e003Coalescence-mGAM-p5_S52,874,383
