,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A5-e003Coalescence-mBHI-p3,0.5162750079390283,0.0012561937329890432
C4-e004Assembly-mBHI-p7,0.6832327723086694,0.7142857142857143
A4-e003Coalescence-mBHI-p3,0.6382978723404256,0.7403866285155978
C9-e003GlycerolRevival-mGAM-p2,0.6224992060971737,0.5786865796636192
B2-e004Assembly-mBHI-p7,0.6849793585265164,0.719031335054784
B4-e004Assembly-mBHI-p3,0.68315338202604,0.7198687975434434
F3-e004Assembly-epsilon-p5,0.6598126389329946,0.6946053458022192
C9-e003Coalescence-mGAM-p5,0.6637027627818355,0.00020936562216484055
A2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.9921836834391793
C2-e003Coalescence-mGAM-p5,0.6632264210860591,0.7458301346918836
B8-e003GlycerolRevival-mGAM-p2,7.939028262940616e-05,0.7029799706888129
C8-e003Coalescence-mBHI-p5,0.0,0.7405959941377626
B8-e003Coalescence-mGAM-p7,0.9939663385201651,0.0
B4-e003Coalescence-Inoculumn-mBHI,0.5036519530009527,0.6306790425012213
D2-e003Coalescence-Inoculumn-mGAM,0.0115909812638933,0.00027915416288645404
B8-e003Coalescence-mBHI-p7,0.9947602413464592,0.0
B3-e004Assembly-mBHI-p3,0.6440139726897428,0.678763347058413
D3-e003Coalescence-Inoculumn-mGAM,0.9937281676722769,0.0
B11-e003Coalescence-mBHI-p3,0.9951571927596062,0.0
C5-e003Coalescence-Inoculumn-mGAM,0.6621943474118768,0.0
C4-e003Coalescence-mBHI-p5,0.4950778024769768,0.6235606113476168
B2-e004Assembly-mBHI-p3,0.5463639250555732,0.6306790425012213
G3-e004Assembly-epsilon-p5,0.6674341060654176,0.7035382790145858
A11-e003Coalescence-mBHI-p3,0.988091457605589,0.0
B2-e004Assembly-mBHI-p5,0.6428231184503017,0.6985832926233513
B4-e004Assembly-mBHI-p7,0.6970466814861861,0.7327796775769418
B2-e003Coalescence-mBHI-p7,0.3914734836456018,0.5614488101053807
A4-e003Coalescence-Inoculumn-mGAM,0.000952683391552874,0.744853095121781
B4-e003Coalescence-mBHI-p3,0.6617973959987298,0.7299881359480773
A5-e003Coalescence-Inoculumn-mBHI,0.25968561448078753,0.005652871798450695
A9-e003Coalescence-mGAM-p5,0.9946808510638298,0.0
C10-e003Coalescence-mGAM-p7,0.6616386154334709,0.7451322492846675
F3-e004Assembly-epsilon-p7,0.6615592251508415,0.6982343499197432
A11-e003Coalescence-mGAM-p3,0.59225150841537,0.0
C10-e003Coalescence-mBHI-p3,0.6621149571292474,0.7442947867960081
D2-e003Coalescence-mBHI-p3,0.6999047316608447,0.0
