,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003GlycerolRevival-mGAM-p2,0.923642439010487,0.714
C5-e004Assembly-mBHI-p7,,0.031094147946988965
B3-e003Coalescence-mGAM-p5,0.0056758402640665635,0.0038700743807579523
D9-e003Coalescence-mBHI-p7,0.9861939020603786,0.9828111144129731
G5-e004Assembly-epsilon-p5,0.015024283051940904,0.6930000000000001
B10-e003Assembly-mGAM-p3,0.13089867598202215,0.09085553810285665
D3-e004Assembly-mGAM-p5,0.040235947810852504,0.305
C5-e003Coalescence-mBHI-p7,0.923,0.964
D12-e003Coalescence-mBHI-p3,0.812,0.9955298877516426
D4-e004Assembly-mGAM-p7,0.07663990059210002,0.3405
C11-e003Coalescence-mGAM-p7,0.225,0.192
C11-e003Assembly-mGAM-p3,1.0,0.9445435503124435
D10-e003Coalescence-mBHI-p7,0.893,0.93
C9-e003Coalescence-mBHI-p7,0.767,0.9858669162951111
A2-e003Coalescence-mBHI-p3,-0.0,0.01741272285031382
B8-e003Coalescence-mGAM-p5,0.83,0.988234646722761
C3-e004Assembly-mBHI-p3,0.758,0.2835
C11-e003Assembly-mGAM-p5,1.0,0.9823494532326402
B10-e003GlycerolRevival-mGAM-p2,0.8854636585157306,0.05441475890723069
B3-e003Coalescence-mBHI-p5,0.0029527492703236456,0.0020133334928798597
C2-e003Coalescence-mBHI-inoculumn-redo,0.0060812574257856035,0.004146508265097806
A8-e003Coalescence-mGAM-p7,-0.0,0.009463436331692294
C11-e003GlycerolRevival-mGAM-p2,0.934550662008989,0.9861317132542173
B2-e003Coalescence-Inoculumn-mBHI,0.015479564356545173,0.010554748311158052
A11-e003Coalescence-mBHI-p5,0.845,0.9903638065648486
C10-e003Coalescence-mGAM-p5,0.001702752079219969,0.0011610223142273857
C4-e003Assembly-mBHI-p5,0.01344277957278923,0.0935
C9-e003Assembly-mGAM-p5,,0.9053223750156217
A5-e003Coalescence-Inoculumn-mGAM,0.46399999999999997,0.63
A3-e003Coalescence-mBHI-p3,0.014595017821885449,0.012437659178795586
AG-Fecal,0.018919467546888544,0.536
D4-e003Coalescence-Inoculumn-mGAM,0.0916290731874155,0.8553081017063675
A2-e003Coalescence-mBHI-p5,-0.0,0.015160807173204867
B5-e004Assembly-mBHI-p5,0.016659831488621,0.5325
G2-e004Assembly-epsilon-p5,0.267,0.5135000000000001
C5-e003Assembly-mBHI-p5,0.05675840264066564,0.581
C10-e003Coalescence-mBHI-p5,0.003572207159202732,0.00304418231648843
B9-e003Coalescence-mBHI-p3,0.878,0.9864683241123405
C3-e003Coalescence-mBHI-inoculumn-redo,0.0022804715346696016,0.0385
B5-e003Coalescence-mGAM-p3,0.625,0.736
C3-e003Assembly-mBHI-p5,0.9618212195052436,0.9685928415676508
F2-e004Assembly-epsilon-p5,0.353,0.714
A5-e003Coalescence-mBHI-p3,,0.8732424007141567
C4-e004Assembly-mBHI-p7,0.9295160975481419,0.6515
A4-e003Coalescence-mBHI-p3,0.912,0.007571884658004689
C9-e003GlycerolRevival-mGAM-p2,0.3,0.9478056944117116
B2-e004Assembly-mBHI-p7,0.9851237632457194,0.964624783262522
B4-e004Assembly-mBHI-p3,0.9868739087462229,0.694
F3-e004Assembly-epsilon-p5,0.9427318292578654,0.231
C9-e003Coalescence-mGAM-p5,0.289,0.277
A2-e003Coalescence-mBHI-inoculumn-redo,-0.0,0.015547073973494483
C2-e003Coalescence-mGAM-p5,0.011351680528133127,0.007740148761515905
B8-e003GlycerolRevival-mGAM-p2,-0.0,0.0663285313827713
C8-e003Coalescence-mBHI-p5,0.0014349034375449178,0.0009783895906410552
B8-e003Coalescence-mGAM-p7,0.891,0.9858669162951111
B4-e003Coalescence-Inoculumn-mBHI,0.0020190736117232833,0.0345
D2-e003Coalescence-Inoculumn-mGAM,0.4915,0.5
B8-e003Coalescence-mBHI-p7,0.925,0.9855457098472729
B3-e004Assembly-mBHI-p3,0.911,0.3175
D3-e003Coalescence-Inoculumn-mGAM,0.861,0.9887100372114432
B11-e003Coalescence-mBHI-p3,0.9145000000000001,0.9895739546439345
C5-e003Coalescence-Inoculumn-mGAM,0.458,0.522
C4-e003Coalescence-mBHI-p5,0.0013585787866116775,0.129
B2-e004Assembly-mBHI-p3,0.9583504212784475,0.645
G3-e004Assembly-epsilon-p5,0.04598394035526001,0.2825
A11-e003Coalescence-mBHI-p3,0.877,0.9983775796767347
B2-e004Assembly-mBHI-p5,0.606,0.9475
B4-e004Assembly-mBHI-p7,0.8634999999999999,0.51
B2-e003Coalescence-mBHI-p7,0.06385320297074884,0.09422147529704752
A4-e003Coalescence-Inoculumn-mGAM,0.0077397821782725865,0.005277374155579026
B4-e003Coalescence-mBHI-p3,0.006306489182296182,0.005374297176022784
A5-e003Coalescence-Inoculumn-mBHI,0.667,0.657
A9-e003Coalescence-mGAM-p5,0.758,0.9884365678778182
C10-e003Coalescence-mGAM-p7,0.0012899636963787644,0.0008795623592631709
F3-e004Assembly-epsilon-p7,0.5,0.079
A11-e003Coalescence-mGAM-p3,0.826,0.905
C10-e003Coalescence-mBHI-p3,0.0029190035643770896,0.001990323967246947
D2-e003Coalescence-mBHI-p3,0.853,0.889
C5-e003GlycerolRevival-mBHI-p2,0.6,0.733
H5-e003Coalescence-mBHI-p5_S40,0.861,0.9963336137445451
E2-e003Coalescence-mGAM-p7_S145,-0.0,0.010364715982329655
G5-e003Coalescence-mBHI-p7_S124,0.902,0.9946555565821849
H111-e003Coalescence-mGAM-p7_S188,0.933,0.9940561797502804
H4-e003Coalescence-mGAM-p7_S183,0.938,0.898
F5-e003Coalescence-mGAM-p5_S64,0.831,0.788
F5-e003Coalescence-mGAM-p7_S160,0.919,0.9888423023382457
F8-e003Coalescence-mBHI-p3_S117,0.861,0.9906472240188235
H3-e003Coalescence-mBHI-p3_S46,0.9927024910890573,0.9972263426508434
