,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-mBHI-p7,0.014006369426751592,0.8362443423398711
G2-e004Assembly-epsilon-p3,0.2633552897312412,0.2364445892195858
D2-e003Coalescence-mGAM-p5,0.0005299829112940811,0.9973247154025512
B9-e003Assembly-mGAM-p5,0.017943218890787635,0.3914705115896311
D3-e003Coalescence-mGAM-p3,0.12225866086686345,0.699121588259498
D9-e003Coalescence-mGAM-p3,0.0004520739474910673,0.9940779728432314
E2-e004Assembly-mGAM-p7,0.21795254000310701,0.1587054587848032
D3-e003Coalescence-mGAM-p5,0.10468378126456425,0.7536938005760526
C10-e003Coalescence-mGAM-p3,0.3303427839055461,0.2509519956110273
A5-e003Coalescence-mBHI-inoculumn-redo,0.27122992077054525,0.7024233301330408
B11-e003Assembly-mGAM-p3,0.000302703122572627,0.9535746811137018
D2-e003Assembly-mBHI-p5,0.7188536585365854,0.08106741187765738
B9-e003Coalescence-mGAM-p7,0.000448578530371291,0.9944395144698943
B11-e003Coalescence-mGAM-p7,0.0005030293615038062,0.9858463173775889
C3-e003Coalescence-Inoculumn-mGAM,0.135734037595153,0.6723125771499109
B5-e003Coalescence-mBHI-p7,0.0005634612397079385,0.9961199423947331
A3-e003Coalescence-mGAM-p7,0.33288946714307904,0.24994068029076943
D4-e003Coalescence-Inoculumn-mBHI,0.2403953705142147,0.4445304484981484
A4-e003Coalescence-mBHI-p5,0.33121889078763395,0.25092771910574685
B3-e003Coalescence-mBHI-p7,0.3316884418207239,0.25123227266492937
C2-e004Assembly-mBHI-p7,0.2749609290041945,0.24143011932519545
D10-e003Coalescence-mGAM-p7,0.3320962404846979,0.2515167329584419
C12-e003Coalescence-mGAM-p3,0.26955204287711665,0.3787378274585105
C11-e003Coalescence-mGAM-p3,0.2708260835793071,0.38471108215608285
D5-e004Assembly-mGAM-p3,0.10987439801149605,0.09414257303524894
A10-e003Coalescence-mBHI-p7,0.7409724250427218,0.09225497188314359
C10-e003Coalescence-mBHI-p7,0.3319838434053131,0.25177348786174736
B9-e003Coalescence-mBHI-p5,0.0009184402672052199,0.9981547112878892
B10-e003Coalescence-mBHI-p3,0.0012276681684014294,0.9947544232615554
C11-e003Coalescence-mBHI-p5,0.019319947180363527,0.9539466465505418
A2-e003Coalescence-mGAM-p7,0.9770725493242193,0.0007226032094362913
C5-e003Assembly-mBHI-p3,0.01835233804567345,0.397300233164175
F5-e004Assembly-epsilon-p3,0.3152386981513127,0.22714154436977094
E3-e004Assembly-mGAM-p5,0.2632673605716949,0.22877458510492388
E2-e004Assembly-mGAM-p5,0.20470172440577908,0.15313523522150596
C3-e003GlycerolRevival-mBHI-p2,0.245969706384962,0.2273416540940886
D10-e003Coalescence-mGAM-p3,0.3187234736678577,0.2781395556165135
B10-e003Coalescence-mGAM-p7,0.0606733726891409,0.6757930325058291
C4-e004Assembly-mBHI-p3,0.2769334317228523,0.23624201069812095
A9-e003Coalescence-mBHI-p7,0.0005282740407021904,0.9995565766012893
C2-e003Coalescence-Inoculumn-mGAM,0.590142224638807,0.14380962830887398
B3-e003Coalescence-Inoculumn-mGAM,0.0005471492931489823,0.9894638595528735
D11-e003Coalescence-mGAM-p7,0.00043265496349231006,0.9926589631051983
D5-e003Coalescence-mGAM-p3,0.00048446481280099425,0.9937368673707311
E5-e004Assembly-mGAM-p3,0.29322658070529756,0.21818900013715536
D2-e003Coalescence-Inoculumn-mBHI,0.20309701724405782,0.7656006720614456
B4-e003Coalescence-Inoculumn-mGAM,0.13846659934752215,0.6690803730626801
F2-e004Assembly-epsilon-p7,0.23867546993941277,0.21636647922095734
A10-e003Coalescence-mGAM-p7,0.3902666614882709,0.223745233849952
B2-e003Assembly-mBHI-p3,0.9557469318005282,0.0029487724591962697
D9-e003Coalescence-mBHI-p5,0.0004642690694422868,0.9962010012343985
C4-e003Coalescence-Inoculumn-mGAM,0.32745121951219514,0.2489663969277191
D4-e003Coalescence-mGAM-p3,0.014460074568898555,0.9607312439994515
B9-e003Coalescence-mBHI-p7,0.00047452229299363056,0.9961105472500342
A2-e003Coalescence-mGAM-p5,0.9842300761224172,0.0007843231381154849
D11-e003Assembly-mGAM-p5,0.0005141370203510952,0.934573035248937
C3-e003Coalescence-mGAM-p7,0.3318004505204288,0.25114312165683716
B11-e003GlycerolRevival-mGAM-p2,0.0004515302159391021,0.9295839391030036
C5-e004Assembly-mBHI-p7,0.2422412614572005,0.2113123028391167
B3-e003Coalescence-mGAM-p5,0.33129897467764485,0.2513718282814429
D9-e003Coalescence-mBHI-p7,0.0004620941432344259,0.9948810862707448
G5-e004Assembly-epsilon-p5,0.31779004194500543,0.22144404059799752
B10-e003Assembly-mGAM-p3,0.21071376417585835,0.16494520641887256
D3-e004Assembly-mGAM-p5,0.2643302780798508,0.22786730215333972
C5-e003Coalescence-mBHI-p7,0.0007825073792139197,0.9973138801261829
D12-e003Coalescence-mBHI-p3,0.00038022370669566565,0.9869688657248662
D4-e004Assembly-mGAM-p7,0.24738581637408733,0.21932855575366889
C11-e003Coalescence-mGAM-p7,0.2682581948112475,0.387303456316006
C11-e003Assembly-mGAM-p3,0.0012102687587385427,0.9510526676724729
