,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
D4-e003Coalescence-mGAM-p3,13042,14624
B9-e003Coalescence-mBHI-p7,13034,14616
A2-e003Coalescence-mGAM-p5,12789,14429
D11-e003Assembly-mGAM-p5,12391,13736
C3-e003Coalescence-mGAM-p7,13016,14683
B11-e003GlycerolRevival-mGAM-p2,12328,13621
C5-e004Assembly-mBHI-p7,11443,12975
B3-e003Coalescence-mGAM-p5,12989,14676
D9-e003Coalescence-mBHI-p7,13008,14581
G5-e004Assembly-epsilon-p5,12520,14086
B10-e003Assembly-mGAM-p3,8157,9639
D3-e004Assembly-mGAM-p5,12570,14235
C5-e003Coalescence-mBHI-p7,13053,14651
D12-e003Coalescence-mBHI-p3,12962,14463
D4-e004Assembly-mGAM-p7,11860,13387
C11-e003Coalescence-mGAM-p7,13039,14687
C11-e003Assembly-mGAM-p3,12826,14290
D10-e003Coalescence-mBHI-p7,13043,14648
C9-e003Coalescence-mBHI-p7,13036,14577
A2-e003Coalescence-mBHI-p3,12659,14280
B8-e003Coalescence-mGAM-p5,13007,14542
C3-e004Assembly-mBHI-p3,12090,13685
C11-e003Assembly-mGAM-p5,12047,13211
B10-e003GlycerolRevival-mGAM-p2,9373,11125
B3-e003Coalescence-mBHI-p5,12993,14681
C2-e003Coalescence-mBHI-inoculumn-redo,13021,14680
A8-e003Coalescence-mGAM-p7,12761,14388
C11-e003GlycerolRevival-mGAM-p2,12440,13859
B2-e003Coalescence-Inoculumn-mBHI,12882,14582
A11-e003Coalescence-mBHI-p5,13055,14625
C10-e003Coalescence-mGAM-p5,13009,14687
C4-e003Assembly-mBHI-p5,12930,14618
C9-e003Assembly-mGAM-p5,11925,13448
A5-e003Coalescence-Inoculumn-mGAM,12903,14485
A3-e003Coalescence-mBHI-p3,12921,14585
AG-Fecal,12710,14268
D4-e003Coalescence-Inoculumn-mGAM,9953,11095
A2-e003Coalescence-mBHI-p5,12706,14355
B5-e004Assembly-mBHI-p5,12673,14281
G2-e004Assembly-epsilon-p5,12431,14007
C5-e003Assembly-mBHI-p5,11072,10936
C10-e003Coalescence-mBHI-p5,13005,14683
B9-e003Coalescence-mBHI-p3,13017,14595
C3-e003Coalescence-mBHI-inoculumn-redo,12997,14663
B5-e003Coalescence-mGAM-p3,12882,14483
C3-e003Assembly-mBHI-p5,12153,13691
F2-e004Assembly-epsilon-p5,12287,13754
A5-e003Coalescence-mBHI-p3,7213,7561
C4-e004Assembly-mBHI-p7,12328,13871
A4-e003Coalescence-mBHI-p3,12782,14547
C9-e003GlycerolRevival-mGAM-p2,12391,13957
B2-e004Assembly-mBHI-p7,12416,13983
B4-e004Assembly-mBHI-p3,12353,13942
F3-e004Assembly-epsilon-p5,11776,13412
C9-e003Coalescence-mGAM-p5,13039,14676
A2-e003Coalescence-mBHI-inoculumn-redo,12746,14376
C2-e003Coalescence-mGAM-p5,12925,14650
B8-e003GlycerolRevival-mGAM-p2,8936,10164
C8-e003Coalescence-mBHI-p5,13062,14694
B8-e003Coalescence-mGAM-p7,13023,14606
B4-e003Coalescence-Inoculumn-mBHI,13036,14681
D2-e003Coalescence-Inoculumn-mGAM,12943,14525
B8-e003Coalescence-mBHI-p7,13032,14586
B3-e004Assembly-mBHI-p3,12013,13607
D3-e003Coalescence-Inoculumn-mGAM,13019,14597
B11-e003Coalescence-mBHI-p3,13027,14612
C5-e003Coalescence-Inoculumn-mGAM,13057,14679
C4-e003Coalescence-mBHI-p5,13055,14693
B2-e004Assembly-mBHI-p3,12595,14147
G3-e004Assembly-epsilon-p5,12028,13647
A11-e003Coalescence-mBHI-p3,13062,14679
B2-e004Assembly-mBHI-p5,12620,14251
B4-e004Assembly-mBHI-p7,12618,14168
B2-e003Coalescence-mBHI-p7,8984,10792
A4-e003Coalescence-Inoculumn-mGAM,12997,14642
B4-e003Coalescence-mBHI-p3,12976,14680
A5-e003Coalescence-Inoculumn-mBHI,12179,13400
A9-e003Coalescence-mGAM-p5,13048,14594
C10-e003Coalescence-mGAM-p7,13026,14686
F3-e004Assembly-epsilon-p7,11936,13526
A11-e003Coalescence-mGAM-p3,13052,14644
C10-e003Coalescence-mBHI-p3,13002,14682
D2-e003Coalescence-mBHI-p3,13024,14524
C5-e003GlycerolRevival-mBHI-p2,12873,14295
H5-e003Coalescence-mBHI-p5_S40,13037,14523
E2-e003Coalescence-mGAM-p7_S145,12616,14257
G5-e003Coalescence-mBHI-p7_S124,13018,14548
H111-e003Coalescence-mGAM-p7_S188,13039,14601
H4-e003Coalescence-mGAM-p7_S183,13033,14540
F5-e003Coalescence-mGAM-p5_S64,13042,14590
F5-e003Coalescence-mGAM-p7_S160,12978,14474
F8-e003Coalescence-mBHI-p3_S117,13028,14467
H3-e003Coalescence-mBHI-p3_S46,13021,14516
H2-e003Coalescence-mBHI-p7_S133,12877,14278
E5-e003Coalescence-mBHI-p3_S12,12826,14231
F100-e003Coalescence-mGAM-p7_S163,13024,14663
F9-e003Coalescence-mBHI-p5_S18,13040,14531
H3-e003Coalescence-mBHI-p7_S134,12974,14462
