,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C3-e003Coalescence-mBHI-inoculumn-redo,13417,15092
B5-e003Coalescence-mGAM-p3,13185,14796
C3-e003Assembly-mBHI-p5,12521,14083
F2-e004Assembly-epsilon-p5,12661,14151
A5-e003Coalescence-mBHI-p3,7374,7727
C4-e004Assembly-mBHI-p7,12693,14250
A4-e003Coalescence-mBHI-p3,13184,14952
C9-e003GlycerolRevival-mGAM-p2,12765,14311
B2-e004Assembly-mBHI-p7,12776,14339
B4-e004Assembly-mBHI-p3,12689,14290
F3-e004Assembly-epsilon-p5,12137,13805
C9-e003Coalescence-mGAM-p5,13464,15116
A2-e003Coalescence-mBHI-inoculumn-redo,13142,14793
C2-e003Coalescence-mGAM-p5,13345,15084
B8-e003GlycerolRevival-mGAM-p2,9174,10393
C8-e003Coalescence-mBHI-p5,13485,15133
B8-e003Coalescence-mGAM-p7,13450,15041
B4-e003Coalescence-Inoculumn-mBHI,13467,15121
D2-e003Coalescence-Inoculumn-mGAM,13291,14905
B8-e003Coalescence-mBHI-p7,13448,15030
B3-e004Assembly-mBHI-p3,12269,13905
D3-e003Coalescence-Inoculumn-mGAM,13436,15047
B11-e003Coalescence-mBHI-p3,13431,15033
C5-e003Coalescence-Inoculumn-mGAM,13480,15118
C4-e003Coalescence-mBHI-p5,13482,15134
B2-e004Assembly-mBHI-p3,12963,14546
G3-e004Assembly-epsilon-p5,12410,14046
A11-e003Coalescence-mBHI-p3,13490,15124
B2-e004Assembly-mBHI-p5,12994,14636
B4-e004Assembly-mBHI-p7,13007,14562
B2-e003Coalescence-mBHI-p7,9272,11093
A4-e003Coalescence-Inoculumn-mGAM,13419,15070
B4-e003Coalescence-mBHI-p3,13412,15122
A5-e003Coalescence-Inoculumn-mBHI,12390,13629
A9-e003Coalescence-mGAM-p5,13470,15029
C10-e003Coalescence-mGAM-p7,13464,15129
F3-e004Assembly-epsilon-p7,12322,13926
A11-e003Coalescence-mGAM-p3,13477,15085
C10-e003Coalescence-mBHI-p3,13444,15123
D2-e003Coalescence-mBHI-p3,13443,14972
C5-e003GlycerolRevival-mBHI-p2,13275,14681
H5-e003Coalescence-mBHI-p5_S40,13452,14988
E2-e003Coalescence-mGAM-p7_S145,13004,14666
G5-e003Coalescence-mBHI-p7_S124,13407,14967
H111-e003Coalescence-mGAM-p7_S188,13453,15053
H4-e003Coalescence-mGAM-p7_S183,13450,14982
F5-e003Coalescence-mGAM-p5_S64,13460,15046
F5-e003Coalescence-mGAM-p7_S160,13300,14826
F8-e003Coalescence-mBHI-p3_S117,13444,14916
H3-e003Coalescence-mBHI-p3_S46,13440,14966
H2-e003Coalescence-mBHI-p7_S133,13264,14661
E5-e003Coalescence-mBHI-p3_S12,13228,14649
F100-e003Coalescence-mGAM-p7_S163,13423,15098
F9-e003Coalescence-mBHI-p5_S18,13457,14972
H3-e003Coalescence-mBHI-p7_S134,13366,14890
E3-e003Coalescence-mGAM-p3_S58,13016,14965
G4-e003Coalescence-mBHI-p5_S27,13395,15106
E8-e003Coalescence-mBHI-p5_S5,13116,14803
G2-e003Coalescence-mBHI-p3_S33,13256,15080
E9-e003Coalescence-mBHI-p5_S6,13431,14952
H111-e003Coalescence-mBHI-p3_S144,13359,14975
G111-e003Coalescence-mGAM-p5_S80,13435,15101
G100-e003Coalescence-mGAM-p3_S179,13084,14934
F111-e003Coalescence-mGAM-p5_S68,13257,14689
G111-e003Coalescence-mBHI-p5_S32,13473,15073
G5-e003Coalescence-mBHI-p3_S36,13303,14804
H2-e003Coalescence-mGAM-p7_S181,13446,15005
H9-e003Coalescence-mGAM-p3_S190,10604,11647
E3-e003Coalescence-mBHI-p3_S10,13057,14821
H2-e003Coalescence-mGAM-p5_S85,9231,9828
G8-e003Coalescence-mGAM-p3_S177,13037,14842
F2-e003Coalescence-mGAM-p7_S157,13097,14962
H3-e003Coalescence-mGAM-p3_S94,13201,14777
H4-e003Coalescence-mGAM-p3_S95,12623,13960
E5-e003Coalescence-mBHI-p7_S100,13106,14506
G111-e003Coalescence-mBHI-p3_S132,5755,5909
F3-e003Coalescence-mGAM-p3_S70,12905,14714
E100-e003Coalescence-mBHI-p7_S103,13025,14745
F9-e003Coalescence-mGAM-p5_S66,13407,14914
G111-e003Coalescence-mGAM-p7_S176,7101,8462
H100-e003Coalescence-mGAM-p7_S187,13259,14899
E100-e003Coalescence-mGAM-p3_S155,13281,15053
E3-e003Coalescence-mGAM-p5_S50,13181,15045
F5-e003Coalescence-mGAM-p3_S72,12740,14395
E9-e003Coalescence-mBHI-p7_S102,13440,14966
E5-e003Coalescence-mBHI-p5_S4,13194,14570
F111-e003Coalescence-mGAM-p7_S164,13105,14560
E111-e003Coalescence-mBHI-p5_S8,13446,14966
H100-e003Coalescence-mBHI-p5_S43,13475,15043
F2-e003Coalescence-mGAM-p5_S61,13126,15026
F5-e003Coalescence-mBHI-p5_S16,13371,14785
F8-e003Coalescence-mGAM-p5_S65,13221,14651
H8-e003Coalescence-mBHI-p7_S137,13455,14979
G9-e003Coalescence-mGAM-p5_S78,13061,14881
E2-e003Coalescence-mBHI-p5_S1,12877,14551
E2-e003Coalescence-mBHI-p3_S9,12904,14526
G8-e003Coalescence-mGAM-p5_S77,13218,15017
G3-e003Coalescence-mBHI-p3_S34,13285,15088
G100-e003Coalescence-mBHI-p5_S31,13299,15079
F9-e003Coalescence-mBHI-p3_S118,11558,12434
E111-e003Coalescence-mBHI-p3_S108,12966,14385
G3-e003Coalescence-mBHI-p5_S26,13328,15098
G5-e003Coalescence-mBHI-p5_S28,13468,15053
H111-e003Coalescence-mGAM-p5_S92,13351,14893
G4-e003Coalescence-mBHI-p3_S35,13400,15108
H9-e003Coalescence-mGAM-p5_S90,13302,14742
H2-e003Coalescence-mBHI-p3_S45,13401,14917
E8-e003Coalescence-mBHI-p7_S101,13082,14755
E4-e003Coalescence-mBHI-p5_S3,13245,15048
H2-e003Coalescence-mGAM-p3_S93,13186,14624
E4-e003Coalescence-mGAM-p5_S51,13093,14984
G9-e003Coalescence-mGAM-p7_S174,13310,15074
F2-e003Coalescence-mBHI-p3_S21,12960,14702
E8-e003Coalescence-mGAM-p3_S153,13333,15100
G111-e003Coalescence-mGAM-p3_S180,13228,14887
G5-e003Coalescence-mGAM-p3_S84,13413,15015
H8-e003Coalescence-mBHI-p5_S41,13470,15052
E100-e003Coalescence-mBHI-p5_S7,13402,15082
G100-e003Coalescence-mGAM-p7_S175,13206,15071
F9-e003Coalescence-mGAM-p7_S162,13219,14639
E2-e003Coalescence-mBHI-p7_S97,11020,12594
F8-e003Coalescence-mGAM-p7_S161,13020,14357
F3-e003Coalescence-mBHI-p3_S22,13277,15081
G3-e003Coalescence-mBHI-p7_S122,13297,15085
G5-e003Coalescence-mGAM-p5_S76,13408,15012
G5-e003Coalescence-mGAM-p7_S172,13444,15043
G4-e003Coalescence-mGAM-p5_S75,13348,15073
G8-e003Coalescence-mBHI-p3_S129,13422,15110
E5-e003Coalescence-mGAM-p3_S60,13303,14778
G2-e003Coalescence-mGAM-p5_S73,13145,15031
E5-e003Coalescence-mGAM-p7_S148,13361,14897
H9-e003Coalescence-mGAM-p7_S186,13329,14846
E100-e003Coalescence-mGAM-p5_S55,13215,14994
E8-e003Coalescence-mGAM-p5_S53,13103,14783
H5-e003Coalescence-mGAM-p3_S96,13257,14634
G4-e003Coalescence-mGAM-p3_S83,13221,15060
F4-e003Coalescence-mBHI-p7_S111,13234,15064
H3-e003Coalescence-mGAM-p7_S182,13414,15022
H5-e003Coalescence-mGAM-p5_S88,13337,14816
F4-e003Coalescence-mGAM-p5_S63,13221,15022
G4-e003Coalescence-mGAM-p7_S171,13094,14961
H8-e003Coalescence-mGAM-p5_S89,13378,14897
F3-e003Coalescence-mBHI-p5_S14,13256,15069
F100-e003Coalescence-mBHI-p7_S115,13407,14926
E3-e003Coalescence-mGAM-p7_S146,13081,14972
F100-e003Coalescence-mGAM-p3_S167,12777,14541
G100-e003Coalescence-mBHI-p3_S131,12674,14329
G4-e003Coalescence-mBHI-p7_S123,13381,15097
E9-e003Coalescence-mGAM-p3_S154,13214,14711
F3-e003Coalescence-mGAM-p5_S62,13263,15053
H4-e003Coalescence-mBHI-p7_S135,13444,14992
E3-e003Coalescence-mBHI-p5_S2,13351,15037
G111-e003Coalescence-mBHI-p7_S128,13441,15004
H3-e003Coalescence-mBHI-p5_S38,13428,14981
G3-e003Coalescence-mGAM-p3_S82,13246,15054
F111-e003Coalescence-mGAM-p3_S168,13186,14638
F3-e003Coalescence-mGAM-p7_S158,12746,14625
F8-e003Coalescence-mBHI-p7_S113,13160,14689
G2-e003Coalescence-mBHI-p7_S121,10916,12764
H4-e003Coalescence-mBHI-p3_S47,13454,15079
F3-e003Coalescence-mBHI-p7_S110,13046,14921
F100-e003Coalescence-mGAM-p5_S67,11970,13588
G8-e003Coalescence-mBHI-p7_S125,13394,15090
F4-e003Coalescence-mBHI-p5_S15,13264,15075
