,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage
115,C4-e003Coalescence-mBHI-p5,e003,e003Coalescence,C4,AE-AE,False,mBHI,mBHI,5
116,C4-e003Coalescence-mBHI-p7,e003,e003Coalescence,C4,AE-AE,False,mBHI,mBHI,7
117,C4-e003Coalescence-mGAM-p3,e003,e003Coalescence,C4,AE-AE,False,mBHI,mGAM,3
118,C4-e003Coalescence-mGAM-p5,e003,e003Coalescence,C4,AE-AE,False,mBHI,mGAM,5
119,C4-e003Coalescence-mGAM-p7,e003,e003Coalescence,C4,AE-AE,False,mBHI,mGAM,7
120,C5-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C5,AE-AF,True,mGAM,mGAM,0
121,C5-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C5,AE-AF,True,mBHI,mBHI,0
122,C5-e003Coalescence-mBHI-p3,e003,e003Coalescence,C5,AE-AF,False,mBHI,mBHI,3
123,C5-e003Coalescence-mBHI-p5,e003,e003Coalescence,C5,AE-AF,False,mBHI,mBHI,5
124,C5-e003Coalescence-mBHI-p7,e003,e003Coalescence,C5,AE-AF,False,mBHI,mBHI,7
125,C5-e003Coalescence-mGAM-p3,e003,e003Coalescence,C5,AE-AF,False,mBHI,mGAM,3
126,C5-e003Coalescence-mGAM-p5,e003,e003Coalescence,C5,AE-AF,False,mBHI,mGAM,5
127,C5-e003Coalescence-mGAM-p7,e003,e003Coalescence,C5,AE-AF,False,mBHI,mGAM,7
128,C8-e003Coalescence-mBHI-p3,e003,e003Coalescence,C8,AE-AA,False,mGAM,mBHI,3
129,C8-e003Coalescence-mBHI-p5,e003,e003Coalescence,C8,AE-AA,False,mGAM,mBHI,5
130,C8-e003Coalescence-mBHI-p7,e003,e003Coalescence,C8,AE-AA,False,mGAM,mBHI,7
131,C8-e003Coalescence-mGAM-p3,e003,e003Coalescence,C8,AE-AA,False,mGAM,mGAM,3
132,C8-e003Coalescence-mGAM-p5,e003,e003Coalescence,C8,AE-AA,False,mGAM,mGAM,5
133,C8-e003Coalescence-mGAM-p7,e003,e003Coalescence,C8,AE-AA,False,mGAM,mGAM,7
134,C9-e003Coalescence-mBHI-p3,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mBHI,3
135,C9-e003Coalescence-mBHI-p5,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mBHI,5
