comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage
D3,D3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,D3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,4,A_D10_D3_ACPP_AF_mBHI_mBHI_4_S46,AC/PP-AF-mBHI-mBHI,False,1,D3-AC/PP-AF-mBHI-mBHI-4
D4,D4-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mBHI,D4-AE-AF-mBHI-mBHI,mBHI,AE-AF,4,A_D11_D4_AE_AF_mBHI_mBHI_4_S47,AE-AF-mBHI-mBHI,False,1,D4-AE-AF-mBHI-mBHI-4
D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,4,A_D12_D5_AF_AF_mBHI_mBHI_4_S48,AF-AF-mBHI-mBHI,False,1,D5-AF-AF-mBHI-mBHI-4
A2,A2-mGAM,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A2-AA-AA-mBHI-mGAM,mBHI,AA-AA,2,A_E1_A2_AA_AA_mBHI_mGAM_2_S49,AA-AA-mBHI-mGAM,False,1,A2-AA-AA-mBHI-mGAM-2
A3,A3-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A3-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,2,A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,AA-AC/PP-mBHI-mGAM,False,1,A3-AA-AC/PP-mBHI-mGAM-2
A4,A4-mGAM,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A4-AA-AE-mBHI-mGAM,mBHI,AA-AE,2,A_E3_A4_AE_AA_mBHI_mGAM_2_S51,AA-AE-mBHI-mGAM,False,1,A4-AA-AE-mBHI-mGAM-2
A5,A5-mGAM,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mGAM,A5-AA-AF-mBHI-mGAM,mBHI,AA-AF,2,A_E4_A5_AF_AA_mBHI_mGAM_2_S52,AA-AF-mBHI-mGAM,False,1,A5-AA-AF-mBHI-mGAM-2
A8,A8-mGAM,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mGAM,A8-AA-AA-mGAM-mGAM,mGAM,AA-AA,2,A_E5_A8_AA_AA_mGAM_mGAM_2_S53,AA-AA-mGAM-mGAM,False,1,A8-AA-AA-mGAM-mGAM-2
A11,A11-mGAM,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mGAM,A11-AA-AF-mGAM-mGAM,mGAM,AA-AF,2,A_E8_A11_AF_AA_mGAM_mGAM_2_S56,AA-AF-mGAM-mGAM,False,1,A11-AA-AF-mGAM-mGAM-2
A2,A2-mGAM,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A2-AA-AA-mBHI-mGAM,mBHI,AA-AA,4,A_E9_A2_AA_AA_mBHI_mGAM_4_S57,AA-AA-mBHI-mGAM,False,1,A2-AA-AA-mBHI-mGAM-4
