,sample 2,fixed diffs,sample 1
13,A4-e003Coalescence-mBHI-inoculumn-redo,2976,A2-e003Coalescence-Inoculumn-mGAM
14,A4-e003Coalescence-mBHI-p7,1914,A2-e003Coalescence-Inoculumn-mGAM
15,A5-e003Coalescence-Inoculumn-mBHI,1103,A2-e003Coalescence-Inoculumn-mGAM
16,A5-e003Coalescence-Inoculumn-mGAM,2933,A2-e003Coalescence-Inoculumn-mGAM
17,A5-e003Coalescence-mBHI-inoculumn-redo,3463,A2-e003Coalescence-Inoculumn-mGAM
18,A5-e003Coalescence-mBHI-p7,4472,A2-e003Coalescence-Inoculumn-mGAM
19,A8-e003Coalescence-mBHI-p7,6,A2-e003Coalescence-Inoculumn-mGAM
20,A9-e003Coalescence-mBHI-p7,3136,A2-e003Coalescence-Inoculumn-mGAM
21,A9-e003Coalescence-mGAM-p5,3891,A2-e003Coalescence-Inoculumn-mGAM
22,A9-e003Coalescence-mGAM-p7,4002,A2-e003Coalescence-Inoculumn-mGAM
23,B10-e003Coalescence-mGAM-p7,4889,A2-e003Coalescence-Inoculumn-mGAM
24,B11-e003Coalescence-mGAM-p7,9692,A2-e003Coalescence-Inoculumn-mGAM
25,B2-e003Coalescence-Inoculumn-mBHI,3131,A2-e003Coalescence-Inoculumn-mGAM
26,B2-e003Coalescence-Inoculumn-mGAM,273,A2-e003Coalescence-Inoculumn-mGAM
27,B2-e003Coalescence-mBHI-p5,2303,A2-e003Coalescence-Inoculumn-mGAM
28,B2-e003Coalescence-mGAM-p7,7600,A2-e003Coalescence-Inoculumn-mGAM
29,B3-e003Coalescence-Inoculumn-mBHI,7450,A2-e003Coalescence-Inoculumn-mGAM
30,B3-e003Coalescence-Inoculumn-mGAM,25007,A2-e003Coalescence-Inoculumn-mGAM
31,B3-e003Coalescence-mBHI-p7,6093,A2-e003Coalescence-Inoculumn-mGAM
32,B3-e003Coalescence-mGAM-p5,8715,A2-e003Coalescence-Inoculumn-mGAM
33,B4-e003Coalescence-Inoculumn-mBHI,8684,A2-e003Coalescence-Inoculumn-mGAM
34,B4-e003Coalescence-Inoculumn-mGAM,17928,A2-e003Coalescence-Inoculumn-mGAM
35,B4-e003Coalescence-mGAM-p5,12495,A2-e003Coalescence-Inoculumn-mGAM
36,B5-e003Coalescence-Inoculumn-mBHI,6320,A2-e003Coalescence-Inoculumn-mGAM
37,B5-e003Coalescence-Inoculumn-mGAM,46342,A2-e003Coalescence-Inoculumn-mGAM
38,B5-e003Coalescence-mGAM-p5,1376,A2-e003Coalescence-Inoculumn-mGAM
39,B5-e003Coalescence-mGAM-p7,2862,A2-e003Coalescence-Inoculumn-mGAM
40,B8-e003Coalescence-mGAM-p5,38895,A2-e003Coalescence-Inoculumn-mGAM
41,B9-e003Coalescence-mGAM-p5,8224,A2-e003Coalescence-Inoculumn-mGAM
42,C2-e003Coalescence-Inoculumn-mGAM,28,A2-e003Coalescence-Inoculumn-mGAM
43,C2-e003Coalescence-mBHI-inoculumn-redo,2184,A2-e003Coalescence-Inoculumn-mGAM
44,C2-e003Coalescence-mBHI-p7,6265,A2-e003Coalescence-Inoculumn-mGAM
45,C2-e003Coalescence-mGAM-p5,3568,A2-e003Coalescence-Inoculumn-mGAM
46,C2-e003Coalescence-mGAM-p7,6281,A2-e003Coalescence-Inoculumn-mGAM
47,C3-e003Coalescence-Inoculumn-mGAM,8252,A2-e003Coalescence-Inoculumn-mGAM
48,C3-e003Coalescence-mBHI-inoculumn-redo,8502,A2-e003Coalescence-Inoculumn-mGAM
49,C3-e003Coalescence-mBHI-p7,53710,A2-e003Coalescence-Inoculumn-mGAM
50,C3-e003Coalescence-mGAM-p5,6073,A2-e003Coalescence-Inoculumn-mGAM
51,C4-e003Coalescence-mGAM-p7,5426,A2-e003Coalescence-Inoculumn-mGAM
52,C5-e003Coalescence-Inoculumn-mGAM,54352,A2-e003Coalescence-Inoculumn-mGAM
53,C5-e003Coalescence-mBHI-inoculumn-redo,19301,A2-e003Coalescence-Inoculumn-mGAM
54,C5-e003Coalescence-mGAM-p7,3609,A2-e003Coalescence-Inoculumn-mGAM
55,C8-e003Coalescence-mBHI-p5,1969,A2-e003Coalescence-Inoculumn-mGAM
56,C8-e003Coalescence-mBHI-p7,1942,A2-e003Coalescence-Inoculumn-mGAM
57,C8-e003Coalescence-mGAM-p7,528,A2-e003Coalescence-Inoculumn-mGAM
58,C9-e003Coalescence-mGAM-p5,9254,A2-e003Coalescence-Inoculumn-mGAM
59,D10-e003Coalescence-mBHI-p7,9165,A2-e003Coalescence-Inoculumn-mGAM
60,D11-e003Coalescence-mBHI-p5,39440,A2-e003Coalescence-Inoculumn-mGAM
61,D11-e003Coalescence-mGAM-p5,32567,A2-e003Coalescence-Inoculumn-mGAM
62,D11-e003Coalescence-mGAM-p7,30794,A2-e003Coalescence-Inoculumn-mGAM
63,D2-e003Coalescence-Inoculumn-mBHI,1685,A2-e003Coalescence-Inoculumn-mGAM
64,D2-e003Coalescence-Inoculumn-mGAM,3688,A2-e003Coalescence-Inoculumn-mGAM
65,D2-e003Coalescence-mGAM-p5,2368,A2-e003Coalescence-Inoculumn-mGAM
66,D3-e003Coalescence-Inoculumn-mBHI,7054,A2-e003Coalescence-Inoculumn-mGAM
67,D3-e003Coalescence-Inoculumn-mGAM,61960,A2-e003Coalescence-Inoculumn-mGAM
68,D3-e003Coalescence-mGAM-p5,4527,A2-e003Coalescence-Inoculumn-mGAM
