,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage,mesocosm,single-subject,inoculumn,type_meso
51,B2-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,B2,AC/PP-AA,True,mGAM,mGAM,0,B2-AC/PP-AA-mGAM-mGAM,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mGAM
52,B2-e003Coalescence-mBHI-p3,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mBHI,3,B2-AC/PP-AA-mBHI-mBHI,False,AA-AC/PP-mBHI,AA-AC/PP-mBHI-mBHI
53,B2-e003Coalescence-mBHI-p5,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mBHI,5,B2-AC/PP-AA-mBHI-mBHI,False,AA-AC/PP-mBHI,AA-AC/PP-mBHI-mBHI
54,B2-e003Coalescence-mBHI-p7,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mBHI,7,B2-AC/PP-AA-mBHI-mBHI,False,AA-AC/PP-mBHI,AA-AC/PP-mBHI-mBHI
55,B2-e003Coalescence-mGAM-p3,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mGAM,3,B2-AC/PP-AA-mBHI-mGAM,False,AA-AC/PP-mBHI,AA-AC/PP-mBHI-mGAM
56,B2-e003Coalescence-mGAM-p7,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mGAM,7,B2-AC/PP-AA-mBHI-mGAM,False,AA-AC/PP-mBHI,AA-AC/PP-mBHI-mGAM
57,B3-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,B3,AC/PP-AC/PP,True,mBHI,mBHI,0,B3-AC/PP-AC/PP-mBHI-mBHI,True,AC/PP-AC/PP-mBHI,AC/PP-AC/PP-mBHI-mBHI
58,B3-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,B3,AC/PP-AC/PP,True,mGAM,mGAM,0,B3-AC/PP-AC/PP-mGAM-mGAM,True,AC/PP-AC/PP-mGAM,AC/PP-AC/PP-mGAM-mGAM
59,B3-e003Coalescence-mBHI-p3,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mBHI,3,B3-AC/PP-AC/PP-mBHI-mBHI,True,AC/PP-AC/PP-mBHI,AC/PP-AC/PP-mBHI-mBHI
60,B3-e003Coalescence-mBHI-p5,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mBHI,5,B3-AC/PP-AC/PP-mBHI-mBHI,True,AC/PP-AC/PP-mBHI,AC/PP-AC/PP-mBHI-mBHI
61,B3-e003Coalescence-mBHI-p7,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mBHI,7,B3-AC/PP-AC/PP-mBHI-mBHI,True,AC/PP-AC/PP-mBHI,AC/PP-AC/PP-mBHI-mBHI
62,B3-e003Coalescence-mGAM-p5,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mGAM,5,B3-AC/PP-AC/PP-mBHI-mGAM,True,AC/PP-AC/PP-mBHI,AC/PP-AC/PP-mBHI-mGAM
63,B4-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,B4,AC/PP-AE,True,mBHI,mBHI,0,B4-AC/PP-AE-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
64,B4-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,B4,AC/PP-AE,True,mGAM,mGAM,0,B4-AC/PP-AE-mGAM-mGAM,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mGAM
65,B4-e003Coalescence-mBHI-p3,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mBHI,3,B4-AC/PP-AE-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
66,B4-e003Coalescence-mBHI-p5,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mBHI,5,B4-AC/PP-AE-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
67,B4-e003Coalescence-mBHI-p7,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mBHI,7,B4-AC/PP-AE-mBHI-mBHI,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mBHI
68,B4-e003Coalescence-mGAM-p5,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mGAM,5,B4-AC/PP-AE-mBHI-mGAM,False,AC/PP-AE-mBHI,AC/PP-AE-mBHI-mGAM
69,B5-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,B5,AC/PP-AF,True,mBHI,mBHI,0,B5-AC/PP-AF-mBHI-mBHI,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mBHI
70,B5-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,B5,AC/PP-AF,True,mGAM,mGAM,0,B5-AC/PP-AF-mGAM-mGAM,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mGAM
71,B5-e003Coalescence-mBHI-p3,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mBHI,3,B5-AC/PP-AF-mBHI-mBHI,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mBHI
72,B5-e003Coalescence-mBHI-p5,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mBHI,5,B5-AC/PP-AF-mBHI-mBHI,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mBHI
73,B5-e003Coalescence-mBHI-p7,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mBHI,7,B5-AC/PP-AF-mBHI-mBHI,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mBHI
74,B5-e003Coalescence-mGAM-p3,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mGAM,3,B5-AC/PP-AF-mBHI-mGAM,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mGAM
75,B5-e003Coalescence-mGAM-p5,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mGAM,5,B5-AC/PP-AF-mBHI-mGAM,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mGAM
76,B5-e003Coalescence-mGAM-p7,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mGAM,7,B5-AC/PP-AF-mBHI-mGAM,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mGAM
77,B8-e003Coalescence-mBHI-p3,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mBHI,3,B8-AC/PP-AA-mGAM-mBHI,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mBHI
78,B8-e003Coalescence-mBHI-p5,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mBHI,5,B8-AC/PP-AA-mGAM-mBHI,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mBHI
79,B8-e003Coalescence-mBHI-p7,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mBHI,7,B8-AC/PP-AA-mGAM-mBHI,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mBHI
80,B8-e003Coalescence-mGAM-p3,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mGAM,3,B8-AC/PP-AA-mGAM-mGAM,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mGAM
81,B8-e003Coalescence-mGAM-p5,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mGAM,5,B8-AC/PP-AA-mGAM-mGAM,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mGAM
