species_id,sample,relative_abundance,experiment,sub_experiment,comm,media,passage,subject
101305,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100023,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104383,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100917,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100171,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104344,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102347,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102507,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101378,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102276,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101337,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102625,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102779,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101421,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101295,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102588,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102612,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103727,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100219,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101547,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100179,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101229,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100675,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103279,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101958,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103259,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100144,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100873,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101244,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100178,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102213,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102645,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100279,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104628,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100051,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103188,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103252,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100926,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103232,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101288,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102646,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103902,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100066,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100090,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101013,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101598,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100457,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100214,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102439,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102493,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101564,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100126,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101454,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100203,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100088,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102543,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103755,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102096,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104259,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104277,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101396,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103141,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101246,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101385,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104407,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103726,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101359,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101386,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103772,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101292,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103151,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100693,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104552,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102545,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100181,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102352,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102448,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101257,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100045,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100437,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101274,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100252,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101064,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100159,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100164,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102826,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101356,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101382,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100199,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102594,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100109,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101697,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102205,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100087,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101057,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102682,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100130,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101414,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100439,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100238,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100185,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102549,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102040,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101304,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101579,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103181,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103784,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103011,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104003,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100323,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104121,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101178,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102312,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103185,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102143,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100309,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101532,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100035,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102393,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100211,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102899,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100038,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102316,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102897,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101687,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102896,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102763,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104234,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101528,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100271,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102538,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100002,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101289,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101313,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100034,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100121,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100251,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102865,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104618,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103851,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102206,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100946,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103093,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102849,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101583,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104378,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100571,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103695,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103686,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100229,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100154,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103702,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100268,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102926,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101338,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100205,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102903,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103120,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102492,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100255,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103742,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102820,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103368,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102843,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100212,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100760,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101670,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101658,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104582,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102821,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100184,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100296,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104266,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103796,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103739,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100994,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102184,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
