,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn,sample2,sample_name2
36,A10-e003Coalescence-mBHI-p3,False,A10-e003Coalescence-mBHI-p3,True,A10,False,3,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM,A10-e003Coalescence-mBHI-p3,A10-e003Coalescence-mBHI-p3
37,A5-e003Coalescence-mGAM-p3,False,A5-e003Coalescence-mGAM-p3,True,A5,False,3,mGAM,mBHI,AA-AF,A5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI,A5-e003Coalescence-mGAM-p3,A5-e003Coalescence-mGAM-p3
38,D8-e003Coalescence-mGAM-p5,False,D8-e003Coalescence-mGAM-p5,True,D8,False,5,mGAM,mGAM,AA-AF,D8-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AF-AA-mGAM,D8-e003Coalescence-mGAM-p5,D8-e003Coalescence-mGAM-p5
39,C2-e003Coalescence-mBHI-p3,False,C2-e003Coalescence-mBHI-p3,True,C2,False,3,mBHI,mBHI,AA-AE,C2-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AE-AA-mBHI,C2-e003Coalescence-mBHI-p3,C2-e003Coalescence-mBHI-p3
40,D9-e003Coalescence-mGAM-p7,False,D9-e003Coalescence-mGAM-p7,True,D9,False,7,mGAM,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AF-AC/PP-mGAM,D9-e003Coalescence-mGAM-p7,D9-e003Coalescence-mGAM-p7
41,D4-e003Coalescence-mBHI-p7,False,D4-e003Coalescence-mBHI-p7,True,D4,False,7,mBHI,mBHI,AE-AF,D4-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AF-AE-mBHI,D4-e003Coalescence-mBHI-p7,D4-e003Coalescence-mBHI-p7
42,B10-e003Coalescence-mGAM-p3,False,B10-e003Coalescence-mGAM-p3,True,B10,False,3,mGAM,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM,B10-e003Coalescence-mGAM-p3,B10-e003Coalescence-mGAM-p3
43,A9-e003Coalescence-mGAM-p7,False,A9-e003Coalescence-mGAM-p7,True,A9,False,7,mGAM,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM,A9-e003Coalescence-mGAM-p7,A9-e003Coalescence-mGAM-p7
44,D10-e003Coalescence-mBHI-p5,False,D10-e003Coalescence-mBHI-p5,True,D10,False,5,mBHI,mGAM,AE-AF,D10-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AF-AE-mGAM,D10-e003Coalescence-mBHI-p5,D10-e003Coalescence-mBHI-p5
45,D5-e003Coalescence-mBHI-p3,False,D5-e003Coalescence-mBHI-p3,True,D5,False,3,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI,D5-e003Coalescence-mBHI-p3,D5-e003Coalescence-mBHI-p3
46,A5-e003Coalescence-mBHI-p5,False,A5-e003Coalescence-mBHI-p5,True,A5,False,5,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI,A5-e003Coalescence-mBHI-p5,A5-e003Coalescence-mBHI-p5
47,C5-e003Coalescence-mBHI-p3,False,C5-e003Coalescence-mBHI-p3,True,C5,False,3,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-p3,C5-e003Coalescence-mBHI-p3
48,D9-e003Coalescence-mGAM-p5,False,D9-e003Coalescence-mGAM-p5,True,D9,False,5,mGAM,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AF-AC/PP-mGAM,D9-e003Coalescence-mGAM-p5,D9-e003Coalescence-mGAM-p5
