,sample 2,fixed diffs,sample 1
8,A4-e003Coalescence-Inoculumn-mGAM,5461,A2-e003Coalescence-mBHI-inoculumn-redo
9,A5-e003Coalescence-Inoculumn-mGAM,6747,A2-e003Coalescence-mBHI-inoculumn-redo
10,A5-e003Coalescence-mBHI-inoculumn-redo,1168,A2-e003Coalescence-mBHI-inoculumn-redo
11,A5-e003Coalescence-mBHI-p7,3969,A2-e003Coalescence-mBHI-inoculumn-redo
12,A5-e003Coalescence-mGAM-p3,288,A2-e003Coalescence-mBHI-inoculumn-redo
13,A8-e003Coalescence-mBHI-p3,1673,A2-e003Coalescence-mBHI-inoculumn-redo
14,A8-e003Coalescence-mBHI-p7,3429,A2-e003Coalescence-mBHI-inoculumn-redo
15,B2-e003Coalescence-Inoculumn-mGAM,4779,A2-e003Coalescence-mBHI-inoculumn-redo
16,B2-e003Coalescence-mGAM-p7,7268,A2-e003Coalescence-mBHI-inoculumn-redo
17,B3-e003Coalescence-Inoculumn-mBHI,7035,A2-e003Coalescence-mBHI-inoculumn-redo
18,B3-e003Coalescence-mBHI-p3,6656,A2-e003Coalescence-mBHI-inoculumn-redo
19,B3-e003Coalescence-mGAM-p5,7841,A2-e003Coalescence-mBHI-inoculumn-redo
20,B4-e003Coalescence-Inoculumn-mBHI,7778,A2-e003Coalescence-mBHI-inoculumn-redo
21,B5-e003Coalescence-Inoculumn-mBHI,5672,A2-e003Coalescence-mBHI-inoculumn-redo
22,B5-e003Coalescence-Inoculumn-mGAM,41059,A2-e003Coalescence-mBHI-inoculumn-redo
23,B5-e003Coalescence-mGAM-p3,6023,A2-e003Coalescence-mBHI-inoculumn-redo
24,B8-e003Coalescence-mGAM-p5,34202,A2-e003Coalescence-mBHI-inoculumn-redo
25,C2-e003Coalescence-Inoculumn-mGAM,4672,A2-e003Coalescence-mBHI-inoculumn-redo
26,C2-e003Coalescence-mBHI-p7,3,A2-e003Coalescence-mBHI-inoculumn-redo
27,C2-e003Coalescence-mGAM-p5,12,A2-e003Coalescence-mBHI-inoculumn-redo
28,C2-e003Coalescence-mGAM-p7,12,A2-e003Coalescence-mBHI-inoculumn-redo
29,C3-e003Coalescence-mBHI-inoculumn-redo,7694,A2-e003Coalescence-mBHI-inoculumn-redo
30,C3-e003Coalescence-mBHI-p7,47292,A2-e003Coalescence-mBHI-inoculumn-redo
31,C3-e003Coalescence-mGAM-p3,53220,A2-e003Coalescence-mBHI-inoculumn-redo
32,C5-e003Coalescence-Inoculumn-mGAM,47834,A2-e003Coalescence-mBHI-inoculumn-redo
33,C5-e003Coalescence-mBHI-inoculumn-redo,16688,A2-e003Coalescence-mBHI-inoculumn-redo
34,C5-e003Coalescence-mGAM-p3,4555,A2-e003Coalescence-mBHI-inoculumn-redo
35,C5-e003Coalescence-mGAM-p7,3752,A2-e003Coalescence-mBHI-inoculumn-redo
36,C9-e003Coalescence-mBHI-p3,50,A2-e003Coalescence-mBHI-inoculumn-redo
37,D11-e003Coalescence-mBHI-p5,35000,A2-e003Coalescence-mBHI-inoculumn-redo
38,D2-e003Coalescence-Inoculumn-mGAM,7091,A2-e003Coalescence-mBHI-inoculumn-redo
39,D3-e003Coalescence-Inoculumn-mBHI,5837,A2-e003Coalescence-mBHI-inoculumn-redo
40,D3-e003Coalescence-Inoculumn-mGAM,54560,A2-e003Coalescence-mBHI-inoculumn-redo
41,D4-e003Coalescence-Inoculumn-mBHI,22702,A2-e003Coalescence-mBHI-inoculumn-redo
42,D4-e003Coalescence-mGAM-p3,4294,A2-e003Coalescence-mBHI-inoculumn-redo
43,D4-e003Coalescence-mGAM-p7,3918,A2-e003Coalescence-mBHI-inoculumn-redo
44,D5-e003Coalescence-Inoculumn-mBHI,11471,A2-e003Coalescence-mBHI-inoculumn-redo
45,D5-e003Coalescence-Inoculumn-mGAM,56052,A2-e003Coalescence-mBHI-inoculumn-redo
46,D5-e003Coalescence-mGAM-p3,4393,A2-e003Coalescence-mBHI-inoculumn-redo
47,D8-e003Coalescence-mGAM-p5,68,A2-e003Coalescence-mBHI-inoculumn-redo
0,A11-e003Coalescence-mBHI-p5,1828,A3-e003Coalescence-Inoculumn-mGAM
1,A11-e003Coalescence-mGAM-p7,189,A3-e003Coalescence-Inoculumn-mGAM
2,A2-e003Coalescence-Inoculumn-mBHI,2241,A3-e003Coalescence-Inoculumn-mGAM
3,A2-e003Coalescence-Inoculumn-mGAM,255,A3-e003Coalescence-Inoculumn-mGAM
4,A2-e003Coalescence-mBHI-inoculumn-redo,3007,A3-e003Coalescence-Inoculumn-mGAM
5,A2-e003Coalescence-mBHI-p5,2074,A3-e003Coalescence-Inoculumn-mGAM
6,A2-e003Coalescence-mGAM-p7,3186,A3-e003Coalescence-Inoculumn-mGAM
7,A3-e003Coalescence-Inoculumn-mGAM,0,A3-e003Coalescence-Inoculumn-mGAM
8,A4-e003Coalescence-Inoculumn-mGAM,273,A3-e003Coalescence-Inoculumn-mGAM
9,A5-e003Coalescence-Inoculumn-mGAM,791,A3-e003Coalescence-Inoculumn-mGAM
10,A5-e003Coalescence-mBHI-inoculumn-redo,1572,A3-e003Coalescence-Inoculumn-mGAM
11,A5-e003Coalescence-mBHI-p7,2344,A3-e003Coalescence-Inoculumn-mGAM
12,A5-e003Coalescence-mGAM-p3,2043,A3-e003Coalescence-Inoculumn-mGAM
13,A8-e003Coalescence-mBHI-p3,277,A3-e003Coalescence-Inoculumn-mGAM
14,A8-e003Coalescence-mBHI-p7,154,A3-e003Coalescence-Inoculumn-mGAM
15,B2-e003Coalescence-Inoculumn-mGAM,233,A3-e003Coalescence-Inoculumn-mGAM
16,B2-e003Coalescence-mGAM-p7,3980,A3-e003Coalescence-Inoculumn-mGAM
17,B3-e003Coalescence-Inoculumn-mBHI,3730,A3-e003Coalescence-Inoculumn-mGAM
18,B3-e003Coalescence-mBHI-p3,3815,A3-e003Coalescence-Inoculumn-mGAM
19,B3-e003Coalescence-mGAM-p5,4087,A3-e003Coalescence-Inoculumn-mGAM
20,B4-e003Coalescence-Inoculumn-mBHI,4083,A3-e003Coalescence-Inoculumn-mGAM
21,B5-e003Coalescence-Inoculumn-mBHI,2751,A3-e003Coalescence-Inoculumn-mGAM
22,B5-e003Coalescence-Inoculumn-mGAM,19213,A3-e003Coalescence-Inoculumn-mGAM
23,B5-e003Coalescence-mGAM-p3,3429,A3-e003Coalescence-Inoculumn-mGAM
24,B8-e003Coalescence-mGAM-p5,15807,A3-e003Coalescence-Inoculumn-mGAM
25,C2-e003Coalescence-Inoculumn-mGAM,224,A3-e003Coalescence-Inoculumn-mGAM
26,C2-e003Coalescence-mBHI-p7,3349,A3-e003Coalescence-Inoculumn-mGAM
27,C2-e003Coalescence-mGAM-p5,1905,A3-e003Coalescence-Inoculumn-mGAM
28,C2-e003Coalescence-mGAM-p7,3380,A3-e003Coalescence-Inoculumn-mGAM
29,C3-e003Coalescence-mBHI-inoculumn-redo,3967,A3-e003Coalescence-Inoculumn-mGAM
30,C3-e003Coalescence-mBHI-p7,21674,A3-e003Coalescence-Inoculumn-mGAM
31,C3-e003Coalescence-mGAM-p3,24552,A3-e003Coalescence-Inoculumn-mGAM
32,C5-e003Coalescence-Inoculumn-mGAM,22381,A3-e003Coalescence-Inoculumn-mGAM
33,C5-e003Coalescence-mBHI-inoculumn-redo,7735,A3-e003Coalescence-Inoculumn-mGAM
34,C5-e003Coalescence-mGAM-p3,2657,A3-e003Coalescence-Inoculumn-mGAM
35,C5-e003Coalescence-mGAM-p7,1927,A3-e003Coalescence-Inoculumn-mGAM
36,C9-e003Coalescence-mBHI-p3,3188,A3-e003Coalescence-Inoculumn-mGAM
37,D11-e003Coalescence-mBHI-p5,16528,A3-e003Coalescence-Inoculumn-mGAM
38,D2-e003Coalescence-Inoculumn-mGAM,1056,A3-e003Coalescence-Inoculumn-mGAM
39,D3-e003Coalescence-Inoculumn-mBHI,2728,A3-e003Coalescence-Inoculumn-mGAM
40,D3-e003Coalescence-Inoculumn-mGAM,25287,A3-e003Coalescence-Inoculumn-mGAM
41,D4-e003Coalescence-Inoculumn-mBHI,10247,A3-e003Coalescence-Inoculumn-mGAM
42,D4-e003Coalescence-mGAM-p3,2308,A3-e003Coalescence-Inoculumn-mGAM
43,D4-e003Coalescence-mGAM-p7,2029,A3-e003Coalescence-Inoculumn-mGAM
44,D5-e003Coalescence-Inoculumn-mBHI,5175,A3-e003Coalescence-Inoculumn-mGAM
45,D5-e003Coalescence-Inoculumn-mGAM,26297,A3-e003Coalescence-Inoculumn-mGAM
46,D5-e003Coalescence-mGAM-p3,2112,A3-e003Coalescence-Inoculumn-mGAM
47,D8-e003Coalescence-mGAM-p5,279,A3-e003Coalescence-Inoculumn-mGAM
0,A11-e003Coalescence-mBHI-p5,4631,A4-e003Coalescence-Inoculumn-mGAM
1,A11-e003Coalescence-mGAM-p7,0,A4-e003Coalescence-Inoculumn-mGAM
2,A2-e003Coalescence-Inoculumn-mBHI,3997,A4-e003Coalescence-Inoculumn-mGAM
3,A2-e003Coalescence-Inoculumn-mGAM,5,A4-e003Coalescence-Inoculumn-mGAM
4,A2-e003Coalescence-mBHI-inoculumn-redo,5450,A4-e003Coalescence-Inoculumn-mGAM
5,A2-e003Coalescence-mBHI-p5,3685,A4-e003Coalescence-Inoculumn-mGAM
6,A2-e003Coalescence-mGAM-p7,5787,A4-e003Coalescence-Inoculumn-mGAM
7,A3-e003Coalescence-Inoculumn-mGAM,273,A4-e003Coalescence-Inoculumn-mGAM
8,A4-e003Coalescence-Inoculumn-mGAM,0,A4-e003Coalescence-Inoculumn-mGAM
9,A5-e003Coalescence-Inoculumn-mGAM,3350,A4-e003Coalescence-Inoculumn-mGAM
10,A5-e003Coalescence-mBHI-inoculumn-redo,3453,A4-e003Coalescence-Inoculumn-mGAM
11,A5-e003Coalescence-mBHI-p7,4294,A4-e003Coalescence-Inoculumn-mGAM
12,A5-e003Coalescence-mGAM-p3,3571,A4-e003Coalescence-Inoculumn-mGAM
13,A8-e003Coalescence-mBHI-p3,206,A4-e003Coalescence-Inoculumn-mGAM
14,A8-e003Coalescence-mBHI-p7,7,A4-e003Coalescence-Inoculumn-mGAM
15,B2-e003Coalescence-Inoculumn-mGAM,272,A4-e003Coalescence-Inoculumn-mGAM
16,B2-e003Coalescence-mGAM-p7,7521,A4-e003Coalescence-Inoculumn-mGAM
17,B3-e003Coalescence-Inoculumn-mBHI,7326,A4-e003Coalescence-Inoculumn-mGAM
18,B3-e003Coalescence-mBHI-p3,6981,A4-e003Coalescence-Inoculumn-mGAM
19,B3-e003Coalescence-mGAM-p5,8549,A4-e003Coalescence-Inoculumn-mGAM
20,B4-e003Coalescence-Inoculumn-mBHI,8484,A4-e003Coalescence-Inoculumn-mGAM
21,B5-e003Coalescence-Inoculumn-mBHI,6341,A4-e003Coalescence-Inoculumn-mGAM
22,B5-e003Coalescence-Inoculumn-mGAM,46819,A4-e003Coalescence-Inoculumn-mGAM
23,B5-e003Coalescence-mGAM-p3,6379,A4-e003Coalescence-Inoculumn-mGAM
24,B8-e003Coalescence-mGAM-p5,39022,A4-e003Coalescence-Inoculumn-mGAM
25,C2-e003Coalescence-Inoculumn-mGAM,13,A4-e003Coalescence-Inoculumn-mGAM
26,C2-e003Coalescence-mBHI-p7,6095,A4-e003Coalescence-Inoculumn-mGAM
27,C2-e003Coalescence-mGAM-p5,3462,A4-e003Coalescence-Inoculumn-mGAM
28,C2-e003Coalescence-mGAM-p7,6117,A4-e003Coalescence-Inoculumn-mGAM
29,C3-e003Coalescence-mBHI-inoculumn-redo,8219,A4-e003Coalescence-Inoculumn-mGAM
30,C3-e003Coalescence-mBHI-p7,53942,A4-e003Coalescence-Inoculumn-mGAM
31,C3-e003Coalescence-mGAM-p3,60714,A4-e003Coalescence-Inoculumn-mGAM
32,C5-e003Coalescence-Inoculumn-mGAM,54458,A4-e003Coalescence-Inoculumn-mGAM
33,C5-e003Coalescence-mBHI-inoculumn-redo,19068,A4-e003Coalescence-Inoculumn-mGAM
34,C5-e003Coalescence-mGAM-p3,4764,A4-e003Coalescence-Inoculumn-mGAM
35,C5-e003Coalescence-mGAM-p7,3489,A4-e003Coalescence-Inoculumn-mGAM
36,C9-e003Coalescence-mBHI-p3,5851,A4-e003Coalescence-Inoculumn-mGAM
37,D11-e003Coalescence-mBHI-p5,39970,A4-e003Coalescence-Inoculumn-mGAM
38,D2-e003Coalescence-Inoculumn-mGAM,4057,A4-e003Coalescence-Inoculumn-mGAM
39,D3-e003Coalescence-Inoculumn-mBHI,7139,A4-e003Coalescence-Inoculumn-mGAM
40,D3-e003Coalescence-Inoculumn-mGAM,62709,A4-e003Coalescence-Inoculumn-mGAM
41,D4-e003Coalescence-Inoculumn-mBHI,26058,A4-e003Coalescence-Inoculumn-mGAM
42,D4-e003Coalescence-mGAM-p3,4434,A4-e003Coalescence-Inoculumn-mGAM
43,D4-e003Coalescence-mGAM-p7,3703,A4-e003Coalescence-Inoculumn-mGAM
44,D5-e003Coalescence-Inoculumn-mBHI,13783,A4-e003Coalescence-Inoculumn-mGAM
45,D5-e003Coalescence-Inoculumn-mGAM,64414,A4-e003Coalescence-Inoculumn-mGAM
46,D5-e003Coalescence-mGAM-p3,5036,A4-e003Coalescence-Inoculumn-mGAM
47,D8-e003Coalescence-mGAM-p5,88,A4-e003Coalescence-Inoculumn-mGAM
0,A11-e003Coalescence-mBHI-p5,1097,A5-e003Coalescence-Inoculumn-mGAM
1,A11-e003Coalescence-mGAM-p7,1551,A5-e003Coalescence-Inoculumn-mGAM
2,A2-e003Coalescence-Inoculumn-mBHI,4427,A5-e003Coalescence-Inoculumn-mGAM
3,A2-e003Coalescence-Inoculumn-mGAM,2919,A5-e003Coalescence-Inoculumn-mGAM
4,A2-e003Coalescence-mBHI-inoculumn-redo,6736,A5-e003Coalescence-Inoculumn-mGAM
5,A2-e003Coalescence-mBHI-p5,4071,A5-e003Coalescence-Inoculumn-mGAM
6,A2-e003Coalescence-mGAM-p7,7503,A5-e003Coalescence-Inoculumn-mGAM
7,A3-e003Coalescence-Inoculumn-mGAM,789,A5-e003Coalescence-Inoculumn-mGAM
8,A4-e003Coalescence-Inoculumn-mGAM,3340,A5-e003Coalescence-Inoculumn-mGAM
9,A5-e003Coalescence-Inoculumn-mGAM,0,A5-e003Coalescence-Inoculumn-mGAM
10,A5-e003Coalescence-mBHI-inoculumn-redo,1828,A5-e003Coalescence-Inoculumn-mGAM
11,A5-e003Coalescence-mBHI-p7,3741,A5-e003Coalescence-Inoculumn-mGAM
12,A5-e003Coalescence-mGAM-p3,5221,A5-e003Coalescence-Inoculumn-mGAM
13,A8-e003Coalescence-mBHI-p3,2114,A5-e003Coalescence-Inoculumn-mGAM
14,A8-e003Coalescence-mBHI-p7,1336,A5-e003Coalescence-Inoculumn-mGAM
15,B2-e003Coalescence-Inoculumn-mGAM,1955,A5-e003Coalescence-Inoculumn-mGAM
16,B2-e003Coalescence-mGAM-p7,6338,A5-e003Coalescence-Inoculumn-mGAM
17,B3-e003Coalescence-Inoculumn-mBHI,5618,A5-e003Coalescence-Inoculumn-mGAM
18,B3-e003Coalescence-mBHI-p3,6356,A5-e003Coalescence-Inoculumn-mGAM
19,B3-e003Coalescence-mGAM-p5,6154,A5-e003Coalescence-Inoculumn-mGAM
20,B4-e003Coalescence-Inoculumn-mBHI,6186,A5-e003Coalescence-Inoculumn-mGAM
21,B5-e003Coalescence-Inoculumn-mBHI,1919,A5-e003Coalescence-Inoculumn-mGAM
22,B5-e003Coalescence-Inoculumn-mGAM,5167,A5-e003Coalescence-Inoculumn-mGAM
23,B5-e003Coalescence-mGAM-p3,5865,A5-e003Coalescence-Inoculumn-mGAM
24,B8-e003Coalescence-mGAM-p5,8217,A5-e003Coalescence-Inoculumn-mGAM
25,C2-e003Coalescence-Inoculumn-mGAM,2468,A5-e003Coalescence-Inoculumn-mGAM
26,C2-e003Coalescence-mBHI-p7,8313,A5-e003Coalescence-Inoculumn-mGAM
27,C2-e003Coalescence-mGAM-p5,3784,A5-e003Coalescence-Inoculumn-mGAM
28,C2-e003Coalescence-mGAM-p7,7940,A5-e003Coalescence-Inoculumn-mGAM
29,C3-e003Coalescence-mBHI-inoculumn-redo,6221,A5-e003Coalescence-Inoculumn-mGAM
30,C3-e003Coalescence-mBHI-p7,11489,A5-e003Coalescence-Inoculumn-mGAM
31,C3-e003Coalescence-mGAM-p3,13603,A5-e003Coalescence-Inoculumn-mGAM
32,C5-e003Coalescence-Inoculumn-mGAM,6092,A5-e003Coalescence-Inoculumn-mGAM
33,C5-e003Coalescence-mBHI-inoculumn-redo,2189,A5-e003Coalescence-Inoculumn-mGAM
34,C5-e003Coalescence-mGAM-p3,5106,A5-e003Coalescence-Inoculumn-mGAM
35,C5-e003Coalescence-mGAM-p7,4233,A5-e003Coalescence-Inoculumn-mGAM
36,C9-e003Coalescence-mBHI-p3,7625,A5-e003Coalescence-Inoculumn-mGAM
37,D11-e003Coalescence-mBHI-p5,4197,A5-e003Coalescence-Inoculumn-mGAM
38,D2-e003Coalescence-Inoculumn-mGAM,577,A5-e003Coalescence-Inoculumn-mGAM
39,D3-e003Coalescence-Inoculumn-mBHI,1857,A5-e003Coalescence-Inoculumn-mGAM
40,D3-e003Coalescence-Inoculumn-mGAM,7220,A5-e003Coalescence-Inoculumn-mGAM
41,D4-e003Coalescence-Inoculumn-mBHI,3117,A5-e003Coalescence-Inoculumn-mGAM
42,D4-e003Coalescence-mGAM-p3,4280,A5-e003Coalescence-Inoculumn-mGAM
43,D4-e003Coalescence-mGAM-p7,4514,A5-e003Coalescence-Inoculumn-mGAM
