,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts
44,D10,D10-mBHI,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mBHI,D10-AE-AF-mGAM-mBHI,mGAM,AE-AF,5,D10-e003Coalescence-mBHI-p5,AE-AF-mGAM-mBHI,False,1
45,D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,3,D5-e003Coalescence-mBHI-p3,AF-AF-mBHI-mBHI,False,1
46,A5,A5-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mBHI,A5-AA-AF-mBHI-mBHI,mBHI,AA-AF,5,A5-e003Coalescence-mBHI-p5,AA-AF-mBHI-mBHI,False,1
47,C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,3,C5-e003Coalescence-mBHI-p3,AE-AF-mBHI-mBHI,False,1
48,D9,D9-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mGAM,D9-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,5,D9-e003Coalescence-mGAM-p5,AC/PP-AF-mGAM-mGAM,False,1
49,C9,C9-mBHI,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mBHI,C9-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,3,C9-e003Coalescence-mBHI-p3,AC/PP-AE-mGAM-mBHI,False,1
50,D10,D10-mGAM,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mGAM,D10-AE-AF-mGAM-mGAM,mGAM,AE-AF,5,D10-e003Coalescence-mGAM-p5,AE-AF-mGAM-mGAM,False,1
51,C8,C8-mBHI,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mBHI,C8-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,C8-e003Coalescence-mBHI-p7,AA-AE-mGAM-mBHI,False,1
52,C4,C4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C4-AE-AE-mBHI-mBHI,mBHI,AE-AE,3,C4-e003Coalescence-mBHI-p3,AE-AE-mBHI-mBHI,False,1
53,B4,B4-mGAM,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,False,mGAM,B4-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,5,B4-e003Coalescence-mGAM-p5,AC/PP-AE-mBHI-mGAM,False,1
54,D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,5,D4-e003Coalescence-mGAM-p5,AE-AF-mBHI-mGAM,False,1
55,B5,B5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,B5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,5,B5-e003Coalescence-mGAM-p5,AC/PP-AF-mBHI-mGAM,False,1
56,C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,3,C2-e003Coalescence-mGAM-p3,AA-AE-mBHI-mGAM,False,1
57,B5,B5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,B5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,7,B5-e003Coalescence-mGAM-p7,AC/PP-AF-mBHI-mGAM,False,1
58,D8,D8-mBHI,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mBHI,D8-AA-AF-mGAM-mBHI,mGAM,AA-AF,5,D8-e003Coalescence-mBHI-p5,AA-AF-mGAM-mBHI,False,1
59,C4,C4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C4-AE-AE-mBHI-mBHI,mBHI,AE-AE,7,C4-e003Coalescence-mBHI-p7,AE-AE-mBHI-mBHI,False,1
60,B10,B10-mBHI,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,False,mBHI,B10-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,5,B10-e003Coalescence-mBHI-p5,AC/PP-AE-mGAM-mBHI,False,1
