sample_name	midas_outdir
G3-e004Assembly-epsilon-p5	workflow/out/midas2_output/
BC-Fecal	workflow/out/midas2_output/
e004-inoculumn-fecal-BE	workflow/out/midas2_output/
BA-Fecal	workflow/out/midas2_output/
e003-inoculumn-fecal-AF	workflow/out/midas2_output/
A11-e003Coalescence-mBHI-p3	workflow/out/midas2_output/
B2-e004Assembly-mBHI-p5	workflow/out/midas2_output/
B4-e004Assembly-mBHI-p7	workflow/out/midas2_output/
B2-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
A4-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output/
B4-e003Coalescence-mBHI-p3	workflow/out/midas2_output/
A5-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output/
C2-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
A9-e003Coalescence-mGAM-p5	workflow/out/midas2_output/
C10-e003Coalescence-mGAM-p7	workflow/out/midas2_output/
F3-e004Assembly-epsilon-p7	workflow/out/midas2_output/
A11-e003Coalescence-mGAM-p3	workflow/out/midas2_output/
C10-e003Coalescence-mBHI-p3	workflow/out/midas2_output/
D2-e003Coalescence-mBHI-p3	workflow/out/midas2_output/
C5-e003GlycerolRevival-mBHI-p2	workflow/out/midas2_output/
H5-e003Coalescence-mBHI-p5_S40	workflow/out/midas2_output/
E2-e003Coalescence-mGAM-p7_S145	workflow/out/midas2_output/
G5-e003Coalescence-mBHI-p7_S124	workflow/out/midas2_output/
H111-e003Coalescence-mGAM-p7_S188	workflow/out/midas2_output/
H4-e003Coalescence-mGAM-p7_S183	workflow/out/midas2_output/
F5-e003Coalescence-mGAM-p5_S64	workflow/out/midas2_output/
F5-e003Coalescence-mGAM-p7_S160	workflow/out/midas2_output/
F8-e003Coalescence-mBHI-p3_S117	workflow/out/midas2_output/
H3-e003Coalescence-mBHI-p3_S46	workflow/out/midas2_output/
H2-e003Coalescence-mBHI-p7_S133	workflow/out/midas2_output/
E3-e003Coalescence-mBHI-p7_S98	workflow/out/midas2_output/
E5-e003Coalescence-mBHI-p3_S12	workflow/out/midas2_output/
F100-e003Coalescence-mGAM-p7_S163	workflow/out/midas2_output/
E111-e003Coalescence-mGAM-p7_S152	workflow/out/midas2_output/
F9-e003Coalescence-mBHI-p5_S18	workflow/out/midas2_output/
H3-e003Coalescence-mBHI-p7_S134	workflow/out/midas2_output/
E3-e003Coalescence-mGAM-p3_S58	workflow/out/midas2_output/
H8-e003Coalescence-mBHI-p3_S141	workflow/out/midas2_output/
G4-e003Coalescence-mBHI-p5_S27	workflow/out/midas2_output/
