,Unnamed: 0,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage,replicate
21,21,D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,2,A_D4_D5_AF_AF_mBHI_mBHI_2_S40,AF-AF-mBHI-mBHI,False,1,D5-AF-AF-mBHI-mBHI2,0.0
22,22,D8,D8-mBHI,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mBHI,D8-AA-AF-mGAM-mBHI,mGAM,AA-AF,2,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,AA-AF-mGAM-mBHI,False,1,D8-AA-AF-mGAM-mBHI2,1.0
23,23,D11,D11-mBHI,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mBHI,D11-AF-AF-mGAM-mBHI,mGAM,AF-AF,2,A_D8_D11_AF_AF_mGAM_mBHI_2_S44,AF-AF-mGAM-mBHI,False,1,D11-AF-AF-mGAM-mBHI2,0.0
24,24,D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,4,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,AA-AF-mBHI-mBHI,False,1,D2-AA-AF-mBHI-mBHI4,1.0
25,25,D4,D4-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mBHI,D4-AE-AF-mBHI-mBHI,mBHI,AE-AF,4,A_D11_D4_AE_AF_mBHI_mBHI_4_S47,AE-AF-mBHI-mBHI,False,1,D4-AE-AF-mBHI-mBHI4,1.0
26,26,D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,4,A_D12_D5_AF_AF_mBHI_mBHI_4_S48,AF-AF-mBHI-mBHI,False,1,D5-AF-AF-mBHI-mBHI4,0.0
27,27,A2,A2-mGAM,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A2-AA-AA-mBHI-mGAM,mBHI,AA-AA,2,A_E1_A2_AA_AA_mBHI_mGAM_2_S49,AA-AA-mBHI-mGAM,False,1,A2-AA-AA-mBHI-mGAM2,0.0
28,28,A3,A3-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A3-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,2,A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,AA-AC/PP-mBHI-mGAM,False,1,A3-AA-AC/PP-mBHI-mGAM2,0.0
29,29,A4,A4-mGAM,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A4-AA-AE-mBHI-mGAM,mBHI,AA-AE,2,A_E3_A4_AE_AA_mBHI_mGAM_2_S51,AA-AE-mBHI-mGAM,False,1,A4-AA-AE-mBHI-mGAM2,0.0
30,30,A5,A5-mGAM,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mGAM,A5-AA-AF-mBHI-mGAM,mBHI,AA-AF,2,A_E4_A5_AF_AA_mBHI_mGAM_2_S52,AA-AF-mBHI-mGAM,False,1,A5-AA-AF-mBHI-mGAM2,0.0
31,31,A8,A8-mGAM,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mGAM,A8-AA-AA-mGAM-mGAM,mGAM,AA-AA,2,A_E5_A8_AA_AA_mGAM_mGAM_2_S53,AA-AA-mGAM-mGAM,False,1,A8-AA-AA-mGAM-mGAM2,0.0
32,32,A11,A11-mGAM,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mGAM,A11-AA-AF-mGAM-mGAM,mGAM,AA-AF,2,A_E8_A11_AF_AA_mGAM_mGAM_2_S56,AA-AF-mGAM-mGAM,False,1,A11-AA-AF-mGAM-mGAM2,0.0
33,33,A2,A2-mGAM,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A2-AA-AA-mBHI-mGAM,mBHI,AA-AA,4,A_E9_A2_AA_AA_mBHI_mGAM_4_S57,AA-AA-mBHI-mGAM,False,1,A2-AA-AA-mBHI-mGAM4,0.0
34,34,A3,A3-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A3-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,4,A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,AA-AC/PP-mBHI-mGAM,False,1,A3-AA-AC/PP-mBHI-mGAM4,0.0
35,35,A4,A4-mGAM,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A4-AA-AE-mBHI-mGAM,mBHI,AA-AE,4,A_E11_A4_AE_AA_mBHI_mGAM_4_S59,AA-AE-mBHI-mGAM,False,1,A4-AA-AE-mBHI-mGAM4,0.0
36,36,A5,A5-mGAM,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mGAM,A5-AA-AF-mBHI-mGAM,mBHI,AA-AF,4,A_E12_A5_AF_AA_mBHI_mGAM_4_S60,AA-AF-mBHI-mGAM,False,1,A5-AA-AF-mBHI-mGAM4,0.0
37,37,C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,2,A_G1_C2_AA_AE_mBHI_mGAM_2_S73,AA-AE-mBHI-mGAM,False,1,C2-AA-AE-mBHI-mGAM2,1.0
38,38,C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,2,A_G2_C3_ACPP_AE_mBHI_mGAM_2_S74,AC/PP-AE-mBHI-mGAM,False,1,C3-AC/PP-AE-mBHI-mGAM2,0.0
39,39,C4,C4-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C4-AE-AE-mBHI-mGAM,mBHI,AE-AE,2,A_G3_C4_AE_AE_mBHI_mGAM_2_S75,AE-AE-mBHI-mGAM,False,1,C4-AE-AE-mBHI-mGAM2,0.0
40,40,C5,C5-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C5-AE-AF-mBHI-mGAM,mBHI,AE-AF,2,A_G4_C5_AF_AE_mBHI_mGAM_2_S76,AE-AF-mBHI-mGAM,False,1,C5-AE-AF-mBHI-mGAM2,0.0
