,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
B10-e003Coalescence-mBHI-p3,1936,2283
C11-e003Coalescence-mBHI-p5,1959,2326
A2-e003Coalescence-mGAM-p7,1902,2316
C5-e003Assembly-mBHI-p3,1555,1883
E3-e004Assembly-mGAM-p5,1907,2256
C3-e003GlycerolRevival-mBHI-p2,1946,2299
D10-e003Coalescence-mGAM-p3,1854,2205
B10-e003Coalescence-mGAM-p7,1905,2282
C4-e004Assembly-mBHI-p3,1246,1527
A9-e003Coalescence-mBHI-p7,1949,2318
C2-e003Coalescence-Inoculumn-mGAM,1935,2317
B3-e003Coalescence-Inoculumn-mGAM,1918,2285
D11-e003Coalescence-mGAM-p7,1790,2138
D5-e003Coalescence-mGAM-p3,1931,2265
E4-e004Assembly-mGAM-p5,1768,2085
D2-e003Coalescence-Inoculumn-mBHI,1840,2198
B4-e003Coalescence-Inoculumn-mGAM,1970,2323
A10-e003Coalescence-mGAM-p7,1858,2261
B2-e003Assembly-mBHI-p3,1816,2260
F4-e004Assembly-epsilon-p7,1885,2238
D9-e003Coalescence-mBHI-p5,1921,2262
C4-e003Coalescence-Inoculumn-mGAM,1940,2311
D4-e003Coalescence-mGAM-p3,1825,2186
B9-e003Coalescence-mBHI-p7,1930,2280
A2-e003Coalescence-mGAM-p5,1922,2317
D11-e003Assembly-mGAM-p5,1769,2128
C3-e003Coalescence-mGAM-p7,1971,2334
B11-e003GlycerolRevival-mGAM-p2,1775,2134
B3-e003Coalescence-mGAM-p5,1932,2291
D9-e003Coalescence-mBHI-p7,1925,2272
B10-e003Assembly-mGAM-p3,1840,2110
D3-e004Assembly-mGAM-p5,1918,2254
C5-e003Coalescence-mBHI-p7,1957,2326
D12-e003Coalescence-mBHI-p3,1646,2008
D4-e004Assembly-mGAM-p7,1871,2202
C11-e003Coalescence-mGAM-p7,1844,2218
C11-e003Assembly-mGAM-p3,1839,2183
D10-e003Coalescence-mBHI-p7,1947,2292
C9-e003Coalescence-mBHI-p7,1851,2171
A2-e003Coalescence-mBHI-p3,723,816
B8-e003Coalescence-mGAM-p5,1967,2329
C3-e004Assembly-mBHI-p3,1911,2250
C11-e003Assembly-mGAM-p5,1892,2241
B10-e003GlycerolRevival-mGAM-p2,1557,1927
B3-e003Coalescence-mBHI-p5,1925,2288
C2-e003Coalescence-mBHI-inoculumn-redo,1973,2332
A8-e003Coalescence-mGAM-p7,1889,2311
C11-e003GlycerolRevival-mGAM-p2,1872,2179
B2-e003Coalescence-Inoculumn-mBHI,1940,2285
A11-e003Coalescence-mBHI-p5,1888,2285
C10-e003Coalescence-mGAM-p5,1971,2333
C4-e003Assembly-mBHI-p5,1963,2312
C9-e003Assembly-mGAM-p5,1011,1232
A5-e003Coalescence-Inoculumn-mGAM,1969,2335
A3-e003Coalescence-mBHI-p3,800,973
AG-Fecal,1936,2282
D4-e003Coalescence-Inoculumn-mGAM,1794,2135
A2-e003Coalescence-mBHI-p5,1340,1620
B5-e004Assembly-mBHI-p5,1403,1704
C5-e003Assembly-mBHI-p5,895,1113
C10-e003Coalescence-mBHI-p5,1922,2250
B9-e003Coalescence-mBHI-p3,1942,2291
C3-e003Coalescence-mBHI-inoculumn-redo,1973,2333
e004-inoculumn-fecal-AR,1883,2235
B5-e003Coalescence-mGAM-p3,1938,2279
BK-Fecal,1892,2252
C3-e003Assembly-mBHI-p5,1935,2285
A5-e003Coalescence-mBHI-p3,968,1201
C4-e004Assembly-mBHI-p7,1253,1417
C9-e003GlycerolRevival-mGAM-p2,1921,2273
F3-e004Assembly-epsilon-p5,1871,2180
C9-e003Coalescence-mGAM-p5,1952,2323
A2-e003Coalescence-mBHI-inoculumn-redo,1975,2335
C2-e003Coalescence-mGAM-p5,1974,2334
B8-e003GlycerolRevival-mGAM-p2,1912,2310
C8-e003Coalescence-mBHI-p5,1959,2326
B8-e003Coalescence-mGAM-p7,1959,2318
B4-e003Coalescence-Inoculumn-mBHI,1974,2329
D2-e003Coalescence-Inoculumn-mGAM,1971,2331
B8-e003Coalescence-mBHI-p7,1889,2254
B3-e004Assembly-mBHI-p3,1919,2255
e003-inoculumn-fecal-AE,1197,1454
D3-e003Coalescence-Inoculumn-mGAM,1931,2285
B11-e003Coalescence-mBHI-p3,1923,2293
C5-e003Coalescence-Inoculumn-mGAM,1934,2280
C4-e003Coalescence-mBHI-p5,1975,2331
G3-e004Assembly-epsilon-p5,1873,2214
BC-Fecal,1924,2300
e004-inoculumn-fecal-BE,1927,2299
BA-Fecal,1909,2291
e003-inoculumn-fecal-AF,1608,1950
A11-e003Coalescence-mBHI-p3,1967,2333
A4-e003Coalescence-Inoculumn-mGAM,1950,2325
B4-e003Coalescence-mBHI-p3,1972,2331
A5-e003Coalescence-Inoculumn-mBHI,1496,1794
A9-e003Coalescence-mGAM-p5,1965,2330
C10-e003Coalescence-mGAM-p7,1975,2334
F3-e004Assembly-epsilon-p7,1533,1820
A11-e003Coalescence-mGAM-p3,1891,2251
C10-e003Coalescence-mBHI-p3,1959,2304
D2-e003Coalescence-mBHI-p3,1873,2225
C5-e003GlycerolRevival-mBHI-p2,1380,1709
H5-e003Coalescence-mBHI-p5_S40,1851,2214
E2-e003Coalescence-mGAM-p7_S145,1867,2311
G5-e003Coalescence-mBHI-p7_S124,1938,2279
H111-e003Coalescence-mGAM-p7_S188,1766,2135
H4-e003Coalescence-mGAM-p7_S183,1743,2125
F5-e003Coalescence-mGAM-p5_S64,1890,2252
F5-e003Coalescence-mGAM-p7_S160,1908,2264
F8-e003Coalescence-mBHI-p3_S117,1912,2301
H3-e003Coalescence-mBHI-p3_S46,1973,2335
H2-e003Coalescence-mBHI-p7_S133,1888,2265
E5-e003Coalescence-mBHI-p3_S12,1849,2215
F100-e003Coalescence-mGAM-p7_S163,1927,2283
F9-e003Coalescence-mBHI-p5_S18,1910,2272
H3-e003Coalescence-mBHI-p7_S134,1932,2302
E3-e003Coalescence-mGAM-p3_S58,1847,2196
G4-e003Coalescence-mBHI-p5_S27,1975,2334
E8-e003Coalescence-mBHI-p5_S5,1879,2303
G2-e003Coalescence-mBHI-p3_S33,690,852
E9-e003Coalescence-mBHI-p5_S6,1911,2278
H111-e003Coalescence-mBHI-p3_S144,1756,2131
G111-e003Coalescence-mGAM-p5_S80,1779,2166
G100-e003Coalescence-mGAM-p3_S179,1729,2032
F111-e003Coalescence-mGAM-p5_S68,1846,2177
G111-e003Coalescence-mBHI-p5_S32,1969,2321
G5-e003Coalescence-mBHI-p3_S36,1818,2193
H2-e003Coalescence-mGAM-p7_S181,1888,2236
H9-e003Coalescence-mGAM-p3_S190,1817,2189
E3-e003Coalescence-mBHI-p3_S10,1632,1892
H2-e003Coalescence-mGAM-p5_S85,1736,2070
G8-e003Coalescence-mGAM-p3_S177,1963,2322
F2-e003Coalescence-mGAM-p7_S157,1914,2282
H3-e003Coalescence-mGAM-p3_S94,1877,2252
H4-e003Coalescence-mGAM-p3_S95,1758,2143
E5-e003Coalescence-mBHI-p7_S100,1841,2199
F3-e003Coalescence-mGAM-p3_S70,1906,2249
E100-e003Coalescence-mBHI-p7_S103,1901,2291
F9-e003Coalescence-mGAM-p5_S66,1916,2273
G111-e003Coalescence-mGAM-p7_S176,1326,1611
H100-e003Coalescence-mGAM-p7_S187,1864,2214
E100-e003Coalescence-mGAM-p3_S155,1955,2316
E3-e003Coalescence-mGAM-p5_S50,1907,2275
F5-e003Coalescence-mGAM-p3_S72,1882,2242
E9-e003Coalescence-mBHI-p7_S102,1923,2302
E5-e003Coalescence-mBHI-p5_S4,1801,2160
F111-e003Coalescence-mGAM-p7_S164,1781,2103
E111-e003Coalescence-mBHI-p5_S8,1859,2298
H100-e003Coalescence-mBHI-p5_S43,1971,2325
F2-e003Coalescence-mGAM-p5_S61,1924,2290
F5-e003Coalescence-mBHI-p5_S16,1953,2310
F8-e003Coalescence-mGAM-p5_S65,1943,2327
H8-e003Coalescence-mBHI-p7_S137,1940,2327
G9-e003Coalescence-mGAM-p5_S78,1957,2309
E2-e003Coalescence-mBHI-p5_S1,959,1258
E2-e003Coalescence-mBHI-p3_S9,962,1090
G8-e003Coalescence-mGAM-p5_S77,1891,2307
G3-e003Coalescence-mBHI-p3_S34,1975,2329
G100-e003Coalescence-mBHI-p5_S31,1917,2262
F9-e003Coalescence-mBHI-p3_S118,1303,1562
E111-e003Coalescence-mBHI-p3_S108,1848,2264
