,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
B4-e003Coalescence-Inoculumn-mBHI,0.21537131882202304,0.6712797444089457
D2-e003Coalescence-Inoculumn-mGAM,0.6838915919760991,0.2906534185303515
B8-e003Coalescence-mBHI-p7,0.1404332052923602,0.8443888817891375
B3-e004Assembly-mBHI-p3,0.4447503201024329,0.3001105431309904
e003-inoculumn-fecal-AE,0.283397353819889,0.1938264536741214
D3-e003Coalescence-Inoculumn-mGAM,0.29685147247119076,0.5332526517571885
B11-e003Coalescence-mBHI-p3,0.00509731113956466,0.986801661341853
C5-e003Coalescence-Inoculumn-mGAM,0.416580879214682,0.3703327795527157
C4-e003Coalescence-mBHI-p5,0.48360307298335464,0.3090769329073482
G3-e004Assembly-epsilon-p5,0.4282518139137857,0.29182696485623005
BC-Fecal,0.3413384549722578,0.23327859424920128
e004-inoculumn-fecal-BE,0.30036064874093044,0.21486261980830673
BA-Fecal,0.4275403329065301,0.3613947603833865
e003-inoculumn-fecal-AF,0.32281391378574475,0.3335895207667731
A11-e003Coalescence-mBHI-p3,0.728007255655143,0.2743115654952077
A4-e003Coalescence-Inoculumn-mGAM,0.8495795988049509,0.22725699680511183
B4-e003Coalescence-mBHI-p3,0.49389201877934275,0.32910734824281157
A5-e003Coalescence-Inoculumn-mBHI,0.40411054204011954,0.25779987220447287
A9-e003Coalescence-mGAM-p5,0.36546692274861287,0.65346607028754
C10-e003Coalescence-mGAM-p7,0.4939398207426376,0.31217993610223643
F3-e004Assembly-epsilon-p7,0.3451920614596671,0.23771003194888177
A11-e003Coalescence-mGAM-p3,0.45255655142979095,0.36545507987220444
C10-e003Coalescence-mBHI-p3,0.48822620571916336,0.3058976357827476
D2-e003Coalescence-mBHI-p3,0.4293226632522407,0.3568364217252396
C5-e003GlycerolRevival-mBHI-p2,0.29983354673495516,0.277943642172524
H5-e003Coalescence-mBHI-p5_S40,0.37880281690140843,0.36762351437699686
E2-e003Coalescence-mGAM-p7_S145,0.8766346564233888,0.21309507987220447
G5-e003Coalescence-mBHI-p7_S124,0.3946786171574904,0.38247246006389773
H111-e003Coalescence-mGAM-p7_S188,0.3634933845497226,0.3668088178913738
H4-e003Coalescence-mGAM-p7_S183,0.36371276141698683,0.3641969329073482
F5-e003Coalescence-mGAM-p5_S64,0.38161459667093467,0.3789484984025559
F5-e003Coalescence-mGAM-p7_S160,0.386588134869825,0.38322428115015966
F8-e003Coalescence-mBHI-p3_S117,0.25532778489116514,0.7353727795527156
H3-e003Coalescence-mBHI-p3_S46,0.2533956466069142,0.5915486261980831
H2-e003Coalescence-mBHI-p7_S133,0.4859611609048229,0.3308483067092652
E5-e003Coalescence-mBHI-p3_S12,0.42239906103286384,0.34413405750798726
F100-e003Coalescence-mGAM-p7_S163,0.08222962014511309,0.8584139297124601
F9-e003Coalescence-mBHI-p5_S18,0.000528809218950064,0.9914573801916934
H3-e003Coalescence-mBHI-p7_S134,0.17295177123346137,0.6867506709265176
E3-e003Coalescence-mGAM-p3_S58,0.009304737516005121,0.9608899680511181
G4-e003Coalescence-mBHI-p5_S27,0.4741425522833973,0.3057961661341853
E8-e003Coalescence-mBHI-p5_S5,0.8906376440460948,0.2038307987220447
G2-e003Coalescence-mBHI-p3_S33,0.19808365343576612,0.10682939297124601
E9-e003Coalescence-mBHI-p5_S6,0.1160712761416987,0.8671688178913738
H111-e003Coalescence-mBHI-p3_S144,0.36252069995731967,0.3648355271565495
G111-e003Coalescence-mGAM-p5_S80,0.3687605633802816,0.3656163578274761
G100-e003Coalescence-mGAM-p3_S179,0.4049265898420828,0.2552976357827476
F111-e003Coalescence-mGAM-p5_S68,0.3750614596670935,0.3663916932907348
G111-e003Coalescence-mBHI-p5_S32,0.460677763551003,0.3178281150159744
G5-e003Coalescence-mBHI-p3_S36,0.38443576611182245,0.36332242811501597
H2-e003Coalescence-mGAM-p7_S181,0.38870934699103715,0.3753031309904153
H9-e003Coalescence-mGAM-p3_S190,0.36028979940247546,0.38128306709265175
E3-e003Coalescence-mBHI-p3_S10,0.06988903115663679,0.7638394888178913
H2-e003Coalescence-mGAM-p5_S85,0.33878233034571065,0.343858785942492
G8-e003Coalescence-mGAM-p3_S177,0.7206436192915067,0.25533776357827476
F2-e003Coalescence-mGAM-p7_S157,0.047425522833973534,0.9437555271565495
H3-e003Coalescence-mGAM-p3_S94,0.37882202304737517,0.3790053674121405
H4-e003Coalescence-mGAM-p3_S95,0.3591416986769099,0.3659782747603834
E5-e003Coalescence-mBHI-p7_S100,0.42448612889457965,0.3481354632587859
F3-e003Coalescence-mGAM-p3_S70,0.002095177123346137,0.985994249201278
E100-e003Coalescence-mBHI-p7_S103,0.6764575330772514,0.23910773162939297
F9-e003Coalescence-mGAM-p5_S66,0.00047033717456252674,0.9936152076677317
G111-e003Coalescence-mGAM-p7_S176,0.2645164319248826,0.2717398083067093
H100-e003Coalescence-mGAM-p7_S187,0.38627742210840804,0.3629872204472843
E100-e003Coalescence-mGAM-p3_S155,0.5993930857874521,0.2737027476038339
E3-e003Coalescence-mGAM-p5_S50,0.03529278702518139,0.955103642172524
F5-e003Coalescence-mGAM-p3_S72,0.37775714895433204,0.3803988498402556
E9-e003Coalescence-mBHI-p7_S102,0.13332735808792145,0.8489725239616613
E5-e003Coalescence-mBHI-p5_S4,0.41266538625693555,0.34420792332268374
F111-e003Coalescence-mGAM-p7_S164,0.3656717883055911,0.3547367412140575
E111-e003Coalescence-mBHI-p5_S8,0.7555078958600084,0.2468376996805112
H100-e003Coalescence-mBHI-p5_S43,0.4527204438753734,0.3289892651757189
F2-e003Coalescence-mGAM-p5_S61,0.08851728553137005,0.9018553354632588
F5-e003Coalescence-mBHI-p5_S16,0.12368075117370891,0.7807715015974441
F8-e003Coalescence-mGAM-p5_S65,0.4900200597524541,0.5287978274760383
H8-e003Coalescence-mBHI-p7_S137,0.7771643192488263,0.25088191693290735
G9-e003Coalescence-mGAM-p5_S78,0.22456508749466494,0.639510926517572
E2-e003Coalescence-mBHI-p5_S1,0.419524541186513,0.10786785942492014
E2-e003Coalescence-mBHI-p3_S9,0.4541856594110116,0.08540306709265176
G8-e003Coalescence-mGAM-p5_S77,0.8536969696969697,0.21721137380191693
G3-e003Coalescence-mBHI-p3_S34,0.5022296201451132,0.3411964217252396
G100-e003Coalescence-mBHI-p5_S31,0.46336491677336755,0.2987543769968051
F9-e003Coalescence-mBHI-p3_S118,0.0007242851045667948,0.6585511821086263
E111-e003Coalescence-mBHI-p3_S108,0.6903939393939393,0.2544379552715655
F8-e003Coalescence-mGAM-p3_S165,0.26976568501920617,0.20236575079872204
