,0
C_H5_D8_AA_AF_mGAM_mGAM_6_S281,29.0
C_H7_D10_AE_AF_mGAM_mGAM_6_S283,171.0
C_H8_D11_AF_AF_mGAM_mGAM_6_S284,154.0
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,68.0
C_H11_H4_AE_AF_mBHI_mGAM_4_S287,58.0
C_H12_H5_AF_AF_mBHI_mGAM_4_S288,211.0
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,91.0
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,958.0
D_A6_A9_ACPP_AA_mGAM_mBHI_6_S294,733.0
D_A7_A10_AE_AA_mGAM_mBHI_6_S295,922.0
D_A8_A11_AF_AA_mGAM_mBHI_6_S296,874.0
D_A9_E8_AA_AA_mGAM_mBHI_4_S297,646.0
D_A11_E10_AE_AA_mGAM_mBHI_4_S299,165.0
D_A12_E11_AF_AA_mGAM_mBHI_4_S300,637.0
D_C1_C2_AA_AE_mBHI_mBHI_6_S313,5.0
D_C3_C4_AE_AE_mBHI_mBHI_6_S315,433.0
D_C4_C5_AF_AE_mBHI_mBHI_6_S316,88.0
D_C5_C8_AA_AE_mGAM_mBHI_6_S317,197.0
D_C6_C9_ACPP_AE_mGAM_mBHI_6_S318,619.0
D_C7_C10_AE_AE_mGAM_mBHI_6_S319,615.0
D_C8_C11_AF_AE_mGAM_mBHI_6_S320,418.0
D_C9_G8_AA_AE_mGAM_mBHI_4_S321,606.0
D_C11_G10_AE_AE_mGAM_mBHI_4_S323,713.0
D_C12_G11_AF_AE_mGAM_mBHI_4_S324,399.0
D_D1_D2_AA_AF_mBHI_mBHI_6_S325,44.0
D_D3_D4_AE_AF_mBHI_mBHI_6_S327,91.0
D_D5_D8_AA_AF_mGAM_mBHI_6_S329,197.0
D_D6_D9_ACPP_AF_mGAM_mBHI_6_S330,144.0
D_D7_D10_AE_AF_mGAM_mBHI_6_S331,347.0
D_D8_D11_AF_AF_mGAM_mBHI_6_S332,422.0
D_D9_H8_AA_AF_mGAM_mBHI_4_S333,17.0
D_D11_H10_AE_AF_mGAM_mBHI_4_S335,330.0
