,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
H111-e003Coalescence-mBHI-p3_S144,25247,1420
G111-e003Coalescence-mGAM-p5_S80,18584,1157
F111-e003Coalescence-mGAM-p5_S68,15127,858
G111-e003Coalescence-mBHI-p5_S32,24314,1373
H2-e003Coalescence-mGAM-p7_S181,25274,1430
E3-e003Coalescence-mBHI-p3_S10,23901,1360
H2-e003Coalescence-mGAM-p5_S85,7945,508
G8-e003Coalescence-mGAM-p3_S177,24561,1409
F2-e003Coalescence-mGAM-p7_S157,24805,1420
H3-e003Coalescence-mGAM-p3_S94,23789,1357
H4-e003Coalescence-mGAM-p3_S95,23065,1349
E5-e003Coalescence-mBHI-p7_S100,24350,1394
F3-e003Coalescence-mGAM-p3_S70,23286,1317
E100-e003Coalescence-mBHI-p7_S103,24744,1416
F9-e003Coalescence-mGAM-p5_S66,23157,1301
E100-e003Coalescence-mGAM-p3_S155,25134,1425
E3-e003Coalescence-mGAM-p5_S50,25222,1426
F5-e003Coalescence-mGAM-p3_S72,24949,1404
E5-e003Coalescence-mBHI-p5_S4,21823,1266
F111-e003Coalescence-mGAM-p7_S164,14064,782
E111-e003Coalescence-mBHI-p5_S8,19585,1195
F2-e003Coalescence-mGAM-p5_S61,25226,1429
F8-e003Coalescence-mGAM-p5_S65,14322,767
H8-e003Coalescence-mBHI-p7_S137,25014,1417
G9-e003Coalescence-mGAM-p5_S78,20300,1108
E2-e003Coalescence-mBHI-p5_S1,23490,1352
E2-e003Coalescence-mBHI-p3_S9,19441,1124
G8-e003Coalescence-mGAM-p5_S77,23774,1368
G3-e003Coalescence-mBHI-p3_S34,23404,1306
E111-e003Coalescence-mBHI-p3_S108,22512,1314
G3-e003Coalescence-mBHI-p5_S26,12124,651
H111-e003Coalescence-mGAM-p5_S92,25131,1410
H9-e003Coalescence-mGAM-p5_S90,22263,1254
H2-e003Coalescence-mBHI-p3_S45,24343,1394
E8-e003Coalescence-mBHI-p7_S101,25088,1428
E4-e003Coalescence-mBHI-p5_S3,23632,1364
H2-e003Coalescence-mGAM-p3_S93,25268,1426
E4-e003Coalescence-mGAM-p5_S51,23700,1359
G9-e003Coalescence-mGAM-p7_S174,25154,1413
F2-e003Coalescence-mBHI-p3_S21,22394,1298
G5-e003Coalescence-mGAM-p3_S84,24973,1411
H8-e003Coalescence-mBHI-p5_S41,24937,1418
E100-e003Coalescence-mBHI-p5_S7,24194,1392
G100-e003Coalescence-mGAM-p7_S175,10515,664
F9-e003Coalescence-mGAM-p7_S162,12816,669
F8-e003Coalescence-mGAM-p7_S161,14026,759
F3-e003Coalescence-mBHI-p3_S22,24086,1340
G5-e003Coalescence-mGAM-p5_S76,24586,1399
G5-e003Coalescence-mGAM-p7_S172,24905,1418
G4-e003Coalescence-mGAM-p5_S75,19524,1036
G8-e003Coalescence-mBHI-p3_S129,25035,1420
E5-e003Coalescence-mGAM-p3_S60,25226,1427
G2-e003Coalescence-mGAM-p5_S73,24977,1420
E5-e003Coalescence-mGAM-p7_S148,25050,1416
H9-e003Coalescence-mGAM-p7_S186,23718,1321
E100-e003Coalescence-mGAM-p5_S55,24801,1411
E8-e003Coalescence-mGAM-p5_S53,24988,1426
H5-e003Coalescence-mGAM-p3_S96,24628,1389
G4-e003Coalescence-mGAM-p3_S83,15417,803
H3-e003Coalescence-mGAM-p7_S182,24905,1423
H5-e003Coalescence-mGAM-p5_S88,18639,1193
F4-e003Coalescence-mGAM-p5_S63,20361,1113
G4-e003Coalescence-mGAM-p7_S171,21681,1195
H8-e003Coalescence-mGAM-p5_S89,25090,1424
F3-e003Coalescence-mBHI-p5_S14,16765,971
E3-e003Coalescence-mGAM-p7_S146,25232,1427
F100-e003Coalescence-mGAM-p3_S167,23840,1334
G100-e003Coalescence-mBHI-p3_S131,25051,1427
E9-e003Coalescence-mGAM-p3_S154,24360,1378
F3-e003Coalescence-mGAM-p5_S62,24550,1362
E3-e003Coalescence-mBHI-p5_S2,23399,1337
G111-e003Coalescence-mBHI-p7_S128,14710,845
G3-e003Coalescence-mGAM-p3_S82,20370,1136
F111-e003Coalescence-mGAM-p3_S168,16780,884
F3-e003Coalescence-mGAM-p7_S158,24130,1353
G8-e003Coalescence-mBHI-p7_S125,24541,1398
H111-e003Coalescence-mBHI-p5_S44,25175,1412
E111-e003Coalescence-mBHI-p7_S104,25197,1422
E2-e003Coalescence-mGAM-p3_S57,23553,1357
F2-e003Coalescence-mBHI-p5_S13,25272,1427
F4-e003Coalescence-mBHI-p3_S23,9930,571
F2-e003Coalescence-mGAM-p3_S69,25139,1426
E9-e003Coalescence-mGAM-p5_S54,13666,710
G3-e003Coalescence-mGAM-p5_S74,25175,1418
E111-e003Coalescence-mGAM-p5_S56,25070,1420
G100-e003Coalescence-mGAM-p5_S79,11652,727
E4-e003Coalescence-mGAM-p7_S147,25154,1425
E4-e003Coalescence-mGAM-p3_S59,14433,903
F4-e003Coalescence-mGAM-p3_S71,25380,1429
H100-e003Coalescence-mBHI-p7_S139,9647,500
G8-e003Coalescence-mBHI-p5_S29,24667,1411
G2-e003Coalescence-mBHI-p5_S25,23745,1360
G8-e003Coalescence-mGAM-p7_S173,25035,1423
E4-e003Coalescence-mBHI-p3_S11,24480,1402
E2-e003Coalescence-mGAM-p5_S49,24016,1380
H9-e003Coalescence-mBHI-p5_S42,16441,840
H111-e003Coalescence-mGAM-p3_S192,25244,1414
