,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
E100-e003Coalescence-mGAM-p3_S155,16313,4965
E3-e003Coalescence-mGAM-p5_S50,15820,4417
F5-e003Coalescence-mGAM-p3_S72,15627,4861
E9-e003Coalescence-mBHI-p7_S102,15956,5035
E5-e003Coalescence-mBHI-p5_S4,15941,4980
F111-e003Coalescence-mGAM-p7_S164,15537,4856
E111-e003Coalescence-mBHI-p5_S8,16250,5030
H100-e003Coalescence-mBHI-p5_S43,16320,5038
F2-e003Coalescence-mGAM-p5_S61,15825,4404
F5-e003Coalescence-mBHI-p5_S16,15986,5027
F8-e003Coalescence-mGAM-p5_S65,16231,5036
H8-e003Coalescence-mBHI-p7_S137,16245,5011
G9-e003Coalescence-mGAM-p5_S78,16391,4946
E2-e003Coalescence-mBHI-p5_S1,7939,2580
E2-e003Coalescence-mBHI-p3_S9,11713,3681
G8-e003Coalescence-mGAM-p5_S77,16384,5022
G3-e003Coalescence-mBHI-p3_S34,16203,4863
G100-e003Coalescence-mBHI-p5_S31,16369,4947
F9-e003Coalescence-mBHI-p3_S118,9709,3574
E111-e003Coalescence-mBHI-p3_S108,15941,4972
F8-e003Coalescence-mGAM-p3_S165,11884,3961
G3-e003Coalescence-mBHI-p5_S26,16276,4897
G5-e003Coalescence-mBHI-p5_S28,16416,5038
H111-e003Coalescence-mGAM-p5_S92,15963,5030
G4-e003Coalescence-mBHI-p3_S35,16313,4917
H9-e003Coalescence-mGAM-p5_S90,15878,5027
H2-e003Coalescence-mBHI-p3_S45,16167,5027
E8-e003Coalescence-mBHI-p7_S101,16110,4954
E4-e003Coalescence-mBHI-p5_S3,15768,4408
H2-e003Coalescence-mGAM-p3_S93,16244,5035
E4-e003Coalescence-mGAM-p5_S51,16258,4901
G9-e003Coalescence-mGAM-p7_S174,16401,4970
E8-e003Coalescence-mGAM-p3_S153,16387,4952
G111-e003Coalescence-mGAM-p3_S180,16403,5035
G5-e003Coalescence-mGAM-p3_S84,16326,4969
H8-e003Coalescence-mBHI-p5_S41,16283,5036
E100-e003Coalescence-mBHI-p5_S7,16242,4957
G100-e003Coalescence-mGAM-p7_S175,16176,4820
F9-e003Coalescence-mGAM-p7_S162,15963,5038
F8-e003Coalescence-mGAM-p7_S161,16156,5035
F3-e003Coalescence-mBHI-p3_S22,15373,4231
