,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-Inoculumn-mBHI,0.04090572093563749,0.041346243699973376
D3-e003Coalescence-mBHI-p7,0.037,0.002495773800591707
C3-e003Coalescence-mBHI-p5,0.03299185785511381,0.96553021546567
D11-e003Assembly-mGAM-p3,0.016606820936392555,0.013877211715142073
D2-e003Assembly-mBHI-p3,0.032407749510145106,0.03382170260830585
A9-e003Coalescence-mBHI-p5,0.011541500735567213,0.008452397722418984
D5-e003Coalescence-Inoculumn-mBHI,0.055,0.002066859886920592
B2-e003Coalescence-mGAM-p3,0.9881292799513353,0.009238259975109932
B4-e003Assembly-mBHI-p3,0.524,0.423
C11-e003Coalescence-mGAM-p5,0.023,0.295
G4-e004Assembly-epsilon-p3,0.025560004327215793,0.031799158306308944
B3-e003Coalescence-Inoculumn-mBHI,0.995315444480273,0.015859887180733185
A8-e003Coalescence-mBHI-p5,0.007068082243299804,0.007276036960056836
D5-e004Assembly-mGAM-p7,0.004728748744710923,0.924
D9-e003Coalescence-mBHI-p3,0.04422237917325795,0.03363825491765581
D5-e003Assembly-mBHI-p5,0.015266105240821972,0.012916777782120135
A5-e003Coalescence-mBHI-p7,0.02110137069204515,0.017681585827720794
BG-Fecal,0.13491495646630033,0.1583438583897324
D2-e003Coalescence-mGAM-p5,0.002207976327222402,0.002014030808283555
B9-e003Assembly-mGAM-p5,0.13,0.014029603236227319
D3-e003Coalescence-mGAM-p3,0.01312278455061703,0.562
D9-e003Coalescence-mGAM-p3,0.061,0.002870731087103658
D3-e003Coalescence-mGAM-p5,0.0030076350561937353,0.031
C10-e003Coalescence-mGAM-p3,0.17300000000000004,0.755
A5-e003Coalescence-mBHI-inoculumn-redo,0.062,0.008637549858396525
B11-e003Assembly-mGAM-p3,0.032678113545799525,0.027943035906976364
B9-e003Coalescence-mGAM-p7,0.308,0.0014328355267113886
B11-e003Coalescence-mGAM-p7,0.676,0.00866130098092295
C3-e003Coalescence-Inoculumn-mGAM,0.269,0.254
B5-e003Coalescence-mBHI-p7,0.071,0.005768179476567625
A3-e003Coalescence-mGAM-p7,0.986493557717915,0.011194992295501546
D4-e003Coalescence-Inoculumn-mBHI,0.039,0.474
A4-e003Coalescence-mBHI-p5,0.9979165072677154,0.004378917216494107
B3-e003Coalescence-mBHI-p7,0.9851983631868853,0.019739070814918554
D10-e003Coalescence-mGAM-p7,0.0004811265954294817,0.251
C12-e003Coalescence-mGAM-p3,0.056,0.333
C11-e003Coalescence-mGAM-p3,0.052,0.327
D5-e004Assembly-mGAM-p3,0.009872912701549953,0.561
A10-e003Coalescence-mBHI-p7,0.005999375155777785,0.259
C10-e003Coalescence-mBHI-p7,0.355,0.528
B9-e003Coalescence-mBHI-p5,0.008697370463336967,0.004704335260016438
F4-e004Assembly-epsilon-p3,0.10205045465202438,0.11163749569188418
B10-e003Coalescence-mBHI-p3,0.098,0.339
C11-e003Coalescence-mBHI-p5,0.089,0.048
A2-e003Coalescence-mGAM-p7,0.00861112016427366,0.008933825843553657
C5-e003Assembly-mBHI-p3,0.01763758120492598,0.015087181801711709
E3-e004Assembly-mGAM-p5,0.9952543731832272,0.002450646145694751
C3-e003GlycerolRevival-mBHI-p2,0.8377798842594412,0.1156162663019351
D10-e003Coalescence-mGAM-p3,0.049,0.656
B10-e003Coalescence-mGAM-p7,0.004454205881517488,0.9922874964529964
C4-e004Assembly-mBHI-p3,0.002954351505609939,0.00371938698455455
A9-e003Coalescence-mBHI-p7,0.021,0.002884768121405257
C2-e003Coalescence-Inoculumn-mGAM,0.253,0.261
B3-e003Coalescence-Inoculumn-mGAM,0.029,0.0018159964464824
D11-e003Coalescence-mGAM-p7,0.00624913791365312,0.005182754035577566
D5-e003Coalescence-mGAM-p3,0.003587346561118092,0.0031094768893321573
D4-e004Assembly-mGAM-p3,0.005873062170323834,0.0067980462871767506
E4-e004Assembly-mGAM-p5,0.0018549465170330784,0.002351091291549556
E5-e004Assembly-mGAM-p3,0.030190610408442658,0.9387459836319146
D2-e003Coalescence-Inoculumn-mBHI,0.058,0.009286193787228105
B4-e003Coalescence-Inoculumn-mGAM,0.283,0.253
A10-e003Coalescence-mGAM-p7,0.0011834792124751198,0.833
B2-e003Assembly-mBHI-p3,0.036336803448638495,0.03609673602348224
F4-e004Assembly-epsilon-p7,0.06396392042705729,0.0727984036627407
D9-e003Coalescence-mBHI-p5,0.007717511544969966,0.005552698436485752
C4-e003Coalescence-Inoculumn-mGAM,0.452,0.446
D4-e003Coalescence-mGAM-p3,0.0028947313948015636,0.749
B9-e003Coalescence-mBHI-p7,0.01735450244715129,0.01200112965532393
A2-e003Coalescence-mGAM-p5,0.005169335518901697,0.0053694312462835205
D11-e003Assembly-mGAM-p5,0.07186959866176595,0.06268348983115679
C3-e003Coalescence-mGAM-p7,0.089,0.903
B11-e003GlycerolRevival-mGAM-p2,0.026455806534773307,0.021812961086521244
C5-e004Assembly-mBHI-p7,0.12502143757662185,0.571
B3-e003Coalescence-mGAM-p5,0.997324729555258,0.002284722441916603
D9-e003Coalescence-mBHI-p7,0.009084200862159624,0.007015408506372192
B10-e003Assembly-mGAM-p3,0.9410000000000001,0.010666432969164162
D3-e004Assembly-mGAM-p5,0.9940015658856359,0.0030939280431751853
C5-e003Coalescence-mBHI-p7,0.0035057178346728276,0.409
D12-e003Coalescence-mBHI-p3,0.06130135299539701,0.054348752800497904
D4-e004Assembly-mGAM-p7,0.0005882416873419882,0.0007453081936962995
C11-e003Coalescence-mGAM-p7,0.015,0.53
C11-e003Assembly-mGAM-p3,0.010922856229733506,0.009378053840277316
D10-e003Coalescence-mBHI-p7,0.141,0.131
C9-e003Coalescence-mBHI-p7,0.006917651202890782,0.86
A2-e003Coalescence-mBHI-p3,0.1063985736150698,0.10746830279390887
B8-e003Coalescence-mGAM-p5,0.001348249138851846,0.0012587068337888774
C3-e004Assembly-mBHI-p3,0.9947703078955221,0.002678140541428819
C11-e003Assembly-mGAM-p5,0.01612279293400683,0.013783961522776906
B10-e003GlycerolRevival-mGAM-p2,0.44399999999999995,0.444
B3-e003Coalescence-mBHI-p5,0.9970035817602085,0.0051924989773069604
C2-e003Coalescence-mBHI-inoculumn-redo,0.004451496131574246,0.944
A8-e003Coalescence-mGAM-p7,0.001299801059810146,0.0013400295943545213
C11-e003GlycerolRevival-mGAM-p2,0.0056719985499853265,0.00489829249797753
B2-e003Coalescence-Inoculumn-mBHI,0.8940369780929693,0.05061259250347356
A11-e003Coalescence-mBHI-p5,0.013086646666132486,0.012167065663677479
C10-e003Coalescence-mGAM-p5,0.18100000000000005,0.743
C4-e003Assembly-mBHI-p5,0.994010950909032,0.0064504110457791215
C9-e003Assembly-mGAM-p5,0.9446357971056106,0.03210431634717961
A5-e003Coalescence-Inoculumn-mGAM,0.003232210655206725,0.003019659684796898
D4-e003Coalescence-Inoculumn-mGAM,0.379,0.44199999999999995
A2-e003Coalescence-mBHI-p5,0.07806356384932192,0.07914303499592035
B5-e004Assembly-mBHI-p5,0.011569966533728928,0.933
C5-e003Assembly-mBHI-p5,0.03157002293451871,0.026846304079145147
C10-e003Coalescence-mBHI-p5,0.469,0.417
B9-e003Coalescence-mBHI-p3,0.022076027403730956,0.015335164354725574
C3-e003Coalescence-mBHI-inoculumn-redo,0.097,0.892
B5-e003Coalescence-mGAM-p3,0.282,0.013086595030254451
BK-Fecal,0.044996667271591184,0.03708512211298935
A5-e003Coalescence-mBHI-p3,0.12757027041539842,0.11770799383682748
C4-e004Assembly-mBHI-p7,0.006898158010837459,0.008693111115260768
A4-e003Coalescence-mBHI-p3,0.8649630372551615,0.13558488656028603
C9-e003GlycerolRevival-mGAM-p2,0.9764068724541911,0.012842509659709046
B4-e004Assembly-mBHI-p3,0.004180551105552162,0.00530919290155451
F3-e004Assembly-epsilon-p5,0.8302936632707625,0.11149696998670719
C9-e003Coalescence-mGAM-p5,0.478,0.356
A2-e003Coalescence-mBHI-inoculumn-redo,0.033369851171446835,0.033476696156619336
C2-e003Coalescence-mGAM-p5,0.00028124401338533217,0.99965120554031
B8-e003GlycerolRevival-mGAM-p2,0.004709127112465283,0.004852161596005893
C8-e003Coalescence-mBHI-p5,0.0035679849225194954,0.133
B8-e003Coalescence-mGAM-p7,0.0012164201926983095,0.0011514650021523809
B4-e003Coalescence-Inoculumn-mBHI,0.098,0.887
D2-e003Coalescence-Inoculumn-mGAM,0.0034647901575682607,0.003205496777740432
B8-e003Coalescence-mBHI-p7,0.010338057553376722,0.00737011903579936
B3-e004Assembly-mBHI-p3,0.9897176561590164,0.0052718208392258745
D3-e003Coalescence-Inoculumn-mGAM,0.026,0.001981886200636026
B11-e003Coalescence-mBHI-p3,0.06999999999999995,0.010999116826046323
C5-e003Coalescence-Inoculumn-mGAM,0.415,0.409
C4-e003Coalescence-mBHI-p5,0.044,0.95
G3-e004Assembly-epsilon-p5,0.9548250657118712,0.02327098912827214
BC-Fecal,0.5,0.2233006883693096
e004-inoculumn-fecal-BE,0.1353791357056892,0.13522261127858923
A11-e003Coalescence-mBHI-p3,0.002672640083292558,0.0024426392680083862
B4-e004Assembly-mBHI-p7,0.007682031476332972,0.009661376394854303
A4-e003Coalescence-Inoculumn-mGAM,0.277,0.26
B4-e003Coalescence-mBHI-p3,0.08367498157330956,0.91033148923888
A5-e003Coalescence-Inoculumn-mBHI,0.018608700432663647,0.014257560185651509
A9-e003Coalescence-mGAM-p5,0.0011555608603787734,0.001087683258449848
C10-e003Coalescence-mGAM-p7,0.18,0.741
F3-e004Assembly-epsilon-p7,0.8751067998038229,0.07326668936854078
A11-e003Coalescence-mGAM-p3,0.007770390054741282,0.007122555836129105
C10-e003Coalescence-mBHI-p3,0.237,0.657
D2-e003Coalescence-mBHI-p3,0.011759423742741039,0.010317769956981263
C5-e003GlycerolRevival-mBHI-p2,0.00945348841005407,0.008139365628219895
H5-e003Coalescence-mBHI-p5_S40,0.00299073959818956,0.002601954719813971
E2-e003Coalescence-mGAM-p7_S145,0.005049807722273844,0.005130174493521844
G5-e003Coalescence-mBHI-p7_S124,0.002664514290432471,0.339
H111-e003Coalescence-mGAM-p7_S188,0.0034010309759040323,0.0028194055119295084
H4-e003Coalescence-mGAM-p7_S183,0.0011955993752045442,0.469
F5-e003Coalescence-mGAM-p5_S64,0.032,0.003614760331943293
F5-e003Coalescence-mGAM-p7_S160,0.356,0.094
F8-e003Coalescence-mBHI-p3_S117,0.079,0.010051793507764493
H3-e003Coalescence-mBHI-p3_S46,0.759,0.007309910528409431
H2-e003Coalescence-mBHI-p7_S133,0.023624044576351144,0.019306887220013853
E5-e003Coalescence-mBHI-p3_S12,0.02040367145210607,0.01907078133952003
F100-e003Coalescence-mGAM-p7_S163,0.624,0.295
F9-e003Coalescence-mBHI-p5_S18,0.067,0.010772653014579478
H3-e003Coalescence-mBHI-p7_S134,0.286,0.011946939623384526
E3-e003Coalescence-mGAM-p3_S58,0.9901379792401613,0.008184250787803929
G4-e003Coalescence-mBHI-p5_S27,0.002349752549033322,0.9972325930287158
E8-e003Coalescence-mBHI-p5_S5,0.005080088165886842,0.005248951638042714
G2-e003Coalescence-mBHI-p3_S33,0.8835682510734001,0.09925523708185205
E9-e003Coalescence-mBHI-p5_S6,0.004822978297238348,0.003687480956216637
H111-e003Coalescence-mBHI-p3_S144,0.00375798968578623,0.003221696303362445
G111-e003Coalescence-mGAM-p5_S80,0.027,0.345
G100-e003Coalescence-mGAM-p3_S179,0.125,0.78
F111-e003Coalescence-mGAM-p5_S68,0.058,0.010955743871584475
G111-e003Coalescence-mBHI-p5_S32,0.098,0.083
G5-e003Coalescence-mBHI-p3_S36,0.01508818583015511,0.667
H2-e003Coalescence-mGAM-p7_S181,0.001689224448501439,0.001549222699726676
H9-e003Coalescence-mGAM-p3_S190,0.023962474691150766,0.020279467114960176
E3-e003Coalescence-mBHI-p3_S10,0.6631838259195875,0.22553081478225698
H2-e003Coalescence-mGAM-p5_S85,0.01546338469817297,0.013520477027299855
G8-e003Coalescence-mGAM-p3_S177,0.0010240924917250612,0.582
F2-e003Coalescence-mGAM-p7_S157,0.9937247241044269,0.00430967226680403
H3-e003Coalescence-mGAM-p3_S94,0.269,0.01997384802327513
H4-e003Coalescence-mGAM-p3_S95,0.012588689651049053,0.821
E5-e003Coalescence-mBHI-p7_S100,0.015042695431238531,0.013084531278920303
G111-e003Coalescence-mBHI-p3_S132,0.18204886759885097,0.17321822837466178
F3-e003Coalescence-mGAM-p3_S70,0.9821484960010206,0.01433002760760803
E100-e003Coalescence-mBHI-p7_S103,0.0026164990201467523,0.136
F9-e003Coalescence-mGAM-p5_S66,0.0012765222542755702,0.000897837189372907
G111-e003Coalescence-mGAM-p7_S176,0.012191880424296487,0.875
H100-e003Coalescence-mGAM-p7_S187,0.071,0.49
E100-e003Coalescence-mGAM-p3_S155,0.0033523489281538916,0.903
E3-e003Coalescence-mGAM-p5_S50,0.9927212966734774,0.005527680774564873
F5-e003Coalescence-mGAM-p3_S72,0.333,0.029997736810125967
E9-e003Coalescence-mBHI-p7_S102,0.008210030829069386,0.005760820321911289
E5-e003Coalescence-mBHI-p5_S4,0.025330060188458913,0.022562653780690046
F111-e003Coalescence-mGAM-p7_S164,0.389,0.01845890685293252
E111-e003Coalescence-mBHI-p5_S8,0.011097903734481076,0.010177247969293202
H100-e003Coalescence-mBHI-p5_S43,0.045,0.187
F2-e003Coalescence-mGAM-p5_S61,0.9960475005694365,0.0031034754300959958
F5-e003Coalescence-mBHI-p5_S16,0.132,0.00835279910504972
F8-e003Coalescence-mGAM-p5_S65,0.003717128867443356,0.0035153535740031897
H8-e003Coalescence-mBHI-p7_S137,0.003946211104732252,0.003641312065657087
G9-e003Coalescence-mGAM-p5_S78,0.143,0.738
E2-e003Coalescence-mBHI-p5_S1,0.13266442897345845,0.13843952935847723
E2-e003Coalescence-mBHI-p3_S9,0.07334889308257718,0.0743940718904468
G8-e003Coalescence-mGAM-p5_S77,0.0011366154708174186,0.631
G3-e003Coalescence-mBHI-p3_S34,0.01335172901826849,0.9831681512984349
