,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C9-e003GlycerolRevival-mGAM-p2,0.5793650793650794,0.5
B4-e004Assembly-mBHI-p3,0.6349206349206349,0.0
F3-e004Assembly-epsilon-p5,0.3968253968253968,0.0
C9-e003Coalescence-mGAM-p5,0.0,0.0
A2-e003Coalescence-mBHI-inoculumn-redo,0.6455026455026455,0.0
C2-e003Coalescence-mGAM-p5,0.6164021164021164,0.0
B8-e003GlycerolRevival-mGAM-p2,0.6534391534391535,0.0
C8-e003Coalescence-mBHI-p5,0.3862433862433862,0.0
B8-e003Coalescence-mGAM-p7,0.0,0.0
B4-e003Coalescence-Inoculumn-mBHI,0.455026455026455,0.0
D2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B8-e003Coalescence-mBHI-p7,0.0,0.0
B3-e004Assembly-mBHI-p3,0.5873015873015873,0.5
D3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B11-e003Coalescence-mBHI-p3,0.0,0.0
C5-e003Coalescence-Inoculumn-mGAM,0.0,0.0
C4-e003Coalescence-mBHI-p5,0.4894179894179894,0.0
G3-e004Assembly-epsilon-p5,0.5661375661375662,0.5
BC-Fecal,0.18783068783068782,0.0
e004-inoculumn-fecal-BE,0.3386243386243386,0.0
A11-e003Coalescence-mBHI-p3,0.0,0.0
B4-e004Assembly-mBHI-p7,0.6296296296296297,0.0
A4-e003Coalescence-Inoculumn-mGAM,0.30158730158730157,0.0
B4-e003Coalescence-mBHI-p3,0.4894179894179894,0.0
A5-e003Coalescence-Inoculumn-mBHI,0.09523809523809523,0.0
A9-e003Coalescence-mGAM-p5,0.0,0.0
C10-e003Coalescence-mGAM-p7,0.4708994708994709,0.0
F3-e004Assembly-epsilon-p7,0.455026455026455,0.0
A11-e003Coalescence-mGAM-p3,0.0,0.0
C10-e003Coalescence-mBHI-p3,0.46296296296296297,0.0
D2-e003Coalescence-mBHI-p3,0.0,0.0
C5-e003GlycerolRevival-mBHI-p2,0.010582010582010581,0.0
H5-e003Coalescence-mBHI-p5_S40,0.0,0.0
E2-e003Coalescence-mGAM-p7_S145,0.6587301587301587,0.0
G5-e003Coalescence-mBHI-p7_S124,0.0,0.0
H111-e003Coalescence-mGAM-p7_S188,0.0,0.0
H4-e003Coalescence-mGAM-p7_S183,0.0026455026455026454,0.0
F5-e003Coalescence-mGAM-p5_S64,0.4656084656084656,0.0
F5-e003Coalescence-mGAM-p7_S160,0.2804232804232804,1.0
F8-e003Coalescence-mBHI-p3_S117,0.0,0.5
H3-e003Coalescence-mBHI-p3_S46,0.031746031746031744,0.0
H2-e003Coalescence-mBHI-p7_S133,0.005291005291005291,0.5
E5-e003Coalescence-mBHI-p3_S12,0.0026455026455026454,0.5
