,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
G111-e003Coalescence-mGAM-p3_S180,0.0,0.003105590062111801
G5-e003Coalescence-mGAM-p3_S84,0.0,0.009316770186335404
E100-e003Coalescence-mBHI-p5_S7,0.0,0.0
G3-e003Coalescence-mBHI-p7_S122,0.14864864864864866,0.15113871635610765
G5-e003Coalescence-mGAM-p5_S76,0.013513513513513514,0.003105590062111801
G5-e003Coalescence-mGAM-p7_S172,0.04054054054054054,0.053830227743271224
G4-e003Coalescence-mGAM-p5_S75,0.12162162162162163,0.07556935817805382
G8-e003Coalescence-mBHI-p3_S129,0.0,0.0
G2-e003Coalescence-mGAM-p5_S73,0.0,0.011387163561076604
H9-e003Coalescence-mGAM-p7_S186,0.7837837837837838,0.8126293995859213
F4-e003Coalescence-mBHI-p7_S111,0.22972972972972974,0.23809523809523808
H3-e003Coalescence-mGAM-p7_S182,0.6216216216216216,0.5745341614906833
F100-e003Coalescence-mBHI-p7_S115,0.4594594594594595,0.5476190476190477
E3-e003Coalescence-mGAM-p7_S146,0.3918918918918919,0.4192546583850932
F100-e003Coalescence-mGAM-p3_S167,0.4864864864864865,0.6376811594202898
G4-e003Coalescence-mBHI-p7_S123,0.0,0.0
E9-e003Coalescence-mGAM-p3_S154,0.7162162162162162,0.7567287784679089
H4-e003Coalescence-mBHI-p7_S135,0.0,0.004140786749482402
H3-e003Coalescence-mBHI-p5_S38,0.581081081081081,0.47619047619047616
F111-e003Coalescence-mGAM-p3_S168,0.7162162162162162,0.7981366459627329
H4-e003Coalescence-mBHI-p3_S47,0.0,0.0
G8-e003Coalescence-mBHI-p7_S125,0.0,0.0
F4-e003Coalescence-mBHI-p5_S15,0.14864864864864866,0.20600414078674947
F2-e003Coalescence-mBHI-p5_S13,0.7297297297297297,0.7505175983436853
F2-e003Coalescence-mGAM-p3_S69,0.47297297297297297,0.463768115942029
G3-e003Coalescence-mGAM-p5_S74,0.24324324324324326,0.14492753623188406
H100-e003Coalescence-mGAM-p5_S91,0.0,0.0
G9-e003Coalescence-mBHI-p3_S130,0.35135135135135137,0.3747412008281574
E4-e003Coalescence-mGAM-p7_S147,0.08108108108108109,0.059006211180124224
E4-e003Coalescence-mGAM-p3_S59,0.02702702702702703,0.022774327122153208
H4-e003Coalescence-mBHI-p5_S39,0.013513513513513514,0.031055900621118012
H100-e003Coalescence-mBHI-p7_S139,0.08108108108108109,0.053830227743271224
G8-e003Coalescence-mBHI-p5_S29,0.0,0.0
G2-e003Coalescence-mBHI-p5_S25,0.0,0.0
G8-e003Coalescence-mGAM-p7_S173,0.0,0.0010351966873706005
E4-e003Coalescence-mBHI-p3_S11,0.0,0.0
H9-e003Coalescence-mBHI-p5_S42,0.6081081081081081,0.6997929606625258
F5-e003Coalescence-mBHI-p3_S24,0.5135135135135135,0.5175983436853002
G9-e003Coalescence-mBHI-p5_S30,0.7162162162162162,0.7122153209109731
F111-e003Coalescence-mBHI-p7_S116,0.5945945945945946,0.5196687370600414
F111-e003Coalescence-mBHI-p3_S120,0.6216216216216216,0.6200828157349897
H3-e003Coalescence-mGAM-p5_S86,0.6621621621621622,0.6107660455486542
E4-e003Coalescence-mBHI-p7_S99,0.0,0.0
H4-e003Coalescence-mGAM-p5_S87,0.0,0.004140786749482402
E100-e003Coalescence-mGAM-p7_S151,0.013513513513513514,0.005175983436853002
G9-e003Coalescence-mGAM-p3_S178,0.24324324324324326,0.2525879917184265
H9-e003Coalescence-mBHI-p7_S138,0.32432432432432434,0.3447204968944099
F8-e003Coalescence-mBHI-p5_S17,0.7567567567567568,0.7619047619047619
G100-e003Coalescence-mBHI-p7_S127,0.0,0.0
