,sample,boot_med,boot_low,boot_high,actual_med,shifts_low,shifts_high,shifts_med
28,D4-e003Coalescence-mGAM-p1_S739,0.5752577319587628,0.5734840698869476,0.5777548918640576,0.561,0.02400000000000002,0.03200000000000003,0.028000000000000025
29,D4-e003Coalescence-mGAM-p3,0.795339412360689,0.7943262411347517,0.7963525835866261,0.786,0.011000000000000006,0.014999999999999902,0.014000000000000012
30,D4-e003Coalescence-mGAM-p5,0.44155181214905564,0.44012282497441146,0.44354574806474895,0.433,0.016999999999999904,0.02399999999999991,0.020000000000000018
31,D4-e003Coalescence-mGAM-p7,0.5020325203252033,0.5,0.503560528992879,0.494,0.014000000000000012,0.02100000000000002,0.017000000000000015
32,D_C4_C5_AF_AE_mBHI_mBHI_6_S316,0.40271966527196656,0.38461538461538464,0.411946446961895,0.4,0.0,0.05400000000000005,0.029000000000000026
33,D_D3_D4_AE_AF_mBHI_mBHI_6_S327,0.4802494802494802,0.4703389830508475,0.5,0.46699999999999997,0.0,0.05600000000000005,0.038000000000000034
34,D_G4_C5_AF_AE_mBHI_mGAM_6_S364,0.6035940803382663,0.588053553038105,0.6085594989561587,0.571,0.017000000000000015,0.05400000000000005,0.04400000000000004
35,D_H3_D4_AE_AF_mBHI_mGAM_6_S375,0.47687564234326824,0.4753086419753087,0.47843942505133474,0.46299999999999997,0.02400000000000002,0.030000000000000027,0.026999999999999913
36,G5-e003Coalescence-mBHI-p1_S806,0.5382131324004306,0.5330490405117271,0.5521920668058455,0.5,0.04200000000000004,0.07099999999999995,0.07099999999999995
37,G5-e003Coalescence-mBHI-p5_S28,0.38493723849372385,0.3823529411764706,0.3882476390346275,0.368,0.039000000000000035,0.050000000000000044,0.04400000000000004
38,G5-e003Coalescence-mBHI-p7_S124,0.3486910994764398,0.3475991649269311,0.35126582278481017,0.333,0.04200000000000004,0.052000000000000046,0.04499999999999993
39,G5-e003Coalescence-mGAM-p1_S810,0.5408479834539813,0.537975377897248,0.5430051813471503,0.524,0.028000000000000025,0.038000000000000034,0.03200000000000003
40,G5-e003Coalescence-mGAM-p3_S84,0.9058704453441296,0.9048582995951417,0.9067882472137792,0.896,0.009000000000000008,0.013000000000000012,0.01100000000000001
41,G5-e003Coalescence-mGAM-p5_S76,0.728952772073922,0.7276441473976943,0.7301750772399588,0.7090000000000001,0.02400000000000002,0.029000000000000026,0.027000000000000024
42,G5-e003Coalescence-mGAM-p7_S172,0.34834669469081253,0.3465140478668054,0.35132400173915485,0.333,0.03400000000000003,0.04400000000000004,0.038999999999999924
43,H4-e003Coalescence-mBHI-p1_S799,0.5356037151702786,0.5314109165808445,0.5403726708074534,0.52,0.02100000000000002,0.03702500000000001,0.028999999999999915
44,H4-e003Coalescence-mBHI-p3_S47,0.2829015544041451,0.28057553956834536,0.28659793814432993,0.273,0.02541250000000008,0.039000000000000035,0.03500000000000003
45,H4-e003Coalescence-mBHI-p5_S39,0.2105263157894737,0.21052631578947364,0.2105263157894737,0.2,0.050000000000000044,0.050000000000000044,0.050000000000000044
46,H4-e003Coalescence-mBHI-p7_S135,0.5330490405117271,0.5296610169491526,0.5498426023084995,0.5,0.03200000000000003,0.07099999999999995,0.062000000000000055
47,H4-e003Coalescence-mGAM-p1_S803,0.6247422680412371,0.6204756980351603,0.6277145811789038,0.607,0.02400000000000002,0.039000000000000035,0.030000000000000027
48,H4-e003Coalescence-mGAM-p3_S95,0.6897621509824199,0.6841025641025641,0.6926272066458982,0.667,0.028999999999999915,0.042025000000000014,0.03299999999999992
49,H4-e003Coalescence-mGAM-p5_S87,0.1786447638603696,0.17269906928645298,0.18181818181818182,0.16700000000000004,0.02400000000000002,0.040999999999999925,0.03199999999999997
50,H4-e003Coalescence-mGAM-p7_S183,0.2901234567901234,0.28778467908902694,0.29409118558718667,0.28,0.02400000000000002,0.03599999999999992,0.030000000000000027
