,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
G9-e003Coalescence-mGAM-p5_S78,,0.9906121145835575
E2-e003Coalescence-mBHI-p5_S1,,0.9977326096262759
E2-e003Coalescence-mBHI-p3_S9,,0.9981188087484886
G8-e003Coalescence-mGAM-p5_S77,,0.5740000000000001
G3-e003Coalescence-mBHI-p3_S34,,0.33599999999999997
G100-e003Coalescence-mBHI-p5_S31,,0.45099999999999996
F9-e003Coalescence-mBHI-p3_S118,,0.9871115058098369
E111-e003Coalescence-mBHI-p3_S108,,0.9966156723494487
G3-e003Coalescence-mBHI-p5_S26,,0.381
G5-e003Coalescence-mBHI-p5_S28,,0.72
H111-e003Coalescence-mGAM-p5_S92,,0.9997109521656025
G4-e003Coalescence-mBHI-p3_S35,,0.24
H9-e003Coalescence-mGAM-p5_S90,,0.9944648273431143
H2-e003Coalescence-mBHI-p3_S45,,0.9980868511264293
E8-e003Coalescence-mBHI-p7_S101,,0.905
E4-e003Coalescence-mBHI-p5_S3,,0.43849999999999995
H2-e003Coalescence-mGAM-p3_S93,,0.9910258809506132
E4-e003Coalescence-mGAM-p5_S51,,0.86
G9-e003Coalescence-mGAM-p7_S174,,0.9959695296606551
F2-e003Coalescence-mBHI-p3_S21,,0.487
E8-e003Coalescence-mGAM-p3_S153,,0.498
G111-e003Coalescence-mGAM-p3_S180,,0.909
G5-e003Coalescence-mGAM-p3_S84,,0.9595
H8-e003Coalescence-mBHI-p5_S41,,0.9992676650433182
E100-e003Coalescence-mBHI-p5_S7,,0.43600000000000005
G100-e003Coalescence-mGAM-p7_S175,,0.641
F9-e003Coalescence-mGAM-p7_S162,,0.9901930486570074
E2-e003Coalescence-mBHI-p7_S97,,0.9747490589440808
F8-e003Coalescence-mGAM-p7_S161,,0.9836532150656155
F3-e003Coalescence-mBHI-p3_S22,,0.364
G3-e003Coalescence-mBHI-p7_S122,,0.44699999999999995
G5-e003Coalescence-mGAM-p5_S76,,0.9899393364749618
G5-e003Coalescence-mGAM-p7_S172,,0.965
G4-e003Coalescence-mGAM-p5_S75,,0.376
G8-e003Coalescence-mBHI-p3_S129,,0.478
E5-e003Coalescence-mGAM-p3_S60,,0.9813733908941145
G2-e003Coalescence-mGAM-p5_S73,,0.43200000000000005
E5-e003Coalescence-mGAM-p7_S148,,0.9971869807902101
H9-e003Coalescence-mGAM-p7_S186,,0.9965405933786284
E100-e003Coalescence-mGAM-p5_S55,,0.714
E8-e003Coalescence-mGAM-p5_S53,,0.991327489501068
H5-e003Coalescence-mGAM-p3_S96,,0.9914019716032404
G4-e003Coalescence-mGAM-p3_S83,,0.18000000000000005
F4-e003Coalescence-mBHI-p7_S111,,0.469
H3-e003Coalescence-mGAM-p7_S182,,0.886
H5-e003Coalescence-mGAM-p5_S88,,0.9979134041357416
F4-e003Coalescence-mGAM-p5_S63,,0.382
G4-e003Coalescence-mGAM-p7_S171,,0.29900000000000004
H8-e003Coalescence-mGAM-p5_S89,,0.9989613631606656
F3-e003Coalescence-mBHI-p5_S14,,0.376
F100-e003Coalescence-mBHI-p7_S115,,0.614
E3-e003Coalescence-mGAM-p7_S146,,0.264
F100-e003Coalescence-mGAM-p3_S167,,0.9874832464079581
G100-e003Coalescence-mBHI-p3_S131,,0.9970218258949751
G4-e003Coalescence-mBHI-p7_S123,,0.20799999999999996
E9-e003Coalescence-mGAM-p3_S154,,0.9897907150197025
F3-e003Coalescence-mGAM-p5_S62,,0.393
H4-e003Coalescence-mBHI-p7_S135,,0.778
E3-e003Coalescence-mBHI-p5_S2,,0.488
G111-e003Coalescence-mBHI-p7_S128,,0.742
H3-e003Coalescence-mBHI-p5_S38,,0.629
G3-e003Coalescence-mGAM-p3_S82,,0.08799999999999997
F111-e003Coalescence-mGAM-p3_S168,,0.9932377785544326
F3-e003Coalescence-mGAM-p7_S158,,0.303
F8-e003Coalescence-mBHI-p7_S113,,0.9965499376434622
G2-e003Coalescence-mBHI-p7_S121,,0.29000000000000004
H4-e003Coalescence-mBHI-p3_S47,,0.492
F3-e003Coalescence-mBHI-p7_S110,,0.29800000000000004
F100-e003Coalescence-mGAM-p5_S67,,0.9829085526729696
G8-e003Coalescence-mBHI-p7_S125,,0.32499999999999996
F4-e003Coalescence-mBHI-p5_S15,,0.4385
H111-e003Coalescence-mBHI-p5_S44,,0.9998203994290186
E111-e003Coalescence-mBHI-p7_S104,,0.976
E2-e003Coalescence-mGAM-p3_S57,,0.9910362168449262
F2-e003Coalescence-mBHI-p5_S13,,0.49
F4-e003Coalescence-mBHI-p3_S23,,0.22999999999999998
F2-e003Coalescence-mGAM-p3_S69,,0.31399999999999995
E9-e003Coalescence-mGAM-p5_S54,,0.983191452962958
G3-e003Coalescence-mGAM-p5_S74,,0.714
E111-e003Coalescence-mGAM-p5_S56,,0.9983921154984711
G100-e003Coalescence-mGAM-p5_S79,,0.6619999999999999
H100-e003Coalescence-mGAM-p5_S91,,0.9859897535213912
G9-e003Coalescence-mBHI-p3_S130,,0.734
E4-e003Coalescence-mGAM-p7_S147,,0.8654999999999999
E4-e003Coalescence-mGAM-p3_S59,,0.09999999999999998
H4-e003Coalescence-mBHI-p5_S39,,0.6970000000000001
F4-e003Coalescence-mGAM-p3_S71,,0.383
H100-e003Coalescence-mBHI-p7_S139,,0.745
G8-e003Coalescence-mBHI-p5_S29,,0.389
G2-e003Coalescence-mBHI-p5_S25,,0.247
G8-e003Coalescence-mGAM-p7_S173,,0.477
E4-e003Coalescence-mBHI-p3_S11,,0.28650000000000003
E2-e003Coalescence-mGAM-p5_S49,,0.9891344833929587
H9-e003Coalescence-mBHI-p5_S42,,0.9983468644331618
H111-e003Coalescence-mGAM-p3_S192,,0.9997831967922068
F5-e003Coalescence-mBHI-p3_S24,,0.652
E8-e003Coalescence-mBHI-p3_S105,,0.9988880129276131
E8-e003Coalescence-mGAM-p7_S149,,0.9974737255658891
H5-e003Coalescence-mBHI-p7_S136,,0.843
G9-e003Coalescence-mBHI-p5_S30,,0.651
F111-e003Coalescence-mBHI-p7_S116,,0.9946352338896534
F5-e003Coalescence-mBHI-p7_S112,,0.45099999999999996
F4-e003Coalescence-mGAM-p7_S159,,0.30700000000000005
F111-e003Coalescence-mBHI-p3_S120,,0.9977018296129054
H3-e003Coalescence-mGAM-p5_S86,,0.991200245494801
E4-e003Coalescence-mBHI-p7_S99,,0.667
H4-e003Coalescence-mGAM-p5_S87,,0.9917836771062988
E100-e003Coalescence-mGAM-p7_S151,,0.667
G9-e003Coalescence-mGAM-p3_S178,,0.9945440760227727
H9-e003Coalescence-mBHI-p7_S138,,0.996634513280267
H8-e003Coalescence-mGAM-p7_S185,,0.999813903987203
G2-e003Coalescence-mGAM-p3_S81,,0.124
F111-e003Coalescence-mBHI-p5_S20,,0.994969064716593
F8-e003Coalescence-mBHI-p5_S17,,0.9965385427771138
G100-e003Coalescence-mBHI-p7_S127,,0.476
E5-e003Coalescence-mGAM-p5_S52,,0.9877096941458922
