,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
E5-e003Coalescence-mBHI-p3_S12,0.0,
F100-e003Coalescence-mGAM-p7_S163,0.3333333333333333,
F9-e003Coalescence-mBHI-p5_S18,0.3333333333333333,
H3-e003Coalescence-mBHI-p7_S134,0.3333333333333333,
E3-e003Coalescence-mGAM-p3_S58,0.0,
G4-e003Coalescence-mBHI-p5_S27,0.3333333333333333,
E8-e003Coalescence-mBHI-p5_S5,0.0,
G2-e003Coalescence-mBHI-p3_S33,0.0,
E9-e003Coalescence-mBHI-p5_S6,0.0,
H111-e003Coalescence-mBHI-p3_S144,1.0,
G111-e003Coalescence-mGAM-p5_S80,0.3333333333333333,
G100-e003Coalescence-mGAM-p3_S179,0.3333333333333333,
F111-e003Coalescence-mGAM-p5_S68,0.3333333333333333,
G111-e003Coalescence-mBHI-p5_S32,0.3333333333333333,
G5-e003Coalescence-mBHI-p3_S36,0.3333333333333333,
H2-e003Coalescence-mGAM-p7_S181,0.0,
H9-e003Coalescence-mGAM-p3_S190,0.3333333333333333,
F2-e003Coalescence-mBHI-p7_S109,0.0,
E3-e003Coalescence-mBHI-p3_S10,0.0,
H2-e003Coalescence-mGAM-p5_S85,0.6666666666666666,
G8-e003Coalescence-mGAM-p3_S177,0.0,
F2-e003Coalescence-mGAM-p7_S157,0.0,
H3-e003Coalescence-mGAM-p3_S94,0.0,
H4-e003Coalescence-mGAM-p3_S95,0.3333333333333333,
E5-e003Coalescence-mBHI-p7_S100,0.0,
G111-e003Coalescence-mBHI-p3_S132,0.3333333333333333,
F3-e003Coalescence-mGAM-p3_S70,0.3333333333333333,
E100-e003Coalescence-mBHI-p7_S103,0.0,
F9-e003Coalescence-mGAM-p5_S66,0.3333333333333333,
G111-e003Coalescence-mGAM-p7_S176,0.3333333333333333,
H100-e003Coalescence-mGAM-p7_S187,0.3333333333333333,
E100-e003Coalescence-mGAM-p3_S155,0.3333333333333333,
E3-e003Coalescence-mGAM-p5_S50,0.3333333333333333,
F5-e003Coalescence-mGAM-p3_S72,0.3333333333333333,
E9-e003Coalescence-mBHI-p7_S102,0.0,
E5-e003Coalescence-mBHI-p5_S4,0.0,
F111-e003Coalescence-mGAM-p7_S164,0.3333333333333333,
E111-e003Coalescence-mBHI-p5_S8,1.0,
H100-e003Coalescence-mBHI-p5_S43,0.3333333333333333,
F2-e003Coalescence-mGAM-p5_S61,0.3333333333333333,
