,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
H8-e003Coalescence-mGAM-p5_S89,0.006144081960780552,0.9750884836281652
E3-e003Coalescence-mGAM-p7_S146,0.9985609953429557,0.0010607588230877611
G100-e003Coalescence-mBHI-p3_S131,0.016004780272815915,0.020245778956375644
G4-e003Coalescence-mBHI-p7_S123,0.9989803412730376,0.0002635054895611713
F3-e003Coalescence-mGAM-p5_S62,0.9922856135490985,0.006648960806059818
G111-e003Coalescence-mBHI-p7_S128,0.923596981525399,0.07370870433298049
G3-e003Coalescence-mGAM-p3_S82,0.9982731944115468,0.0011124612523343142
F111-e003Coalescence-mGAM-p3_S168,0.13761380911522783,0.8407218230231266
F3-e003Coalescence-mGAM-p7_S158,0.9817399464267146,0.014019544846088517
H111-e003Coalescence-mBHI-p5_S44,0.009094964035331887,0.9862520714367893
E111-e003Coalescence-mBHI-p7_S104,0.014303454892638656,0.019774359750778788
F2-e003Coalescence-mGAM-p3_S69,0.9981950297819404,0.0012177280119809752
G3-e003Coalescence-mGAM-p5_S74,0.9952573066192202,0.002499687512816254
E111-e003Coalescence-mGAM-p5_S56,0.0023518020849880444,0.9909241343055659
G100-e003Coalescence-mGAM-p5_S79,0.9991061389800281,0.0004335031304996832
H100-e003Coalescence-mGAM-p5_S91,0.8371572440950876,0.16140390114514774
E4-e003Coalescence-mGAM-p7_S147,0.8549695213901013,0.12567789238696425
E4-e003Coalescence-mGAM-p3_S59,0.9949285750949688,0.0027368632506083283
F4-e003Coalescence-mGAM-p3_S71,0.9978584207995495,0.0010323811626253702
H100-e003Coalescence-mBHI-p7_S139,0.9981139713440602,0.0013532802980618852
G8-e003Coalescence-mGAM-p7_S173,0.9995372053173422,0.00019462484471058627
H111-e003Coalescence-mGAM-p3_S192,8.871747128935902e-05,0.999516685607835
E8-e003Coalescence-mBHI-p3_S105,0.22017645549136058,0.22961057865343593
E8-e003Coalescence-mGAM-p7_S149,0.013572679421626793,0.017614715378391887
F4-e003Coalescence-mGAM-p7_S159,0.998359789735009,0.0006258287642906145
H3-e003Coalescence-mGAM-p5_S86,0.004415735975949646,0.9933563969674611
H4-e003Coalescence-mGAM-p5_S87,0.01563629261704914,0.9822052853215101
E100-e003Coalescence-mGAM-p7_S151,0.9946315260964731,0.0029660764310525415
H8-e003Coalescence-mGAM-p7_S185,0.003735326689842902,0.889
G2-e003Coalescence-mGAM-p3_S81,0.9991838660252431,0.00025772607101196427
G100-e003Coalescence-mBHI-p7_S127,0.9631649997950718,0.03436164663798026
E5-e003Coalescence-mGAM-p5_S52,0.0004871070985765359,0.9985806414993399
