,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
F5-e004Assembly-epsilon-p3,0.026952023597796384,0.3241876675603217
E3-e004Assembly-mGAM-p5,0.4881363813820327,0.022463360142984806
E2-e004Assembly-mGAM-p5,0.019365332060903136,0.2779267202859696
C3-e003GlycerolRevival-mBHI-p2,0.9625997917841497,0.0
D10-e003Coalescence-mGAM-p3,0.8079852947555632,0.046654155495978546
C4-e004Assembly-mBHI-p3,0.4682389276883703,0.025967828418230563
A9-e003Coalescence-mBHI-p7,0.3352205352882488,0.4397984807864164
C2-e003Coalescence-Inoculumn-mGAM,0.8966823406931853,0.03995129579982127
B3-e003Coalescence-Inoculumn-mGAM,0.00020296707586865052,0.9998436103663985
D11-e003Coalescence-mGAM-p7,0.022208996659870733,0.31548570151921357
D5-e003Coalescence-mGAM-p3,0.6861140849347156,0.10812377122430741
E4-e004Assembly-mGAM-p5,0.8950264607643256,0.03658668453976765
D2-e003Coalescence-Inoculumn-mBHI,0.6565327723072919,0.08224664879356568
B4-e003Coalescence-Inoculumn-mGAM,0.15332568429271679,0.7466653261840931
B2-e003Assembly-mBHI-p3,0.8874079729319395,0.03171179624664879
C4-e003Coalescence-Inoculumn-mGAM,0.2468722509000998,0.019968722073279713
D4-e003Coalescence-mGAM-p3,0.7847402507265865,0.07423994638069704
A2-e003Coalescence-mGAM-p5,0.897863011321737,0.03218185880250223
D11-e003Assembly-mGAM-p5,0.31072007981607597,0.037068811438784634
C3-e003Coalescence-mGAM-p7,5.274801544267562e-05,0.999454870420018
B11-e003GlycerolRevival-mGAM-p2,0.021081854856200927,0.30577479892761394
B3-e003Coalescence-mGAM-p5,0.7648570684943391,0.22645755138516532
D3-e004Assembly-mGAM-p5,0.8460621177287121,0.03932082216264522
D12-e003Coalescence-mBHI-p3,0.010367414219407452,0.13034316353887399
D4-e004Assembly-mGAM-p7,0.4615028412787923,0.018671581769437
C11-e003Coalescence-mGAM-p7,0.5659195332494686,0.06964164432529044
C11-e003Assembly-mGAM-p3,0.8605091311326074,0.04098212689901698
D10-e003Coalescence-mBHI-p7,0.015375178935496465,0.209846291331546
A2-e003Coalescence-mBHI-p3,0.6844228516895848,0.024846291331546023
B8-e003Coalescence-mGAM-p5,0.004529865961046284,0.9441438784629134
C3-e004Assembly-mBHI-p3,0.8838784973756127,0.04119749776586238
C11-e003Assembly-mGAM-p5,0.8981058864356051,0.04004647006255585
C2-e003Coalescence-mBHI-inoculumn-redo,0.7704887433305859,0.04374441465594281
A8-e003Coalescence-mGAM-p7,0.8951950722248732,0.03753351206434316
C11-e003GlycerolRevival-mGAM-p2,0.3426354053702338,0.019543789097408403
B2-e003Coalescence-Inoculumn-mBHI,0.8609551902138549,0.09723324396782843
A11-e003Coalescence-mBHI-p5,0.5181370320565652,0.10268498659517426
C10-e003Coalescence-mGAM-p5,0.25101179889819114,0.014417783735478104
A5-e003Coalescence-Inoculumn-mGAM,0.54876567041166,0.1484030384271671
A3-e003Coalescence-mBHI-p3,0.709458205005856,0.16890080428954424
AG-Fecal,0.01715160716609552,0.3471519213583557
D4-e003Coalescence-Inoculumn-mGAM,0.03055780158764585,0.17790125111706884
A2-e003Coalescence-mBHI-p5,0.8774359953151434,0.03001608579088472
B9-e003Coalescence-mBHI-p3,1.3360517069361907e-05,0.5947274352100089
C3-e003Coalescence-mBHI-inoculumn-redo,0.7571603695831345,0.17913717605004467
e004-inoculumn-fecal-AR,0.646012753220839,0.11854244861483468
B5-e003Coalescence-mGAM-p3,0.9378879104671842,0.03060991957104558
BK-Fecal,0.880233635535505,0.04034137622877569
C3-e003Assembly-mBHI-p5,0.8646982171517806,0.0
A4-e003Coalescence-mBHI-p3,0.791299440419902,0.029490616621983913
F3-e004Assembly-epsilon-p5,0.3147485793606038,0.013404825737265416
C9-e003Coalescence-mGAM-p5,5.144666637747798e-05,0.9578355674709562
A2-e003Coalescence-mBHI-inoculumn-redo,0.8990090660651542,0.032171581769437
C2-e003Coalescence-mGAM-p5,0.9028156855940659,0.03226228775692583
B8-e003GlycerolRevival-mGAM-p2,0.893421376827311,0.037342269883824844
C8-e003Coalescence-mBHI-p5,0.9019159762286904,0.03239008042895442
B8-e003Coalescence-mGAM-p7,6.775690799462111e-05,0.9633601429848079
B4-e003Coalescence-Inoculumn-mBHI,0.756450180019954,0.17976318141197495
D2-e003Coalescence-Inoculumn-mGAM,0.5466261657918708,0.15057327971403042
B3-e004Assembly-mBHI-p3,0.8527689671626253,0.03954244861483468
D3-e003Coalescence-Inoculumn-mGAM,0.017838198932893765,0.46844280607685435
C5-e003Coalescence-Inoculumn-mGAM,0.09343599531514336,0.29732841823056305
G3-e004Assembly-epsilon-p5,0.720722335487789,0.03127792672028597
BC-Fecal,0.9042702468225393,0.038426720285969614
e004-inoculumn-fecal-BE,0.02727605951503058,0.3294226988382485
BA-Fecal,0.8892910684075824,0.041590705987488825
e003-inoculumn-fecal-AF,0.4625168524703943,0.1663279714030384
A11-e003Coalescence-mBHI-p3,0.7281230642432656,0.09258534405719393
A4-e003Coalescence-Inoculumn-mGAM,0.8985180670628552,0.039744861483467384
B4-e003Coalescence-mBHI-p3,0.007168654838849608,0.4761112600536193
A5-e003Coalescence-Inoculumn-mBHI,0.4671850518370711,0.051682305630026806
A9-e003Coalescence-mGAM-p5,0.0009636056044766407,0.9329244861483469
C10-e003Coalescence-mGAM-p7,0.6485923740944779,0.03708668453976765
A11-e003Coalescence-mGAM-p3,0.8854333058604086,0.04259472743521
D2-e003Coalescence-mBHI-p3,0.8373504966815598,0.033704200178731006
C5-e003GlycerolRevival-mBHI-p2,0.6681713442935844,0.05615996425379803
H5-e003Coalescence-mBHI-p5_S40,0.8059713703205656,0.05573458445040215
E2-e003Coalescence-mGAM-p7_S145,0.85731496985208,0.03038427167113494
G5-e003Coalescence-mBHI-p7_S124,0.502549559710233,0.018793565683646114
H111-e003Coalescence-mGAM-p7_S188,0.022518544224179066,0.32431903485254693
H4-e003Coalescence-mGAM-p7_S183,0.8923491085758903,0.03770822162645219
F5-e003Coalescence-mGAM-p5_S64,0.9464520886652495,0.008827524575513852
F5-e003Coalescence-mGAM-p7_S160,0.9541088795384549,0.015829311885612155
H3-e003Coalescence-mBHI-p3_S46,0.20911555979698954,0.03956478999106344
