genome_id,genome_name,rep_genome,length,contigs,species_id
32024.3,Campylobacter sputorum biovar sputorum INTA08/209,1,1780580,51,Campylobacter_sputorum_61239
319795.16,Deinococcus geothermalis DSM 11300,1,3247018,0,Deinococcus_geothermalis_61238
1238180.3,Amycolatopsis azurea DSM 43854,1,9205957,136,Amycolatopsis_azurea_59733
1278307.3,Psychromonas ossibalaenae ATCC BAA-1528,1,5200577,111,Psychromonas_ossibalaenae_59884
1278306.3,Fusobacterium russii ATCC 25533,1,1923811,42,Fusobacterium_russii_59883
1278304.3,Acholeplasma granularum ATCC 19168,1,1452497,13,Acholeplasma_granularum_59882
1341683.3,Acinetobacter brisouii CIP 110357,1,3139093,14,Acinetobacter_brisouii_43461
1216967.5,Elizabethkingia meningoseptica ATCC 13253 = NBRC 12535 [PRJNA205457],1,3785340,106,Elizabethkingia_meningoseptica_43467
1278298.3,Actinomyces slackii ATCC 49928,1,3150683,52,Actinomyces_slackii_59880
1580.53,Lactobacillus brevis TMW 1.465,1,2540645,33,Lactobacillus_brevis_56823
1203554.3,Sutterella wadsworthensis HGA0223,1,2949098,39,Sutterella_wadsworthensis_56828
1204475.3,Fusobacterium nucleatum CTI-2,1,2246140,82,Fusobacterium_nucleatum_56829
1160719.4,Propionibacterium granulosum DSM 20700,1,2076819,309,Propionibacterium_granulosum_57661
1310609.3,Acinetobacter baumannii 1289694,1,4172223,117,Acinetobacter_baumannii_57660
525330.3,Lactobacillus johnsonii ATCC 33200,1,1766799,7,Lactobacillus_johnsonii_57663
1261131.3,Candidatus Liberibacter americanus str. Sao Paulo,1,1195201,0,Liberibacter_americanus_57665
1435052.3,Clostridium botulinum CDC54088,1,3851766,459,Clostridium_botulinum_57664
1435045.3,Borrelia parkeri HR1,1,916945,0,Borrelia_parkeri_57667
1381117.3,Campylobacter jejuni X,1,1681033,118,Campylobacter_jejuni_57666
651305.3,Acinetobacter sp. GG2,1,3871479,38,Acinetobacter_baumannii_57668
596325.3,Lactobacillus jensenii 269-3,1,1677666,48,Lactobacillus_jensenii_51108
915059.3,Flammeovirga pacifica WPAGA1,1,6507364,113,Flammeovirga_pacifica_62508
915099.3,Pseudomonas sp. 2-92(2010),1,6409544,18,Pseudomonas_sp_62509
1094715.3,Fluoribacter dumoffii NY 23,1,3884605,27,Fluoribacter_dumoffii_52104
911239.4,Pseudomonas sp. CF149,1,4713142,38,Pseudomonas_sp_62500
911241.4,Pseudomonas sp. CF161,1,6893563,115,Pseudomonas_sp_62501
911242.4,Pseudomonas sp. CFII64,1,6413737,48,Pseudomonas_sp_62502
913325.4,Lysobacter arseniciresistens ZS79,1,3085112,98,Lysobacter_arseniciresistens_62503
913338.3,actinobacterium SCGC AAA027-L06,1,1155491,65,Actinobacterium_SCGC_62504
91352.4,Campylobacter hyointestinalis subsp. hyointestinalis,1,1733270,26,Campylobacter_hyointestinalis_62505
913865.3,Desulfosporosinus sp. OT,1,5682108,244,Desulfosporosinus_sp_62506
91464.3,Synechococcus sp. PCC 7335,1,5972042,10,Synechococcus_sp_62507
1298867.3,Bradyrhizobium sp. URHA0002,1,6964558,139,Bradyrhizobium_sp_60018
1298868.4,Flavobacterium sp. URHB0058,1,5259048,34,Flavobacterium_sp_60019
1298863.3,Marmoricola sp. URHB0036,1,4827257,22,Marmoricola_sp_60014
1298864.3,Mycobacterium sp. URHD0025,1,6654317,31,Mycobacterium_sp_60015
1298865.3,Alteromonas sp. ALT199,1,4635666,1,Alteromonas_sp_60016
1298866.3,Bacillus sp. URHB0009,1,5371350,79,Bacillus_sp_60017
1298858.3,Mesorhizobium sp. URHA0056,1,6304200,37,Mesorhizobium_sp_60010
1298860.3,Microbacterium sp. URHA0036,1,4030470,20,Microbacterium_sp_60011
1298861.3,Lysobacter sp. URHA0019,1,3222420,10,Lysobacter_sp_60012
1298862.3,Caulobacter sp. URHA0033,1,5641874,58,Caulobacter_sp_60013
1121384.3,Deinococcus radiodurans DSM 20539,1,3241810,63,Deinococcus_radiodurans_45653
1003202.3,Rickettsia typhi str. B9991CWPP,1,1112957,0,Rickettsia_typhi_45301
1367491.3,Campylobacter coli 76339,1,1584486,0,Campylobacter_coli_57081
339670.8,Burkholderia ambifaria AMMD,1,7528567,0,Burkholderia_ambifaria_57080
40324.44,Stenotrophomonas maltophilia B418,1,4688249,231,Stenotrophomonas_maltophilia_57083
