,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
D11-e003Coalescence-mGAM-p7,0.6666666666666666,0.2427137426481136
D5-e003Coalescence-mGAM-p3,0.6421111111111111,0.25942963706785255
D4-e004Assembly-mGAM-p3,0.6591111111111112,0.27942877635920244
E4-e004Assembly-mGAM-p5,0.6573333333333333,0.28187803041170567
E5-e004Assembly-mGAM-p3,0.19955555555555557,0.5102612968010328
D2-e003Coalescence-Inoculumn-mBHI,0.6146666666666667,0.25729418304403956
B4-e003Coalescence-Inoculumn-mGAM,0.7201111111111111,0.3714996055085354
A10-e003Coalescence-mGAM-p7,0.32000000000000006,0.8545764596184191
B2-e003Assembly-mBHI-p3,0.37666666666666665,0.23273454310715821
F4-e004Assembly-epsilon-p7,0.6666666666666666,0.21019495050925263
D9-e003Coalescence-mBHI-p5,0.6713333333333333,0.2435668125089657
C4-e003Coalescence-Inoculumn-mGAM,0.8223333333333334,0.5048494477119495
D4-e003Coalescence-mGAM-p3,0.3506666666666667,0.7768815091091665
B9-e003Coalescence-mBHI-p7,0.6913333333333332,0.23978450007172572
A2-e003Coalescence-mGAM-p5,0.3861111111111111,0.26222019796298957
D11-e003Assembly-mGAM-p5,0.3888888888888889,0.18245886529909625
C3-e003Coalescence-mGAM-p7,0.3485555555555555,0.9100462989528044
B11-e003GlycerolRevival-mGAM-p2,0.6457777777777778,0.232190646966002
C5-e004Assembly-mBHI-p7,0.1111111111111111,0.2707950437526897
B3-e003Coalescence-mGAM-p5,0.8812222222222222,0.16872199110601063
D9-e003Coalescence-mBHI-p7,0.6633333333333334,0.2436162673934873
B10-e003Assembly-mGAM-p3,0.9654444444444444,0.15971872758571223
D3-e004Assembly-mGAM-p5,0.6587777777777778,0.2547900588150911
C5-e003Coalescence-mBHI-p7,0.49733333333333335,0.5288603858843781
D12-e003Coalescence-mBHI-p3,0.7185555555555556,0.19374426194233252
D4-e004Assembly-mGAM-p7,0.6621111111111111,0.2831527040596758
C11-e003Coalescence-mGAM-p7,0.4753333333333334,0.6204395352173289
C11-e003Assembly-mGAM-p3,0.6284444444444445,0.24451778797876916
D10-e003Coalescence-mBHI-p7,0.6965555555555556,0.30300236694878785
C9-e003Coalescence-mBHI-p7,0.4072222222222222,0.853271517716253
