,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C3-e003GlycerolRevival-mBHI-p2,0.00048153613176555,0.9984001265862109
D10-e003Coalescence-mGAM-p3,0.121,0.854
B10-e003Coalescence-mGAM-p7,0.007062805627434916,0.9812196409435726
C4-e004Assembly-mBHI-p3,0.0019144386362480719,0.9951374830481096
A9-e003Coalescence-mBHI-p7,0.0004632300035762217,0.998670498910328
C2-e003Coalescence-Inoculumn-mGAM,0.144,0.763
B3-e003Coalescence-Inoculumn-mGAM,0.001228763024867257,0.9960585607323782
D11-e003Coalescence-mGAM-p7,4.8251209722153255e-05,0.9999333080840053
D5-e003Coalescence-mGAM-p3,0.001960448543033795,0.976
D4-e004Assembly-mGAM-p3,0.03118324139280405,0.9330653885478926
E4-e004Assembly-mGAM-p5,0.007924716477612455,0.9800654763018264
D2-e003Coalescence-Inoculumn-mBHI,0.004537348676406424,0.907
B4-e003Coalescence-Inoculumn-mGAM,0.161,0.766
F2-e004Assembly-epsilon-p7,0.00607298250770416,0.008669037106057525
A10-e003Coalescence-mGAM-p7,0.519,0.394
B2-e003Assembly-mBHI-p3,0.0012163545219666446,0.9967996202233378
F4-e004Assembly-epsilon-p7,0.0037678721858350494,0.004357829628675879
D9-e003Coalescence-mBHI-p5,0.0005858172505761077,0.9980120354210462
C4-e003Coalescence-Inoculumn-mGAM,0.242,0.689
D4-e003Coalescence-mGAM-p3,0.043,0.927
B9-e003Coalescence-mBHI-p7,0.0006467277776445382,0.9978413592794949
A2-e003Coalescence-mGAM-p5,0.0029435534225715674,0.9924145854397443
D11-e003Assembly-mGAM-p5,0.004122713648595103,0.994259442100518
C3-e003Coalescence-mGAM-p7,0.151,0.795
B11-e003GlycerolRevival-mGAM-p2,0.0008104051034318137,0.9992424275148678
B3-e003Coalescence-mGAM-p5,0.48,0.46699999999999997
D9-e003Coalescence-mBHI-p7,0.0007010876504442758,0.9976733912427476
B10-e003Assembly-mGAM-p3,0.294,0.591
D3-e004Assembly-mGAM-p5,0.03053174436210012,0.01452782094818271
C5-e003Coalescence-mBHI-p7,0.043,0.9410000000000001
D12-e003Coalescence-mBHI-p3,0.0003996012829512664,0.9996687468491222
E2-e004Assembly-mGAM-p3,0.12652875319308135,0.13335492537437865
D4-e004Assembly-mGAM-p7,0.0038634818086090874,0.951
C11-e003Coalescence-mGAM-p7,0.0034633356286087828,0.9916200612897841
C11-e003Assembly-mGAM-p3,0.05855481046291629,0.9315406981718134
D10-e003Coalescence-mBHI-p7,0.186,0.762
C9-e003Coalescence-mBHI-p7,0.246,0.659
A2-e003Coalescence-mBHI-p3,0.0008561044552438715,0.9977536271136662
B8-e003Coalescence-mGAM-p5,0.00361616837148693,0.9895471809601295
C3-e004Assembly-mBHI-p3,0.004026895021688785,0.0019134655461219305
C11-e003Assembly-mGAM-p5,0.13431744446142663,0.8236323466462883
B10-e003GlycerolRevival-mGAM-p2,0.286,0.605
B3-e003Coalescence-mBHI-p5,0.634,0.32999999999999996
C2-e003Coalescence-mBHI-inoculumn-redo,0.537,0.384
A8-e003Coalescence-mGAM-p7,0.004522180299354253,0.9883581179679434
C11-e003GlycerolRevival-mGAM-p2,0.0012939583670734034,0.9976620207946209
B2-e003Coalescence-Inoculumn-mBHI,0.44,0.44999999999999996
A11-e003Coalescence-mBHI-p5,0.0012217523549082664,0.9976136863802029
C10-e003Coalescence-mGAM-p5,0.161,0.795
C4-e003Assembly-mBHI-p5,0.619,0.31699999999999995
C9-e003Assembly-mGAM-p5,0.0026404626907819053,0.9918113293017816
A5-e003Coalescence-Inoculumn-mGAM,0.0020301924663338796,0.9943887608692665
A3-e003Coalescence-mBHI-p3,0.397,0.509
D4-e003Coalescence-Inoculumn-mGAM,0.161,0.75
A2-e003Coalescence-mBHI-p5,0.0006119009991507042,0.9983726153921669
G2-e004Assembly-epsilon-p5,0.006870454581496316,0.136
C5-e003Assembly-mBHI-p5,0.008378806512876627,0.517
C10-e003Coalescence-mBHI-p5,0.693,0.267
B9-e003Coalescence-mBHI-p3,0.0007247918721418812,0.9976811780826524
C3-e003Coalescence-mBHI-inoculumn-redo,0.794,0.16600000000000004
e004-inoculumn-fecal-AR,0.19044901063295178,0.14566602483738614
B5-e003Coalescence-mGAM-p3,0.007193454905158641,0.949
C3-e003Assembly-mBHI-p5,0.001120892566109964,0.9963668254972611
F2-e004Assembly-epsilon-p5,0.005137423450033618,0.050000000000000044
A5-e003Coalescence-mBHI-p3,0.003670299326525909,0.9897491137966953
C4-e004Assembly-mBHI-p7,0.013923676544416655,0.583
A4-e003Coalescence-mBHI-p3,0.733,0.19999999999999996
C9-e003GlycerolRevival-mGAM-p2,0.00227912742366836,0.9929300027554142
B2-e004Assembly-mBHI-p7,0.016967883562365494,0.75
B4-e004Assembly-mBHI-p3,0.016204132545688987,0.9615833160942853
F3-e004Assembly-epsilon-p5,0.012627881473670458,0.0058959697552928006
C9-e003Coalescence-mGAM-p5,0.0015123760721074875,0.9957345474189725
A2-e003Coalescence-mBHI-inoculumn-redo,0.0009234074399521198,0.9975680510938858
C2-e003Coalescence-mGAM-p5,0.704,0.243
B8-e003GlycerolRevival-mGAM-p2,0.005625043555838975,0.9856597965999058
C8-e003Coalescence-mBHI-p5,0.661,0.30100000000000005
B8-e003Coalescence-mGAM-p7,0.0030287217470863445,0.9910911434308212
B4-e003Coalescence-Inoculumn-mBHI,0.759,0.18799999999999994
D2-e003Coalescence-Inoculumn-mGAM,0.002218663442967865,0.9938661206154715
B8-e003Coalescence-mBHI-p7,0.001039268517068914,0.996873616542264
B3-e004Assembly-mBHI-p3,0.007341630101498212,0.003460982862054983
D3-e003Coalescence-Inoculumn-mGAM,0.0019563515273747284,0.9935624845832575
B11-e003Coalescence-mBHI-p3,0.0004860184146100771,0.9983474189214142
C5-e003Coalescence-Inoculumn-mGAM,0.163,0.788
C4-e003Coalescence-mBHI-p5,0.735,0.23299999999999998
B2-e004Assembly-mBHI-p3,0.007077288025409669,0.393
G3-e004Assembly-epsilon-p5,0.006831971373068553,0.0032116777751792134
A11-e003Coalescence-mBHI-p3,0.000258344375216321,0.9992677538404229
B2-e004Assembly-mBHI-p5,0.006513588013619299,0.677
B4-e004Assembly-mBHI-p7,0.011780058688705589,0.84
B2-e003Coalescence-mBHI-p7,0.684,0.269
A4-e003Coalescence-Inoculumn-mGAM,0.141,0.79
B4-e003Coalescence-mBHI-p3,0.69,0.246
A5-e003Coalescence-Inoculumn-mBHI,0.003921536871608103,0.94
C2-e003Coalescence-mBHI-p7,0.731,0.17600000000000005
A9-e003Coalescence-mGAM-p5,0.003579710906859951,0.9892281209281489
C10-e003Coalescence-mGAM-p7,0.231,0.726
F3-e004Assembly-epsilon-p7,0.009298562338942657,0.004344251499937687
A11-e003Coalescence-mGAM-p3,0.0008554743562831221,0.9980016862910263
C10-e003Coalescence-mBHI-p3,0.655,0.30600000000000005
D2-e003Coalescence-mBHI-p3,0.001112471762641187,0.9973406314756441
C5-e003GlycerolRevival-mBHI-p2,0.005162095139677305,0.5700000000000001
H5-e003Coalescence-mBHI-p5_S40,0.0015245100046837254,0.819
E2-e003Coalescence-mGAM-p7_S145,0.003494763399524611,0.9913093076944914
G5-e003Coalescence-mBHI-p7_S124,0.073,0.871
H111-e003Coalescence-mGAM-p7_S188,6.539336729607902e-05,0.9999346922856182
H4-e003Coalescence-mGAM-p7_S183,0.0014335433371241936,0.9969543152642933
F5-e003Coalescence-mGAM-p5_S64,0.0024910075246939102,0.969
F5-e003Coalescence-mGAM-p7_S160,0.009432581465575874,0.897
F8-e003Coalescence-mBHI-p3_S117,0.0015352645264324453,0.9956376710216318
H3-e003Coalescence-mBHI-p3_S46,0.129,0.648
H2-e003Coalescence-mBHI-p7_S133,0.002991677754321661,0.979
E5-e003Coalescence-mBHI-p3_S12,0.002206456319036682,0.984
F100-e003Coalescence-mGAM-p7_S163,0.0012369161516144766,0.9963832447735558
F9-e003Coalescence-mBHI-p5_S18,0.0008094171977582816,0.9978044528340667
H3-e003Coalescence-mBHI-p7_S134,0.386,0.518
E3-e003Coalescence-mGAM-p3_S58,0.694,0.253
G4-e003Coalescence-mBHI-p5_S27,0.753,0.20399999999999996
E8-e003Coalescence-mBHI-p5_S5,0.0006017546717466609,0.9984060011135996
