,trial_parts,abundance_file,test_genome,abundance_id,is_close_to_ref,initial_sample,mesocosm,trial
46,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_11_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_11_abundances.txt,GUT_GENOME000472,11,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
47,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_11_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_11_abundances.txt,GUT_GENOME000472,11,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
48,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_8_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_8_abundances.txt,GUT_GENOME000472,8,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
49,GUT_GENOME000472_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_8_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME000472_8_abundances.txt,GUT_GENOME000472,8,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
50,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_2_abundances_trial_000,workflow/abundance_files/GUT_GENOME000472/G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_2_abundances.txt,GUT_GENOME000472,2,False,G8-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_GUT_GENOME000472,0
51,GUT_GENOME000472_G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_2_abundances_trial_001,workflow/abundance_files/GUT_GENOME000472/G8-e003Coalescence-mBHI-p7_S125_annotated_abundance_GUT_GENOME000472_2_abundances.txt,GUT_GENOME000472,2,False,G8-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_GUT_GENOME000472,1
52,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_6_abundances_trial_000,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_6_abundances.txt,GUT_GENOME001329,6,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,0
53,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_6_abundances_trial_001,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_6_abundances.txt,GUT_GENOME001329,6,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,1
54,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_3_abundances_trial_000,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_3_abundances.txt,GUT_GENOME001329,3,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,0
55,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_3_abundances_trial_001,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_3_abundances.txt,GUT_GENOME001329,3,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,1
56,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_2_abundances_trial_000,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_2_abundances.txt,GUT_GENOME001329,2,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,0
57,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_2_abundances_trial_001,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_2_abundances.txt,GUT_GENOME001329,2,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,1
58,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_12_abundances_trial_000,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_12_abundances.txt,GUT_GENOME001329,12,True,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,0
59,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_12_abundances_trial_001,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_12_abundances.txt,GUT_GENOME001329,12,True,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,1
60,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_9_abundances_trial_000,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_9_abundances.txt,GUT_GENOME001329,9,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,0
61,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_9_abundances_trial_001,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_9_abundances.txt,GUT_GENOME001329,9,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,1
62,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_0_abundances_trial_000,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_0_abundances.txt,GUT_GENOME001329,0,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,0
63,GUT_GENOME001329_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_0_abundances_trial_001,workflow/abundance_files/GUT_GENOME001329/A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001329_0_abundances.txt,GUT_GENOME001329,0,False,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7_GUT_GENOME001329,1
